field,n,n_finite,missing_frac,n_negative,n_zero,min,p01,p50,p99,max,longest_gap_s,n_gaps_gt_max,longest_stuck_run
it_power_kw,4569543,4433055,0.029869070057990443,0,0,0.10000000149011612,302.66,1200.5,3617.965687454641,3921.3293040320277,1113072.0,72816,27
cooling_kw,4569543,4433041,0.02987213382169729,113,293,-3.33,2.67,8.07,48.17,2516.37,1113072.0,72816,50479
hvac_kw,4569543,4433033,0.029873884543815454,428,0,-6.94,3.85,9.37,201.05346133106315,5071.570167271273,1113072.0,72816,1162
pump_kw,4569543,4433056,0.029868851217725756,475,227368,-4.0,0.0,13.22,50.573,93.26399617269635,1113072.0,72816,50479
plug_and_light_kw,4569543,4433057,0.029868632377460957,0,73907,0.0,0.0,3.2,8.66,13.83,1113072.0,72816,20717
pue,4569543,4568744,0.00017485337155154212,4,0,-42.608,1.008,1.033,1.144,528.3000785497774,1113072.0,72816,1380
energy_reuse,4569543,1006817,0.7796679011446003,322078,1071,-163.08890408308244,-32.18781582814905,0.30183301871971113,5.151413735666628,976.6887644057782,1113072.0,72816,793
