day,n_hours,it_kw,cooling_kw,hvac_kw,pump_kw,plug_kw,aux_kw,pue,pue_recon,tdb_c,twb_c,week
2016-06-12,18,761.568764514728,5.99500402182748,4.305397403719783,6.9271786568483895,2.9107410472657977,20.13832112966145,1.0265480048747757,1.0265589690355996,23.41358969761381,15.601393775624445,2016-06-06
2016-06-13,21,737.2014096364494,5.092741142301381,4.305693395095405,6.945539058481426,3.458370049390131,19.802343645268344,1.0268787661470173,1.0268756631575437,17.539177053815575,13.152316839404255,2016-06-13
2016-06-14,22,814.6842442106703,4.373109274377287,4.44094732180484,7.044286503291929,3.1713314545364493,19.029674554010505,1.0233563286844347,1.0233510040649034,18.629577999763356,12.679919269695166,2016-06-13
2016-06-15,24,815.517651910554,4.651940694600003,4.966023208003427,6.935225906193842,3.415679205840842,19.968869014638113,1.0244961220298823,1.0244923782944364,23.156295146155205,12.956157302433532,2016-06-13
2016-06-16,24,766.9433522232404,4.688840306313074,6.1135518438840135,6.6855366219749435,3.1884663295732643,20.676395101745292,1.0269272361151447,1.0269195836589209,25.478176691430907,13.176252676990204,2016-06-13
2016-06-17,24,822.6984703239041,5.457686845431812,6.5962150702538045,6.783026830156341,3.114903100756161,21.95183184659812,1.0264937962395153,1.026487381739934,25.646249946243202,13.86421642230787,2016-06-13
2016-06-18,24,854.2721939032908,9.519191910222188,9.470272835551773,7.290621346426132,3.1958370276127344,29.47592311981283,1.0346083506590433,1.0346233917785446,24.76637755675384,16.66689676566317,2016-06-13
2016-06-19,24,800.9237190100661,8.099348795239232,9.17498404949672,9.057755557504992,3.19543515673367,29.52752355897461,1.0368677903997439,1.0368675433025814,27.94942206645867,17.09872356085077,2016-06-13
2016-06-20,24,802.0287268019077,7.326851350461443,9.456503689710852,9.177713711401347,3.5358526832673554,29.496921434841,1.0366974641817597,1.036666747974501,23.478550245524143,15.17959202098894,2016-06-20
2016-06-21,24,845.6193982240239,10.301927096052637,11.339029538374838,9.274359913528254,3.9380748054157717,34.8533913533715,1.04114755716291,1.0411421347306347,25.10544085705619,17.687069379049152,2016-06-20
