target,spec,n_folds,cv_daily_energy_WAPE,cv_daily_energy_bias,cv_hourly_WAPE
cooling_kw,F0,46,0.3375855634792253,-0.049937881988820695,0.4080899080346924
cooling_kw,F1,46,0.4524535691709542,0.1640214273577559,0.5285583393007414
cooling_kw,F2_PHYS,46,0.42457566839667904,0.1541866590373319,0.5080570267010807
cooling_kw,F2_RAW,46,0.4278439733392974,0.15516212348187072,0.5086071363870865
cooling_kw,F3,46,0.39141420598145493,0.13614844441154106,0.46573873956247924
cooling_kw,F4,46,0.3371331140049546,0.03662490976456151,0.41689243592437725
hvac_kw,F0,46,0.1471914747462045,-0.07515235136159434,0.15632668494712382
hvac_kw,F1,46,0.1581133858354006,-0.023158212635202395,0.16512226017439302
hvac_kw,F2_PHYS,46,0.1608085121109321,-0.02319391226736826,0.16762750577785876
hvac_kw,F2_RAW,46,0.16082795377532125,-0.022996077271146106,0.16782202078886393
hvac_kw,F3,46,0.15719389055606453,-0.03447662641232973,0.16459844291361264
hvac_kw,F4,46,0.1608552107609087,-0.031760611986852934,0.1690085155211216
pump_kw,F0,46,0.39368794345897035,-0.20082251081259755,0.4024760429194877
pump_kw,F1,46,0.34450592157583604,-0.0377974338600036,0.3566453512728359
pump_kw,F2_PHYS,46,0.2815592336725864,-0.07564950437971561,0.2934925595984776
pump_kw,F2_RAW,46,0.2825660454104093,-0.07542080691927444,0.2942698022698423
pump_kw,F3,46,0.2844759477259389,-0.058982852144370324,0.29685381521669535
pump_kw,F4,46,0.27637302551987203,-0.07057062268880375,0.28827991696593935
plug_and_light_kw,F0,46,0.39242186432057,0.1537865649001527,0.5527243780613047
plug_and_light_kw,F1,46,0.39725440068915957,0.12105036593299094,0.5523560701958763
plug_and_light_kw,F2_PHYS,46,0.3292972271959703,0.08108391799601258,0.4978963881213549
plug_and_light_kw,F2_RAW,46,0.3310280978081375,0.08283659289610999,0.5059357787046664
plug_and_light_kw,F3,46,0.3360073813514098,0.13845939081150085,0.5019133260307351
plug_and_light_kw,F4,46,0.33579903669195815,0.13289796778965446,0.5019233334243216
aux_source_kw,F0,46,0.23556024754494428,-0.18175963550553242,0.2523360462154453
aux_source_kw,F1,46,0.19703741805070654,-0.0648475965642722,0.21709026349846355
aux_source_kw,F2_PHYS,46,0.19508527320005173,-0.06933106150923195,0.2150692450451523
aux_source_kw,F2_RAW,46,0.19579140651476765,-0.06926037480196431,0.21551011788276556
aux_source_kw,F3,46,0.19963644515646134,-0.05310301994672703,0.21815527301751045
aux_source_kw,F4,46,0.1944829053648326,-0.07253109667872765,0.2123709952975805
