candidate,window_days,n_before,n_after,hvac_before,hvac_after,hvac_delta,cooling_delta,pump_delta,plug_delta,aux_delta,it_delta,pue_delta,hvac_persist,persistent,scan
2023-10-01,28,27,25,9.574837660578671,9.854308202196378,0.279470541617707,-14.87826788392183,-2.746311821410238,-0.370141240185597,-17.71525040389995,121.05506429608249,-0.006758695094502887,9.447997738628434,True,28
2023-10-02,28,26,26,9.538486644096817,9.916079296778038,0.377592652681221,-14.607432204640883,-2.4893246136382956,-0.47834900153781934,-17.19751316713579,112.74371097595304,-0.00644850967416799,9.339208105473732,True,28
2023-10-03,28,25,27,9.49929103701556,9.973785310593328,0.4744942735777684,-14.328917759087597,-2.4028152697613407,-0.5609345586760823,-16.81817331394725,88.42659308936072,-0.0060183759089642574,9.230494742495498,True,28
2023-10-04,28,24,28,9.457330252320084,10.011793521075107,0.5544632687550237,-14.678764302609958,-2.4132738702544927,-0.5582515055222581,-17.09582640963169,59.163896822176866,-0.005845446538854215,9.137996549578519,True,28
2023-10-05,28,24,28,9.502346664357182,10.098372687322941,0.5960260229657592,-13.537321433366113,-1.403853757087532,-0.41974677739847355,-14.764895944886348,146.96281631845704,-0.005813427826401707,9.009639519838606,True,28
2023-10-06,28,24,28,9.514346566871005,10.139595445628172,0.6252488787571675,-12.7620621010474,-0.4064903104978441,-0.39688501027836764,-12.940188543066455,232.2531248869259,-0.00589317296318459,8.840432846788108,True,28
2023-10-07,28,24,28,9.531079084938588,10.127939465304692,0.5968603803661043,-12.06641249862291,0.19888361627423023,-0.35452572280586736,-11.625194224788437,285.840189518618,-0.0058472067519055315,8.721330423308867,True,28
2023-10-08,28,24,28,9.549175602418165,10.114569139538583,0.5653935371204177,-11.462704261038374,0.5155963523929117,-0.2761449333433683,-10.65785930486841,271.4129498222851,-0.005411080069474217,8.602597658561244,True,28
2023-10-09,28,24,28,9.555489476230525,10.107530625792753,0.5520411495622284,-10.264242265851395,0.8789483461388201,-0.15118921879373692,-8.984441988944099,282.1555511732072,-0.004807461361893806,8.48538194680802,True,28
2023-10-10,28,24,28,9.566681871021846,10.097326766155751,0.5306448951339053,-9.19952701281719,1.028298086856708,0.0024462458230880557,-7.638137785003487,296.24692581710497,-0.004448767282620114,8.369864690773019,True,28
2023-10-11,28,24,28,9.722152673113277,9.96346039403123,0.24130772091795372,-8.847668484339216,1.0919149680625324,0.06646535080592209,-7.447980444552805,253.1270528148375,-0.004063928177978626,8.256087307097806,True,28
2023-10-12,28,24,28,9.719089581895338,9.968080561648247,0.24899097975290907,-8.847799414387733,1.5937646210384315,0.17956392240978092,-6.825479891186603,213.333081604354,-0.003616666818126779,8.197850011837533,True,28
2023-10-13,28,24,28,9.697281247528677,9.984005738571785,0.28672449104310793,-8.338630929239052,1.6879669614288133,0.26536605418922976,-6.0985734225779,207.70463583521587,-0.0033709965353101445,8.10679032805527,True,28
2023-10-14,28,24,28,9.689490186885504,10.003121518426443,0.3136313315409396,-7.446200714404254,1.757886624045355,0.22888318538825292,-5.145799573429706,205.30783120976548,-0.003078309242914967,8.096190072889462,True,28
2023-10-15,28,24,28,9.697197365675231,10.004471668196347,0.3072743025211153,-7.033669319151562,1.8644279715483165,0.10809719367148674,-4.753869851410656,193.18980858766736,-0.0028843407866530058,8.13674153075526,True,28
2023-10-16,28,24,28,9.713049306373877,9.981219003689407,0.2681696973155301,-6.584141187555877,2.011341312843193,0.08293999298410215,-4.221690184413056,184.4153538666642,-0.002664269966043742,8.202554350796897,True,28
2023-10-17,28,24,28,9.727170470736837,9.954713113311144,0.22754264257430634,-6.073393848091866,2.283290468338663,0.13021628074123592,-3.43234445643764,201.72578944677844,-0.0025285630790614633,8.247371059909268,True,28
2023-10-18,28,24,28,9.737603812861293,9.931243292521424,0.1936394796601313,-6.014908758556528,2.3997754108657077,0.17994652254360055,-3.2415473454870707,196.2424032531767,-0.0024403902515808262,8.304711227489125,True,28
2023-10-19,28,24,28,9.78851152059793,9.887451150998904,0.09893963040097375,-5.942665305679846,2.5430891636696558,0.250338929085395,-3.0502975825238323,189.08160636939465,-0.002342688568460538,8.350811798643669,True,28
2023-10-20,28,24,28,9.78911553572005,9.885771721452942,0.09665618573289159,-6.013051061254091,2.6982543472133713,0.3281996763277619,-2.8899408519800573,184.5964249203089,-0.002270964846204482,8.35287257985863,True,28
2023-10-21,28,24,28,9.789161529535075,9.883748952005183,0.09458742247010754,-5.895243798329211,2.8588671206579477,0.5216371487046572,-2.420152106496481,186.76539763054734,-0.002148436906787232,8.351854212914006,True,28
2023-10-22,28,24,28,9.797733803475834,9.871983682407201,0.07424987893136681,-5.9682211521927595,3.041380446887281,0.6140500316773516,-2.238540794696725,190.01894167931732,-0.002113385560311709,8.35293203970349,True,28
2023-10-23,28,24,27,9.795311740000248,9.905672078654026,0.11036033865377881,-6.222010428002509,3.175443970294893,0.7096488032548072,-2.2265573157990275,193.60492896924507,-0.0021274350336051295,8.374369349739762,True,28
2023-10-24,28,24,27,9.792796220548148,9.910055838680575,0.11725961813242769,-6.326267309502285,3.3654164997390765,0.9144553570895066,-1.9291358345412775,193.75289798834046,-0.00204378664872773,8.372235584059732,True,28
2023-10-25,28,24,27,9.794151999143788,9.873487014340945,0.07933501519715769,-6.306990064646341,3.5621388311157887,1.0357485234553692,-1.6297676948780264,194.89113603180976,-0.0019629306306723215,8.406321061605821,True,28
2023-10-26,28,24,27,9.79034897594662,9.795581418568496,0.0052324426218763875,-6.2560998002836286,3.7590681838621194,0.9320161843277841,-1.5597829894718416,176.9769081714071,-0.0018458767051077185,8.515805598289644,True,28
2023-10-27,28,24,27,9.762775492179083,9.697579946329492,-0.06519554584959053,-5.765728777491171,4.0193430110084165,0.8523691169198484,-0.9592121954124977,178.05820031074836,-0.0017165371289946663,8.643874173438201,True,28
2023-10-28,28,24,27,9.791580063111907,9.553591210932288,-0.23798885217961896,-5.361418833219799,4.240826469790434,0.6439748830449754,-0.7146063325640242,169.81986920388408,-0.0015927502752248746,8.785374447946465,True,28
2023-10-29,28,25,27,9.854308202196378,9.447997738628434,-0.4063104635679444,-5.03192370789165,4.377476197611479,0.6174568237827338,-0.4433011500653947,160.18068202340555,-0.001441162819768138,8.85898417653271,True,28
2023-10-30,28,26,27,9.916079296778038,9.339208105473732,-0.5768711913043063,-4.672903423951146,4.492993669511968,0.6177896270720775,-0.13899131867139403,144.87067372581805,-0.0012448826501039179,8.963577162628766,True,28
2023-10-31,28,27,27,9.973785310593328,9.230494742495498,-0.7432905680978301,-4.360538530571253,4.632189604072117,0.48863889103072644,0.016999396433760694,140.40031539434767,-0.001158375260715161,9.10275823000913,True,28
2023-11-01,28,28,27,10.011793521075107,9.137996549578519,-0.8737969714965885,-4.060329371776934,4.7910564018609065,0.2783755745247891,0.13530563311217492,144.36734479244933,-0.0011303263947004538,9.259708947048795,True,28
2023-11-02,28,28,27,10.098372687322941,9.009639519838606,-1.0887331674843352,-4.01658374931449,4.499250563369266,0.09128050229156814,-0.5147858511380008,87.80577071756852,-0.0008604729576928705,9.379602096899388,True,28
2023-11-03,28,28,27,10.139595445628172,8.840432846788108,-1.2991625988400646,-4.205577063092855,3.9730915568193055,0.03502941118870684,-1.4966186939248871,-28.003498635421238,-0.00019888952464164333,9.478508371582148,True,28
2023-11-04,28,28,27,10.127939465304692,8.721330423308867,-1.406609041995825,-4.627646640354753,3.7498407012565096,0.060941046004840516,-2.223473935089224,-100.06675604784277,8.590145473519328e-05,9.495145167228328,True,28
2023-11-05,28,28,27,10.114569139538583,8.602597658561244,-1.5119714809773388,-4.812100442904747,3.8026225041638924,0.045937715135034196,-2.4755117045831625,-98.01419433503725,3.2088252364115277e-06,9.496613764323454,True,28
2023-11-06,28,28,27,10.107530625792753,8.48538194680802,-1.6221486789847326,-5.079887865985335,3.7737341336058847,0.00011590608535927416,-2.9281865052788234,-124.76246677084237,3.0312640845409078e-05,9.49726315922587,True,28
2023-11-07,28,28,27,10.097326766155751,8.369864690773019,-1.727462075382732,-5.171513952644612,3.780535792153877,-0.13523853382574602,-3.2536787696992207,-146.66733549772334,5.469631640364625e-05,9.497336250190482,True,28
2023-11-08,28,28,27,9.96346039403123,8.256087307097806,-1.7073730869334245,-5.144219652729534,3.8273131124966326,-0.3651018220255069,-3.389381449191859,-140.61758798136862,-1.7708865104326676e-05,9.54727319351956,True,28
2023-11-09,28,28,27,9.968080561648247,8.197850011837533,-1.770230549810714,-4.880825326791403,3.712638073582582,-0.6275551965492214,-3.565972999568743,-121.08019205390929,-0.0001766240622158577,9.689530414051259,True,28
2023-11-10,28,28,27,9.984005738571785,8.10679032805527,-1.8772154105165146,-4.723937114389058,3.7714142024448734,-0.9226997367256602,-3.7524380591863675,-120.24802834638103,-0.00023466610377731456,9.81157088859022,True,28
2023-11-11,28,28,27,10.003121518426443,8.096190072889462,-1.9069314455369817,-4.867126269055365,3.872096209759384,-0.9905161246774874,-3.892477629510445,-121.09981073957942,-0.0002715056847057973,9.762940837870559,True,28
2023-11-12,28,28,27,10.004471668196347,8.13674153075526,-1.867730137441086,-4.90711688596912,3.8957303885213506,-0.9065122077400263,-3.7856288426288742,-114.03407042425806,-0.0002786197063788798,9.656191040541255,True,28
2023-11-13,28,28,27,9.981219003689407,8.202554350796897,-1.7786646528925107,-4.896977563157404,3.907332492492081,-0.9163309760772438,-3.684640699635075,-108.46957750742513,-0.00027791474744809364,9.492690844959554,True,28
2023-11-14,28,28,27,9.954713113311144,8.247371059909268,-1.7073420534018755,-4.796791908816124,3.8566228592609164,-0.9915678881880492,-3.6390789911451407,-119.9569976403759,-0.00019428842335078578,9.402956424797095,True,28
2023-11-15,28,28,27,9.931243292521424,8.304711227489125,-1.6265320650322987,-4.4849449061844355,3.8798875567380335,-0.9750319748443319,-3.206621389323047,-118.14959610206233,-5.078991413731693e-05,9.294873169196629,True,28
2023-11-16,28,28,27,9.887451150998904,8.350811798643669,-1.5366393523552357,-4.32020724874094,3.7946733546766467,-0.9598499082786769,-3.0220231546982035,-144.68993133485583,0.00020590864599245862,9.246671677380828,True,28
2023-11-17,28,28,27,9.885771721452942,8.35287257985863,-1.5328991415943118,-4.201524557730015,3.6871219505436628,-0.9595764630856172,-3.006878211866301,-174.437963286392,0.0004709398827913436,9.250342537982714,True,28
2023-11-18,28,28,27,9.883748952005183,8.351854212914006,-1.531894739091177,-4.192979740718398,3.506933615302991,-1.0378750591306272,-3.255815923637229,-224.92383813066135,0.0008259748208914175,9.23181776492935,True,28
2023-11-19,28,28,27,9.871983682407201,8.35293203970349,-1.5190516427037117,-4.009538530324886,3.51057406040087,-1.0645295219809916,-3.082545634608742,-224.9942935065651,0.0008765334834257565,9.213277160141729,True,28
2023-11-20,28,27,28,9.905672078654026,8.374369349739762,-1.5313027289142642,-3.7243239540275566,3.527189119148133,-1.176064947458776,-2.904502511252474,-221.2469876690584,0.0008990168121381092,9.181465323326004,True,28
2023-11-21,28,27,28,9.910055838680575,8.372235584059732,-1.5378202546208435,-3.5374202798061862,3.5281624970383945,-1.3937316543765106,-2.940809691765132,-236.24185130517526,0.001009030545649825,9.187129605249227,True,28
2023-11-22,28,27,28,9.873487014340945,8.406321061605821,-1.4671659527351242,-3.189102887034986,3.522996344952965,-1.4225315908570288,-2.5558040856741826,-231.3391260278313,0.0010952832340254126,9.197721334886625,True,28
2023-11-23,28,27,28,9.795581418568496,8.515805598289644,-1.2797758202788518,-2.9112232234420814,3.417507450361377,-1.166956031433385,-1.9404476247929523,-218.52058798531016,0.0012117562930025194,9.163169831671189,True,28
2023-11-24,28,27,28,9.697579946329492,8.643874173438201,-1.0537057728912913,-2.556053820087711,3.3099013613803194,-1.0313980865561563,-1.3312563181548498,-217.00458703310278,0.0013995065585199473,9.112778155436555,True,28
2023-11-25,28,27,28,9.553591210932288,8.785374447946465,-0.7682167629858228,-2.320105330900283,3.334269369258685,-0.9444888616644227,-0.6985415862918458,-219.87401005224865,0.0016061262252207165,9.023338105842425,True,28
2023-11-26,28,27,28,9.447997738628434,8.85898417653271,-0.5890135620957242,-2.294221043786865,3.209449693881723,-0.9652645152445665,-0.6390494272454177,-219.73774432189248,0.0016254512530839982,8.974548218749804,True,28
2023-11-27,28,27,28,9.339208105473732,8.963577162628766,-0.3756309428449658,-2.355757742711564,3.1324740860910865,-0.893099834469449,-0.4920144339349122,-204.32012906803538,0.001577811642546223,8.895400645795027,True,28
2023-11-28,28,27,28,9.230494742495498,9.10275823000913,-0.12773651248636853,-2.4801617472781974,2.994967079604457,-0.7272959456149821,-0.34022712577510816,-210.25211308014468,0.0016584643695189971,8.767558370771932,True,28
2023-11-29,28,27,28,9.137996549578519,9.259708947048795,0.12171239747027585,-2.5084364508376806,2.8707771375281297,-0.41474283734469797,0.06931024681600206,-222.8498591704888,0.0018607902930070086,8.567731048578157,True,28
2023-11-30,28,27,28,9.009639519838606,9.379602096899388,0.3699625770607824,-2.3594901417872913,2.8189087496816043,-0.13406681673670073,0.6953143682183907,-218.13349506618397,0.002028592171821275,8.48192928951531,True,28
2023-12-01,28,27,28,8.840432846788108,9.478508371582148,0.63807552479404,-2.0173067694759084,3.1871951854242084,0.027810019931661323,1.8357739606739898,-97.37587729772076,0.0013383773198256677,8.504547509273296,True,28
2023-12-02,28,27,28,8.721330423308867,9.495145167228328,0.7738147439194609,-1.578349642742598,3.3855904460532216,0.002086158569866825,2.583141705799953,-31.91247733042337,0.001120530696169686,8.610763131565934,True,28
2023-12-03,28,27,28,8.602597658561244,9.496613764323454,0.8940161057622102,-1.2965540441009509,3.39623153668348,-0.08680404896048532,2.9068895493842604,-39.92410486383869,0.0012560311218985376,8.735375138403196,True,28
2023-12-04,28,27,28,8.48538194680802,9.49726315922587,1.0118812124178493,-1.0649437945261138,3.417382868621374,-0.11030358556583941,3.2540167009472754,-43.55149241398385,0.0013780801612477411,8.857049015194558,True,28
2023-12-05,28,27,28,8.369864690773019,9.497336250190482,1.1274715594174634,-0.8946415097539688,3.344255584599246,0.009607664244224878,3.5866932985069795,-42.78739965790783,0.001475849533507656,8.96952081386163,True,28
2023-12-06,28,27,28,8.256087307097806,9.54727319351956,1.2911858864217542,-0.8499883818715643,3.248021413741874,0.3044191841667616,3.9936381024588385,-64.2865259697137,0.001723295292616056,9.033208025933977,True,28
2023-12-07,28,27,28,8.197850011837533,9.689530414051259,1.491680402213726,-0.9433425396354895,2.8814862699346975,0.6813818636328874,4.111205996145827,-111.47551779035439,0.0020705563867329246,8.941815431191907,True,28
2023-12-08,28,27,28,8.10679032805527,9.81157088859022,1.7047805605349495,-0.948278843411476,2.643269150567974,1.1075883014305012,4.507359169121976,-130.15159687505638,0.002306423742680197,8.868773374986644,True,28
2023-12-09,28,27,28,8.096190072889462,9.762940837870559,1.6667507649810975,-0.7517808081468331,2.433222851467292,1.0656301698650545,4.413822978166621,-126.06744728824196,0.002259211001201855,8.835582020295517,True,28
2023-12-10,28,27,28,8.13674153075526,9.656191040541255,1.5194495097859946,-0.5995861734614101,2.277351352207063,0.9264046753414856,4.123619363873139,-134.30716180221725,0.002219905190858462,8.847135584419942,True,28
2023-12-11,28,27,28,8.202554350796897,9.492690844959554,1.2901364941626579,-0.4996260559064023,2.095063295877047,0.9262753206944647,3.811849054827775,-150.39181621735952,0.0022185285380296182,8.914454562979289,True,28
2023-12-12,28,27,28,8.247371059909268,9.402956424797095,1.155585364887827,-0.48109977637828827,1.9055652850035827,1.0617194917080086,3.6417703652211273,-168.0001750706574,0.0022985400686297286,8.930569796750628,True,28
2023-12-13,28,27,28,8.304711227489125,9.294873169196629,0.9901619417075036,-0.37714217034532904,1.7807831641065661,1.0451955095943921,3.4389984450631417,-167.304726175606,0.00218329517026139,8.956150472563804,True,28
2023-12-14,28,27,28,8.350811798643669,9.246671677380828,0.8958598787371592,-0.15793241158072746,1.832305418432,1.028286461176953,3.5985193467654,-114.09568300260617,0.0018308626049783339,9.346652060353414,True,28
