field,n,n_finite,missing_frac,n_negative,n_zero,min,p01,p50,p99,max,longest_gap_s,n_gaps_gt_max,longest_stuck_run
outside_air_temp,4034917,4033840,0.0002669199886887741,11768,7302,-39.4000015258789,7.4,54.650831222534165,91.96220420837402,104.227996826172,1465711218.0,46794,1439
outside_air_humidity,4034917,4033936,0.00024312767771927923,0,5522,0.0,14.739434957504255,38.59299925231935,85.8359985351562,100.0,1465711218.0,46794,1438
