pue_source,pue_reconstructed,delta,it_power_kw
1.086,1.086194335670704,0.00019433567070392677,439.24
1.1035638005541326,1.1035638005541326,0.0,2315.268130529702
1.090961627838984,1.090961627838984,0.0,2710.769982731581
1.0183706542301265,1.0183706542301265,0.0,3451.8645447045565
1.026,1.0257174169796666,-0.00028258302033346006,939.83
1.023,1.023268631838979,0.00026863183897907206,1505.89
1.031,1.0311938667094713,0.00019386670947141305,1308.27
1.017,1.0167453258304593,-0.00025467416954061406,1101.8
1.028,1.0275996428281515,-0.00040035717184849773,1847.85
1.032,1.0315716069239336,-0.0004283930760664578,889.09
1.033,1.0325022063346319,-0.0004977936653680626,1121.77
1.02139222455928,1.0213922245592801,2.220446049250313e-16,2445.2636917233467
1.034,1.0338928063663515,-0.00010719363364852796,1048.01
1.032,1.032012770508304,1.2770508303949768e-05,1271.68
1.064233884158847,1.0642338841588472,2.220446049250313e-16,2607.7011867630586
1.0224311057731446,1.0224311057731448,2.220446049250313e-16,2870.180393740535
1.054,1.0538520698187654,-0.00014793018123460122,1794.36
1.039,1.039288369622942,0.00028836962294209734,941.5
1.061,1.0605794632177679,-0.0004205367822320838,1162.11
1.1151218612266012,1.1151218612266012,0.0,2282.3369794582723
1.008,1.0082320717885085,0.0002320717885084811,1321.66
1.04,1.0399941679844777,-5.832015522289069e-06,891.63
1.03,1.0296888318992838,-0.00031116810071618595,1372.57
1.053,1.0529747351263243,-2.526487367560115e-05,1177.92
1.031,1.031269059858848,0.0002690598588481752,918.16
1.032,1.0318742736981905,-0.0001257263018095145,1445.68
1.008,1.0077437321947442,-0.0002562678052557832,1407.59
1.036,1.036072626409861,7.262640986094304e-05,1413.26
1.044,1.0441207672069932,0.00012076720699316645,942.64
1.0588036803909098,1.0588036803909098,0.0,2775.545215101838
1.027,1.0265079531341186,-0.0004920468658813348,1336.58
1.029,1.0285281087358595,-0.0004718912641403783,929.96
1.074268298954728,1.074268298954728,0.0,2472.901296060145
1.03,1.0295352090781904,-0.00046479092180962134,1222.27
1.0557652511206803,1.05576525112068,-2.220446049250313e-16,2634.456413498342
1.039,1.0390274822293657,2.7482229365771715e-05,662.61
1.035,1.0351806473437126,0.0001806473437127032,1212.03
1.029,1.029458572866933,0.0004585728669330713,1231.56
1.029,1.0289342759884788,-6.572401152116214e-05,1069.32
1.0807216144537062,1.0807216144537062,0.0,3050.732017208576
1.038,1.0376961868145034,-0.0003038131854966597,918.13
1.032,1.0324066438920956,0.0004066438920955484,848.9
1.027,1.02705272955364,5.272955364010734e-05,988.44
1.028,1.028438812348044,0.00043881234804388214,950.11
1.029,1.028817585037293,-0.00018241496270698931,1140.97
1.031,1.03097157403479,-2.8425965209910586e-05,919.23
1.034,1.0343190874287054,0.0003190874287053447,1023.92
1.0178929836144495,1.0178929836144495,0.0,3314.9356908872724
1.049,1.0490795688506722,7.95688506722847e-05,990.84
1.021,1.021063109406106,6.310940610609883e-05,1376.34
1.0630393294158016,1.0630393294158016,0.0,2704.3613693451284
1.039,1.0393784203621672,0.0003784203621672866,1821.81
1.04,1.0397875596363308,-0.00021244036366918628,1110.9
1.008,1.0080985887994252,9.858879942514776e-05,1280.47
1.029,1.0290527362135051,5.273621350521118e-05,1327.93
1.0282014894546045,1.0282014894546043,-2.220446049250313e-16,3477.4418889656663
1.043,1.0433628751213448,0.00036287512134491884,1431.87
1.023,1.022997307511795,-2.692488204836252e-06,809.66
1.033,1.0325771452726504,-0.0004228547273494865,1419.4
1.033,1.0329977497995064,-2.250200493492116e-06,1284.33
1.033,1.0328317987873343,-0.0001682012126655863,1113.25
1.022,1.0219134152859433,-8.658471405675883e-05,1272.28
1.0776555820020688,1.0776555820020688,0.0,2589.3204684301613
1.033,1.0328399430371553,-0.00016005696284460136,1158.65
1.039,1.0392363710610495,0.0002363710610495673,1175.44
1.034,1.0335889483614455,-0.0004110516385544827,1234.93
1.032,1.0319796064255946,-2.0393574405419557e-05,741.41
1.026,1.0258761003155623,-0.0001238996844377116,903.15
1.0759765419580354,1.0759765419580354,0.0,3400.2942595353124
1.019095237400737,1.019095237400737,0.0,3515.060252532363
1.03,1.0300965095517616,9.650955176154774e-05,856.91
1.079324426936154,1.079324426936154,0.0,2719.8938184590934
1.020337387062126,1.0203373870621262,2.220446049250313e-16,3609.053108729422
1.022,1.0216460998528247,-0.00035390014717529006,1324.95
1.0214641521710615,1.0214641521710615,0.0,3577.537909246981
1.042,1.0417499311945817,-0.0002500688054183353,1671.38
1.115,1.1153467435644957,0.00034674356449571064,142.18
1.057,1.0572769466123888,0.000276946612388862,1157.01
1.04,1.0403927224317728,0.0003927224317727962,901.4
1.033,1.0334306985359598,0.0004306985359598947,1122.92
1.044,1.0436319184730642,-0.0003680815269357929,826.23
1.023,1.0227035781163014,-0.0002964218836984944,987.95
1.0227683256493483,1.0227683256493483,0.0,3495.4221078008413
1.038,1.037798185177432,-0.00020181482256798056,1098.73
1.025,1.0252630652049488,0.00026306520494889796,1135.65
1.06671104024932,1.06671104024932,0.0,2552.9599372047187
1.052,1.0522535400008934,0.000253540000893393,1119.35
1.100548660571521,1.100548660571521,0.0,2401.305586185038
1.038,1.0382800684639975,0.00028006846399741825,1104.23
1.026,1.0263163743859882,0.000316374385988194,899.82
1.0680341119249535,1.0680341119249537,2.220446049250313e-16,2472.544827547282
1.0612612511740234,1.0612612511740234,0.0,2668.1857273481487
1.0235238623780627,1.0235238623780627,0.0,3318.499264508486
1.0631132156289675,1.0631132156289675,0.0,2662.5322608547212
1.0984356507748694,1.0984356507748694,0.0,2626.375784798026
1.03,1.030228910217212,0.0002289102172119417,1128.39
1.0197705972694486,1.0197705972694486,0.0,3377.188816808164
1.027,1.026837951331244,-0.00016204866875590973,1126.39
1.036,1.0363862068965517,0.0003862068965516663,1087.5
1.024,1.02365572054687,-0.0003442794531300919,1222.96
1.085,1.0847874199184624,-0.00021258008153757224,858.5
1.034,1.0343468468468469,0.00034684684684682665,1083.36
1.02,1.0201941152952985,0.00019411529529844707,1175.59
1.033,1.0329531771815434,-4.682281845647118e-05,880.34
1.032,1.032082999327381,8.29993273809837e-05,1085.31
1.034,1.0338933371461254,-0.00010666285387461727,1398.8
1.02,1.0201471085559688,0.00014710855596877792,1182.8
1.034,1.0335634347871563,-0.0004365652128437425,956.1
1.063,1.0629773104593248,-2.2689540675191466e-05,903.5
1.033,1.032974258804417,-2.5741195582851262e-05,1034.14
1.048,1.0483924718923754,0.00039247189237534563,1140.26
1.031,1.0306510474037605,-0.0003489525962394602,1044.01
1.03,1.0302807616659821,0.00028076166598212104,1388.01
1.0772288090598645,1.0772288090598645,0.0,3283.853655622721
1.024,1.0237816423432082,-0.00021835765679178998,1716.45
1.043,1.043318878239741,0.00031887823974097174,2370.56
1.033,1.0328574079966062,-0.00014259200339372669,1508.64
1.035,1.0354985137411872,0.0004985137411872564,931.87
1.076,1.0756660318294258,-0.00033396817057429473,913.62
1.011,1.0105105586741514,-0.0004894413258484942,935.25
1.023,1.0230806409636761,8.06409636762151e-05,1344.85
1.033,1.032789828289015,-0.0002101717109848078,946.94
1.029,1.0285611602046425,-0.00043883979535741524,946.04
1.0610964832388154,1.0610964832388154,0.0,2790.923425988257
1.057,1.0565367231031855,-0.0004632768968144685,1862.86
1.0687158206439407,1.0687158206439407,0.0,3405.4545749349595
1.4053962650653538,1.4053962650653538,0.0,428.90160924196243
1.034,1.0340946280798542,9.462807985416433e-05,855.56
1.01,1.0095980134344287,-0.00040198656557133283,1433.63
1.034,1.033665427869309,-0.00033457213069110203,826.07
1.032,1.0316181920766447,-0.0003818079233552929,903.91
1.062710496051354,1.062710496051354,0.0,2672.248157365084
1.024,1.0242879823168753,0.0002879823168753237,1140.07
1.036,1.0363175583811004,0.00031755838110036905,919.39
1.021,1.0211566863283408,0.00015668632834087148,1103.67
1.031,1.0305252886648235,-0.0004747113351764032,1229.8
1.031,1.0310645320054428,6.453200544287441e-05,1381.64
1.03,1.0300320719863099,3.207198630983399e-05,882.39
1.0845551179028523,1.0845551179028523,0.0,2887.935650844038
1.03,1.0300371975518008,3.7197551800760564e-05,1432.89
