week,n_days,it_kw,cooling_kw,hvac_kw,pump_kw,plug_kw,aux_kw,pue
2016-06-06,1,761.568764514728,5.99500402182748,4.305397403719783,6.9271786568483895,2.9107410472657977,20.13832112966145,1.0265480048747757
2016-06-13,7,801.748720174025,5.983265566926425,6.438241103441427,7.248855974861372,3.2485746177776074,22.91893726300683,1.028518341467826
2016-06-20,7,796.2352871272789,6.9213615228025205,9.64591884769752,8.066658525138982,3.3440633441427887,27.97800223978181,1.0351397144244052
2016-06-27,7,807.6948023102351,7.248479615554823,8.192745553483922,7.2345250436802155,3.268193655649449,25.943943868368414,1.032192639712741
2016-07-04,6,764.4039032152926,5.6618948548097565,8.183063368533665,7.426467645334211,2.7877000651674115,24.059125933845042,1.031135885806702
2016-07-11,7,827.875439845867,6.061083601168917,8.365516356268726,9.184708610502687,3.8520645280648074,27.46337309600514,1.0332687061160095
2016-07-18,7,834.9406163048146,8.145221393771324,8.260230813494749,11.116155536155683,4.326215115135083,31.84782285855684,1.0381939729826475
2016-07-25,7,772.2399041393485,8.823261651697353,8.320210300656102,11.467093037626436,3.597899414384564,32.20846440436445,1.043859183273506
2016-08-01,7,839.2371838272946,8.421949085042984,8.809509013541762,10.523649338121079,3.6576875976926404,31.412795034398464,1.0377277084409973
2016-08-08,7,882.8418503224756,10.926995715256611,7.775880136649244,11.324597466684763,3.3257426965347867,33.353216015125405,1.037797387576362
2016-08-15,6,717.3252829376553,6.408683269621733,7.772998125930218,10.861106666728366,3.7712781269124576,28.814066189192772,1.0638616808279044
2016-08-22,7,718.6335370066665,6.5750123690614375,8.554637834855258,8.42345099586399,3.9273388130965796,27.480440012877267,1.046650853013362
2016-08-29,7,775.5914549119758,7.063362768768732,9.681893846588471,8.396126057000357,3.7148499131519017,28.856232585509467,1.037428870770247
2016-09-05,7,763.6179784566451,7.263523652108949,9.574550443287068,8.24188992924735,2.9468045332993533,28.02676855794272,1.0368568222890562
2016-09-12,7,788.9263358165556,9.228117165863972,8.29100685574544,8.38244032514204,3.85165837783151,29.753222724582965,1.037922543927696
2016-09-19,7,782.1151666140855,7.840042701707497,8.523679046895742,8.181447692401019,3.776801634738045,28.321971075742304,1.0366535752036052
2016-09-26,7,830.196825119892,8.229127855121986,8.08288841049269,8.701643874983771,3.8340640259979644,28.84772416659641,1.0347938742896552
2016-10-03,7,885.9134373009854,11.442031296775522,7.976869542385223,8.498517782817009,2.9615263577851825,30.878944979762938,1.0348192331112187
2016-10-10,7,818.410926994154,6.328852952267569,8.252937601026822,8.328857668805778,3.5929834885759724,26.503631710676142,1.032423036358407
2016-10-17,7,873.3859389558335,7.03244751586359,9.568331103864299,8.53559722305153,3.399801760397928,28.53617760317735,1.032708605338647
2016-10-24,7,904.8704490647624,6.627937493630999,9.748238782183964,8.391640851230234,2.6966846814700984,27.464501808515298,1.0304118028947526
2016-10-31,7,854.5567775608944,6.636495636784745,11.087220901719395,8.267403385162526,2.44,28.431119923666667,1.0337966448484273
2016-11-07,7,911.2864570954563,8.366986599717114,10.676576046315944,8.390971779380871,3.2128154280780596,30.64734985349199,1.0336304077976473
2016-11-14,7,920.6075845307412,9.131999876678439,9.288147005032611,7.974014808908735,4.2170063145660395,30.61116800518582,1.033281247060445
2016-11-21,7,823.934094724339,12.9677887751441,8.394826721445588,7.70399916451652,4.0600680242492295,33.12668268535544,1.0411615634062208
2016-11-28,7,833.4254937065189,14.17657740428798,6.758633506448063,7.4590875935408905,6.239441996492671,34.633740500769605,1.0415524094416126
2016-12-05,7,875.0358115919764,7.7443779427472075,7.361900828041662,6.937101167593609,5.653127257747078,27.696507196129556,1.0316821180258764
2016-12-12,7,905.0229593038655,8.942552576716752,7.714176019520254,6.882739083301956,6.261464253388801,29.800931932927764,1.0329215751186867
2016-12-19,7,926.8482141002916,11.65962865996734,7.933403611004266,7.504966264126357,4.981430733096745,32.07942926819471,1.0345925749308449
2016-12-26,7,883.0683845908544,10.907527535532065,6.62122275322214,7.1153509988154955,4.7574146167121105,29.40151590428181,1.0333738823195848
2017-01-02,7,908.3992239905264,8.218150620557717,6.412198152538548,6.733836138508658,5.613950316149989,26.97813522775491,1.0297491429691796
2017-01-09,5,814.5987352541595,9.00313393335541,6.6202261694712785,7.719724273583216,5.483802193967359,28.82688657037727,1.0365806823348713
2017-01-16,5,958.4116875688287,12.550176095244739,7.057105427287548,7.86500108948533,4.830870909346862,32.30315352136448,1.0336756003679732
2017-01-23,7,958.5736344973253,10.979870146681721,6.749131020050362,7.041330157926253,5.540399016288434,30.31073034094677,1.031656687045573
2017-01-30,7,962.875772652884,8.732701048719408,6.75924137184501,7.364493623239892,4.400860051179457,27.257296094983765,1.0283221834288554
2017-02-06,7,935.8907082380298,7.739002844324967,7.447475010978386,8.841863099644591,3.3829483210704887,27.411289276018433,1.0293679661516
2017-02-13,6,920.7807085834808,10.175894641407025,6.552234169391352,8.500981723556004,4.154435340769741,29.383545875124124,1.031961925856346
2017-02-20,2,955.1321935272931,10.341537357029205,6.081607355138033,6.74842328555345,6.7603691502088195,29.931937147929506,1.0314191785477522
2017-03-06,4,971.4930970180143,10.55070666893263,7.113498595503149,8.597276399628461,4.067927448795293,30.32940911285953,1.0312347015685948
2017-03-27,2,969.3375326899518,14.669500461328779,7.108560101760457,7.259955368137044,3.1965715429657253,32.234587474192004,1.0332389389943915
2017-04-03,2,954.3402365421532,6.463232537138583,7.897217491913586,8.772863907117106,2.523035708095069,25.656349644264342,1.026841673982516
2017-04-10,7,935.0833371984683,8.18459049750558,8.160819187293303,11.624206574087822,3.3620638850423243,31.331680143929027,1.033525204815907
2017-04-17,7,906.8197505233389,9.123601371692935,8.317351469040892,10.658934215011127,3.874549032642478,31.97443608838743,1.0352796840642227
2017-04-24,7,725.372062009454,9.149970765980726,7.539059744333808,8.109992438550726,4.387854154981333,29.186877103846594,1.0417365086604842
2017-05-01,7,886.8796474287064,8.608011584938977,8.067919045045285,11.029448432228962,3.5727950169092715,31.278174079122493,1.0354665415125044
2017-05-08,7,912.7921326221478,6.759858176053421,8.457042461786589,10.950239151072596,3.319423504002308,29.486563292914916,1.0323876098357807
2017-05-15,7,911.2698902090311,9.258220356420383,7.947587025960705,9.777663746133667,4.310986353560103,31.294457482074858,1.0344528141850236
2017-05-22,7,923.3952773927028,7.047581183024599,8.468002269585801,10.118597765096368,3.51728513362231,29.15146635132908,1.0315740406014893
2017-05-29,7,877.2341396629214,6.753809357948429,8.159709272071755,12.975765136456214,2.561269329586876,30.450553096063278,1.0347688604926195
2017-06-05,7,893.5483004377809,8.134815418641747,8.312905804779566,13.864427007702457,1.7426419973202953,32.05479022844407,1.0358823127484549
2017-06-12,7,916.8688505654557,8.077028393581372,8.297311606685618,14.235963017656221,2.5769459118065368,33.18724892972975,1.0362462647681252
2017-06-19,7,913.9061421752467,8.141829897962285,8.360634435380753,12.541223165062862,3.6432979488114947,32.686985447217396,1.0357616382741646
2017-06-26,7,900.5210565092201,7.395788158519747,8.268856251091528,8.113763243979228,1.6510466903308851,25.42945434392139,1.0283074975116862
2017-07-03,7,903.567224717065,8.244933200232405,8.241060311804217,8.551057920553633,1.6718936419691022,26.708945074559356,1.0295624692901366
2017-07-10,7,923.1094018577734,8.090618526025505,8.253650485727363,10.469931511232819,2.2655287234833565,29.079729246469043,1.031526174219219
2017-07-17,7,851.8084901676458,8.36465619992005,8.243773662036386,10.072171340729696,2.6430758992419023,29.323677101928034,1.0356710258808526
