n_hours,it_kw_mean,cooling_kw_mean,hvac_kw_mean,pump_kw_mean,plug_and_light_kw_mean,aux_kw_mean,pue_source_mean,pue_reconstructed_mean,tdb_c_mean,twb_c_mean,rh_pct_mean,it_kwh,aux_kwh,month,regime
445,797.5778967285938,6.586483563549069,7.924175592271463,7.55972639331157,3.359033132639042,25.429418681771143,1.0318828057798284,1.0318795920880524,23.77234038947234,15.061757621004668,41.505195918426914,354922.16404422425,11316.091313388159,2016-06,pre_tsc_available
683,802.760678298756,7.325719996688491,8.30004526832167,9.716781653543764,3.631989464199116,28.97453638275304,1.0366898475340975,1.0366624607923567,24.40736408013999,15.498691933566086,40.924016556395806,548285.5432780504,19789.608349420327,2016-07,pre_tsc_available
669,831.3631888048111,8.27447621241225,8.411982532243476,10.182468717908383,3.6346544437571175,30.503581906321223,1.038355412681741,1.0383449297763483,21.742909955317536,13.644601141233164,42.61918992494404,556181.9733104187,20406.896295328897,2016-08,commissioning_transition
715,782.6047199570359,7.9821150252928605,8.836428627375154,8.394024569212327,3.601550975831747,28.814119197712092,1.037067234780037,1.0370635108830433,18.61007257593045,10.989287184012781,41.55764662681141,559562.3747692807,20602.095226364145,2016-09,first_full_tsc_year
742,859.3288538940528,7.84752098929041,8.821871618829999,8.402763135782509,3.12379404098997,28.195949784892886,1.032894412846803,1.0328906724823859,14.783179747191946,7.051200493112201,34.56691844094229,637622.0095893872,20921.394740390522,2016-10,first_full_tsc_year
696,878.5733339866589,10.263659459485698,9.543041535177611,8.05035326596178,3.8623906241757973,31.719444884800886,1.0366067339595382,1.0365799171953674,8.770941272255513,2.7213444730795073,37.484546579352354,611487.0404547146,22076.733639821417,2016-11,first_full_tsc_year
742,891.5367318272838,10.047219366731333,7.363059974796415,7.146763143756414,5.510795259960574,30.067837745244738,1.0337505443654151,1.0337444885357951,0.7405551457008177,-3.3667604980410193,45.28392894433211,661520.2550158446,22310.335606971596,2016-12,first_full_tsc_year
628,915.2154739152398,9.954200456649493,6.740470566104238,7.249280566506483,5.209762425407143,29.153714014667358,1.032151344531272,1.0321484328229238,1.581576005492231,-2.6554870200948275,45.2280056831499,574755.3176187706,18308.5324012111,2017-01,first_full_tsc_year
454,940.3435364111139,9.091655518758861,6.816192864308247,8.182801829448522,4.1792952223883075,28.26994543490394,1.030139749828029,1.0301145648303511,7.282970452593443,1.3312058330915812,39.534358133348206,426915.9655306457,12834.555227446388,2017-02,first_full_tsc_year
89,971.4378526174447,10.56424923647937,7.120110406326186,8.615710505866318,4.042210492022082,30.34228064069396,1.0312498436860484,1.031240626130965,8.504141678882448,2.8505201080964833,44.490788716012595,86457.96888295258,2700.4629770217625,2017-03,first_full_tsc_year
510,869.6940306435797,8.929175446756384,7.994996010250122,10.089209099367896,3.840216956150889,30.85359751252529,1.0361235789372265,1.036115557935994,10.974626387721054,4.853632954982773,43.33256182781089,443543.95562822564,15735.334731387899,2017-04,first_full_tsc_year
738,906.4175294374521,7.797703528202082,8.232644989886078,10.63012260413006,3.521469488733734,30.18194061095195,1.0334164475176257,1.0334133755187769,14.261980256329293,8.269433166203148,50.19110932006914,668936.1367248397,22274.27217088254,2017-05,first_full_tsc_year
704,903.8758723555537,7.857343633707671,8.30143339943098,12.59647657227171,2.5232243668078973,31.278477972218262,1.0346392809902127,1.0346376885878374,21.786180909266587,13.252227968196593,40.00496989302824,636328.6141383098,22020.048492441656,2017-06,first_full_tsc_year
743,885.5738514973658,8.905802413660526,8.233825942899392,10.798200656142676,2.4015548287528823,30.339383841455476,1.0348015221937754,1.0347617336775041,24.55365360409036,15.831865712946316,41.54899591812304,657981.3716625428,22542.162194201417,2017-07,first_full_tsc_year
734,910.2748223792371,7.397561005860062,8.364385687786042,11.5086242856525,2.9461857224471286,30.216756701745734,1.0332453493765155,1.033254894297277,21.480124796369754,14.02315391109474,46.73297457335796,668141.71962636,22179.09941908137,2017-08,first_full_tsc_year
