huc12_id,name,year_month,date,year,month,is_site,is_touching_site,network_direction,network_depth,same_site_huc10,same_site_huc8,scope_local,scope_hydro_near,tohuc,areasqkm,states,streamflow_mm_month,availability_mm_month,sui,total_consumption_mm_month,public_supply_consumption_mgd
170703050101,Dry Creek,2009-10,2009-10-01,2009,10,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,0.397705798681226,0.395429712958596,0.1982507231529,0.0022760857226299,0.0
170703050101,Dry Creek,2009-11,2009-11-01,2009,11,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,0.315421135380593,0.315421135380593,0.209357607311346,0.0,0.0
170703050101,Dry Creek,2009-12,2009-12-01,2009,12,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,0.238352313455029,0.238352313455029,0.614657477570745,0.0,0.0
170703050101,Dry Creek,2010-01,2010-01-01,2010,1,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,0.868392645676572,0.868392645676572,0.0,0.0,0.0
170703050101,Dry Creek,2010-02,2010-02-01,2010,2,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,1.38526234214094,1.38526234214094,0.0,0.0,0.0
170703050101,Dry Creek,2010-03,2010-03-01,2010,3,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,1.26391529788988,1.26391529788988,0.0,0.0,0.0
170703050101,Dry Creek,2010-04,2010-04-01,2010,4,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,1.68382330148545,1.68382330148545,0.0,0.0,0.0
170703050101,Dry Creek,2010-05,2010-05-01,2010,5,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,1.49820624028482,1.49820624028482,0.0,0.0,0.0
170703050101,Dry Creek,2010-06,2010-06-01,2010,6,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,1.14635710957633,1.10521876103304,0.0526835094773827,0.0411383485432934,0.0
170703050101,Dry Creek,2010-07,2010-07-01,2010,7,0,1,upstream,2.0,0,1,1,1,170703050102,95.95,OR,0.78481523383642,0.69735416940511,0.111441598812721,0.0874610644313101,0.0
