month,n_distinct_wells_with_usable_observation,meets_50_well_gate,run_id,selected_primary_window
1990-11-01,55,True,0,False
1990-12-01,50,True,0,False
1991-01-01,63,True,0,False
1991-02-01,99,True,0,False
1991-03-01,67,True,0,False
1991-04-01,65,True,0,False
1991-05-01,69,True,0,False
1991-06-01,40,False,1,False
1991-07-01,65,True,2,False
1991-08-01,68,True,2,False
1991-09-01,45,False,3,False
1991-10-01,159,True,4,True
1991-11-01,50,True,4,True
1991-12-01,71,True,4,True
1992-01-01,82,True,4,True
1992-02-01,71,True,4,True
1992-03-01,82,True,4,True
1992-04-01,77,True,4,True
1992-05-01,79,True,4,True
1992-06-01,57,True,4,True
1992-07-01,82,True,4,True
1992-08-01,73,True,4,True
1992-09-01,76,True,4,True
1992-10-01,86,True,4,True
1992-11-01,161,True,4,True
1992-12-01,91,True,4,True
1993-01-01,102,True,4,True
1993-02-01,73,True,4,True
1993-03-01,80,True,4,True
1993-04-01,99,True,4,True
1993-05-01,78,True,4,True
1993-06-01,99,True,4,True
1993-07-01,80,True,4,True
1993-08-01,100,True,4,True
1993-09-01,86,True,4,True
1993-10-01,78,True,4,True
1993-11-01,170,True,4,True
1993-12-01,82,True,4,True
1994-01-01,107,True,4,True
1994-02-01,82,True,4,True
1994-03-01,81,True,4,True
1994-04-01,64,True,4,True
1994-05-01,95,True,4,True
1994-06-01,58,True,4,True
1994-07-01,81,True,4,True
1994-08-01,75,True,4,True
1994-09-01,107,True,4,True
1994-10-01,132,True,4,True
1994-11-01,112,True,4,True
1994-12-01,90,True,4,True
1995-01-01,114,True,4,True
1995-02-01,83,True,4,True
1995-03-01,100,True,4,True
1995-04-01,111,True,4,True
1995-05-01,69,True,4,True
1995-06-01,134,True,4,True
1995-07-01,77,True,4,True
1995-08-01,109,True,4,True
1995-09-01,72,True,4,True
1995-10-01,127,True,4,True
1995-11-01,134,True,4,True
1995-12-01,100,True,4,True
1996-01-01,74,True,4,True
1996-02-01,105,True,4,True
1996-03-01,83,True,4,True
1996-04-01,117,True,4,True
1996-05-01,77,True,4,True
1996-06-01,90,True,4,True
1996-07-01,84,True,4,True
1996-08-01,67,True,4,True
1996-09-01,122,True,4,True
1996-10-01,139,True,4,True
1996-11-01,116,True,4,True
1996-12-01,101,True,4,True
1997-01-01,70,True,4,True
1997-02-01,129,True,4,True
1997-03-01,112,True,4,True
1997-04-01,81,True,4,True
1997-05-01,102,True,4,True
1997-06-01,115,True,4,True
1997-07-01,107,True,4,True
1997-08-01,79,True,4,True
1997-09-01,113,True,4,True
1997-10-01,161,True,4,True
1997-11-01,72,True,4,True
1997-12-01,62,True,4,True
1998-01-01,102,True,4,True
1998-02-01,65,True,4,True
1998-03-01,112,True,4,True
1998-04-01,62,True,4,True
1998-05-01,113,True,4,True
1998-06-01,67,True,4,True
1998-07-01,105,True,4,True
1998-08-01,68,True,4,True
1998-09-01,84,True,4,True
1998-10-01,175,True,4,True
1998-11-01,75,True,4,True
1998-12-01,45,False,5,False
1999-01-01,118,True,6,False
1999-02-01,53,True,6,False
1999-03-01,58,True,6,False
1999-04-01,79,True,6,False
1999-05-01,76,True,6,False
1999-06-01,118,True,6,False
1999-07-01,74,True,6,False
1999-08-01,79,True,6,False
1999-09-01,115,True,6,False
1999-10-01,138,True,6,False
1999-11-01,102,True,6,False
