path,exists,bytes,sha256
main_documents/glossary/Network_Based_Data_Center_Glossary.tex,True,162885,6df7d515c41f6c0ecef2511ba18975818f22edb819041a5f9f4d60699d1ab7b2
main_documents/glossary/Network_Based_Data_Center_Glossary.pdf,True,1611993,b63d325c6e98c4f8f5e04be67a64ff13b73611aa3096fc4424491db1411f92ed
Meta_Prineville_Oregon_v3/README.md,True,41134,12e8267c2f10263d32dd6c5ffc00f3ec9b339a60e2e129f309d160a0f951e866
Meta_Prineville_Oregon_v3/docs/PIPELINE_DATA_MODEL_REPORT.md,True,58693,4f9f46a879bb327bbe58d6d8abc71946fda75a8951a46e7510569fb28fe1349a
Meta_Prineville_Oregon_v3/outputs/pipeline_report/data_source_inventory.csv,True,35609,e2244578b589a0808698353d0a4c2c7548483195203c95d17c3ce15d950b63dd
Meta_Prineville_Oregon_v3/outputs/pipeline_report/model_quantity_registry.csv,True,58238,abb2e332517ae70e568a7f657c3ba81af7ad8601de3f322ffb2aae583763a019
Meta_Prineville_Oregon_v3/outputs/pipeline_report/model_registry.csv,True,21891,279e9999d72e4b521718a2895367a7d0ea2b5f8e80d3618cbc6c739296b923e9
Meta_Prineville_Oregon_v3/outputs/city_prineville/city_metered_service_model_summary.json,True,14390,15a23fdfbee02d155e0ad1e6d3c2535a3d57aee53b8f5f453d8ee80976b6fb8f
Meta_Prineville_Oregon_v3/outputs/city_prineville/city_metered_service_monthly_predictions.csv,True,37833,aefeda20868b660480e3ef8a2330c4c971d307b10c154857b102a22f682d04c4
Meta_Prineville_Oregon_v3/data/processed/city_prineville/city_meta_annual_reconciliation.csv,True,9861,e4a176d8b49dee2dc68a08a9ebe73bfe3c5541480388ce4b03eb8813ab01ebe1
Meta_Prineville_Oregon_v3/data/processed/city_prineville/city_owrd_well_meter_compare.csv,True,34814,ee8cd6e37c10c42a6c18603e1ffc7b51f35bac7f398f3c28b68835ef33a273a5
other_sources/m100/results/suitability_2021_v3_closure/final_status.json,True,4903,b1220951db81fd4edaecf0575f82b4913db4882707e9b3c21dac9e9a6a803cc9
other_sources/masanet/results/followup_v1/FRONTIER_CLOSURE_STATUS.json,True,366,22af96d1763a07f7a5b8aae8a83f47410f57ff5dc966709561838f9b5e053d41
other_sources/masanet/results/final_repro_v2/FINAL_MASANET_STATUS.json,True,86447,f623c1ae62fdafea87dfc3a949b0037713e57f89dd8ca029af5d8abd344890f6
other_sources/nlr_esif_fullstack/facility_overhead/analysis/FINAL_ESIF_FACILITY_OVERHEAD_STATUS.json,True,3534,ae7c50a0a5ab4c6ecd52f0fe55607ca423295458755226515ee5c46e2c3542d2
Meta_Forest_City_North_Carolina_v3/outputs/FOREST_CITY_V3_FREEZE.json,True,1165,d168ca0de490d6279aa7b26c9cf9ba830282436ecf0c3dfc4bf16f478c7da7e6
Meta_Forest_City_North_Carolina_v3/outputs/FINAL_CLAIMS_LEDGER.json,True,6800,cae6c2172ff3819f3ccfad3fba938f7966ae2de7cf5e962070766cfb6178993c
other_sources/it_power/analysis/FINAL_IT_POWER_STATUS.json,True,1487,2a6421e57edcfdbff665c3dcb5e666257eb5748f8d09eb438e1ebf2f3e098e94
Meta_Prineville_Oregon_v3/outputs/pipeline_report/figures/fig02_observed_ground_truth.png,True,359329,2a6fd479c8140158fba9b80c5c465f6868b636a08b5b0cf6e0256a5eb68d2801
Meta_Prineville_Oregon_v3/outputs/pipeline_report/figures/fig03_water_model_accuracy.png,True,164082,77d0f8cc43394ad3bd5e9f7724ec216b39451ee87d46af97632aa3b84e9fc36f
Meta_Prineville_Oregon_v3/outputs/pipeline_report/figures/fig_advisor_gwis_estimation_candidates.png,True,116497,99960ad6a0e466397bbb065c776c0a76117cdb77e0e7b52ada6d00e91f3a97d6
