tech_id,Cooling system,Climate Zone,Data center size,liquid_cooling_type,source_scope_status,Case (Original),n,source,scenario_id_min,scenario_id_max,PUE_min,PUE_max,PUE_p05,PUE_p95,WUE_site_model_min,WUE_site_model_max,WUE_site_model_p05,WUE_site_model_p95,evidence_status,supported
ACC,Air-cooled chiller,0A,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,2350,2399,1.7283978,2.6701417,1.775760465,2.62972017,0.0220388919115066,0.1026084125041961,0.023552292399108398,0.09897201061248771,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,0A,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,2450,2499,1.9590738,3.030282,1.9947591350000002,2.8097918799999997,0.0224110893905162,0.1105474904179573,0.025656616780906912,0.10484730154275888,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,0B,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,3350,3399,1.7656763,2.8438761,1.821002655,2.796740135,0.0208490975201129,0.1063875928521156,0.02530962955206629,0.09970353282988068,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,0B,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,3450,3499,2.026696,3.288191,2.04302696,3.0769454199999995,0.0226664245128631,0.1098914965987205,0.02519730310887092,0.10234551765024658,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,1A,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,7350,7399,1.7068912,2.630041,1.75074837,2.4055052949999998,0.0205326918512582,0.1058081835508346,0.024172287061810422,0.09894123412668697,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,1A,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,7450,7499,1.9132302,3.0457282,1.97077368,2.7211082199999996,0.0217172466218471,0.105389155447483,0.02680077347904437,0.10491837859153742,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,1B,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,13350,13399,1.7585158,2.687375,1.8035662749999999,2.5708434099999997,0.0226504597812891,0.1063573881983757,0.023801434226334066,0.09485781155526633,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,1B,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,13450,13499,1.9190267,3.080584,2.0087913,2.88984006,0.0214312076568603,0.1106756180524826,0.02667703041806816,0.10209535695612425,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,2A,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,6350,6399,1.6977243,2.521172,1.76511083,2.4615063249999998,0.0212550498545169,0.1086958870291709,0.024584805779159016,0.09607417583465572,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,2A,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,6450,6499,1.8616478,2.780536,1.928857845,2.6506060099999997,0.0210116896778345,0.1053400188684463,0.025780611671507296,0.10270024426281446,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,2B,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,4350,4399,1.7168517,2.7849998,1.7337656700000001,2.5377439249999996,0.0200300384312868,0.0976971387863159,0.024123924598097715,0.09527621716260909,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,2B,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,4450,4499,1.9195132,3.024912,1.95678689,2.76513579,0.0219678897410631,0.1116673424839973,0.026461831573396866,0.10328415334224698,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,3A,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,5350,5399,1.6440718,2.309204,1.67527971,2.239017825,0.0200904626399278,0.1071451157331466,0.023486392386257646,0.10005726329982279,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,3A,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,5450,5499,1.8403635,2.8277848,1.8584027200000002,2.4774942149999997,0.0210047978907823,0.1119260787963867,0.024659126903861676,0.10486735887825485,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,3B,Midsize,NOT_APPLICABLE,PAPER_CORE,7,50,LEI2025_UES16,15350,15399,1.6593682,2.547027,1.6817224,2.2493165399999997,0.0195645727217197,0.106277085840702,0.024394605215638833,0.09681962504982945,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
ACC,Air-cooled chiller,3B,Small,NOT_APPLICABLE,PAPER_CORE,9,50,LEI2025_UES16,15450,15499,1.8571497,2.8027098,1.9016592749999999,2.5757069,0.0215762238949537,0.1119919940829277,0.026065760385245038,0.10380758531391615,SOURCE_MODEL_SCENARIO_SAME_LINEAGE,True
