Cooling system,Climate Zone,Data center size,Case,Case (Original),type,n,PUE_mean,PUE_sd,PUE_p05,PUE_p25,PUE_p50,PUE_p75,PUE_p95,PUE_iqr,PUE_mad,WUE_mean,WUE_sd,WUE_p05,WUE_p25,WUE_p50,WUE_p75,WUE_p95,WUE_iqr,WUE_mad,cov_PUE_WUE,pearson,spearman,source_id,temporal_resolution,paired
Air-cooled chiller,0A,Midsize,7,7,Cluster 1,50,2.091938548,0.26309850672042756,1.775760465,1.904032675,2.0415981,2.1986602499999996,2.62972017,0.2946275749999996,0.15099450000000003,0.060526797547936405,0.02455982261597322,0.023552292399108398,0.040101842954754774,0.060098012909293105,0.08010949939489362,0.09897201061248771,0.040007656440138845,0.0203432869166136,0.0009687640455330898,0.1499251193417735,0.16062424969987996,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,0A,Small,9,9,Cluster 1,50,2.294390564,0.2689659590577374,1.9947591350000002,2.1119074749999998,2.19936765,2.4288681,2.8097918799999997,0.3169606250000001,0.1354461,0.06408406890928742,0.026133549589614936,0.025656616780906912,0.0436956807971,0.06350217014551154,0.08523934707045552,0.10484730154275888,0.041543666273355526,0.02155228704214101,-0.001619610555452872,-0.2304171913638214,-0.18665066026410562,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,0B,Midsize,7,7,Cluster 1,50,2.179078404,0.3026651443646895,1.821002655,1.906678725,2.1135306,2.378769775,2.796740135,0.47209104999999996,0.21298469999999992,0.06013127338141198,0.02385440521348488,0.02530962955206629,0.041339597664773395,0.060650052502751295,0.0780622009187936,0.09970353282988068,0.0367226032540202,0.01874629221856595,-0.0004114472551241486,-0.05698796745393294,-0.0534453781512605,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,0B,Small,9,9,Cluster 1,50,2.4012170779999997,0.3448084434147774,2.04302696,2.157534,2.23450075,2.55517305,3.0769454199999995,0.39763905,0.14952410000000005,0.06396313898265356,0.025574037101495348,0.02519730310887092,0.04346754029393195,0.06119487620890135,0.0832097250968217,0.10234551765024658,0.039742184802889755,0.02052246034145355,-0.0003042759698253941,-0.034505670628680665,-0.04086434573829532,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,1A,Midsize,7,7,Cluster 1,50,2.037821966,0.2140193241062216,1.75074837,1.89989375,2.0008803,2.103831925,2.4055052949999998,0.20393817500000022,0.10570645000000001,0.06040925130248066,0.0246869797833227,0.024172287061810422,0.0392012568190693,0.06165049038827415,0.08123564720153807,0.09894123412668697,0.04203439038246877,0.02151853777468205,0.0008917686940248298,0.1687839990693263,0.2847058823529412,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,1A,Small,9,9,Cluster 1,50,2.2294577920000003,0.2502885662535333,1.97077368,2.046991975,2.144763,2.3369675,2.7211082199999996,0.289975525,0.12464735000000027,0.06413499541580672,0.025643263306273617,0.02680077347904437,0.041920675896108095,0.064662292599678,0.08430477418005461,0.10491837859153742,0.042384098283946514,0.020676873624324802,-0.0005713256316751561,-0.08901627284895444,-0.07236494597839135,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,1B,Midsize,7,7,Cluster 1,50,2.087450204,0.2321034955244486,1.8035662749999999,1.9005962,2.0613004999999998,2.187933675,2.5708434099999997,0.28733747499999995,0.14566425000000005,0.060297033935785255,0.02359676239885501,0.023801434226334066,0.0409575486555695,0.0614151135087013,0.07827640138566488,0.09485781155526633,0.037318852730095387,0.019537320360541347,0.00030230223887832305,0.05519595641038401,0.039711884753901555,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,1B,Small,9,9,Cluster 1,50,2.2923287000000006,0.29211261697163987,2.0087913,2.095461675,2.1798326,2.45767735,2.88984006,0.36221567499999985,0.12024975000000016,0.06363674540072677,0.025298753086124507,0.02667703041806816,0.043667865917086525,0.0623539928346872,0.0854018665850162,0.10209535695612425,0.04173400066792967,0.02252552658319475,-0.0011592101318085343,-0.15686018990275863,-0.12845138055222088,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,2A,Midsize,7,7,Cluster 1,50,1.9996202740000002,0.20563721051999917,1.76511083,1.857953175,1.932213,2.0989214499999997,2.4615063249999998,0.24096827499999973,0.0976895499999999,0.06025491934269663,0.023970022817445553,0.024584805779159016,0.0405450677499175,0.061341362074017455,0.0798807740211486,0.09607417583465572,0.0393357062712311,0.020081214606761898,1.0340553379281427e-05,0.0020978461223255264,-0.15966386554621848,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,2A,Small,9,9,Cluster 1,50,2.193880128,0.24362617495659292,1.928857845,2.0183107,2.10421575,2.2688321250000003,2.6506060099999997,0.2505214250000005,0.12093864999999993,0.06399438522756096,0.025312610785123132,0.025780611671507296,0.0437642270699143,0.06524441763758655,0.08578737266361712,0.10270024426281446,0.04202314559370282,0.021623542532324798,0.00040842937432934007,0.066230202227119,0.07534213685474188,LEI2025_UES16,annual_scenario,True
Air-cooled chiller,2B,Midsize,7,7,Cluster 1,50,2.041797922,0.25611050189282997,1.7337656700000001,1.8750345,1.98836255,2.0952104,2.5377439249999996,0.2201759000000001,0.11046460000000025,0.060156803242862184,0.02376273921778453,0.024123924598097715,0.04028117377310982,0.059198791161179445,0.08208409883081913,0.09527621716260909,0.04180292505770931,0.021820360794663398,0.0014687626004209562,0.2413391152597845,0.2293877551020408,LEI2025_UES16,annual_scenario,True
