year,reported_electricity_MWh,electricity_reporting_boundary,electricity_source,reported_withdrawal_m3,reported_withdrawal_ML,withdrawal_reporting_boundary,withdrawal_source,architecture_epoch_independently_identified,withdrawal_per_electricity_L_per_kWh_facility,intensity_name,not_WUE,not_2012_FRC1_load,not_cooling_water
2015,310000,FOREST_CITY_SITE_AS_REPORTED,Facebook_2019_Sustainability_Data_Disclosure,,,,,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,,SITE_WITHDRAWAL_INTENSITY,True,True,True
2016,339000,FOREST_CITY_SITE_AS_REPORTED,Facebook_2019_and_2020_Sustainability_Data,,,,,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,,SITE_WITHDRAWAL_INTENSITY,True,True,True
2017,433000,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,129000,129.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.2979214780600462,SITE_WITHDRAWAL_INTENSITY,True,True,True
2018,547000,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,99000,99.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.1809872029250457,SITE_WITHDRAWAL_INTENSITY,True,True,True
2019,614000,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,85000,85.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.13843648208469056,SITE_WITHDRAWAL_INTENSITY,True,True,True
2020,595000,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI,68000,68.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI_and_2025_EDI_68_ML,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.11428571428571428,SITE_WITHDRAWAL_INTENSITY,True,True,True
2021,580842,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI,64053,64.053,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.11027611639654157,SITE_WITHDRAWAL_INTENSITY,True,True,True
2022,492786,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI,62853,62.853,FOREST_CITY_SITE_AS_REPORTED,Meta_2023_EDI,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.12754623710900878,SITE_WITHDRAWAL_INTENSITY,True,True,True
2023,507068,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI,55000,55.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI_55_ML,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.10846671452349586,SITE_WITHDRAWAL_INTENSITY,True,True,True
2024,535555,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI,16000,16.0,FOREST_CITY_SITE_AS_REPORTED,Meta_2025_EDI_16_ML,E2012_FRC1_OA_EVAP_DX;E2014_FRC3_SECOND_LARGE_HALL_PRESENT;E2014_FRC4_COLD_STORAGE;CANDIDATE_MEMBRANE_VS_MISTERS_UNRESOLVED;CANDIDATE_POST2014_ADDITIONAL_HALL_UNRESOLVED,0.02987554966343326,SITE_WITHDRAWAL_INTENSITY,True,True,True
