logical_input,path,package,used_by_step,exists_worktree,bytes,worktree_sha256,tracked_at_frozen_commit,frozen_git_blob_sha1,frozen_blob_sha256,recorded_package_sha256,worktree_matches_frozen,frozen_commit,resolution,notes
well_master,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_OCWD_WELL_MASTER.parquet,other_sources/ocwd_groundwater_feasibility,"cohort, coordinates, folds",True,111335,f1c3acdb5e8a7ee45eefa6a833f9d0ceedf2f429fba15d8c7b16735098d1aebc,False,,,f1c3acdb5e8a7ee45eefa6a833f9d0ceedf2f429fba15d8c7b16735098d1aebc,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
head_observations,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_OCWD_HEAD_OBSERVATIONS.parquet,other_sources/ocwd_groundwater_feasibility,"cohort, panel, transitions, outcomes",True,1935719,b190d0525b927821acbba4f864a61f715333a040884a21327639bcbbb5e13101,False,,,b190d0525b927821acbba4f864a61f715333a040884a21327639bcbbb5e13101,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
perforations,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_OCWD_PERFORATIONS.parquet,other_sources/ocwd_groundwater_feasibility,provenance only; prohibited from fold/model inputs,True,7681,254a663d16f35349fc3c2d31a382e6b604bc793cf1a6600db7fb57ddb2c65687,False,,,254a663d16f35349fc3c2d31a382e6b604bc793cf1a6600db7fb57ddb2c65687,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
observation_independence,other_sources/ocwd_groundwater_feasibility/outputs/tables/OBSERVATION_INDEPENDENCE_LEDGER.csv,other_sources/ocwd_groundwater_feasibility,development/independent population separation,True,15433146,f4349b06cebe2f93c4cf245d1ab0bff3ce569f556e0a3c93720137bec7022c00,True,b502de3fd978d1e2cd4fa494169c3e307c703af4,f4349b06cebe2f93c4cf245d1ab0bff3ce569f556e0a3c93720137bec7022c00,f4349b06cebe2f93c4cf245d1ab0bff3ce569f556e0a3c93720137bec7022c00,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_worktree_bytes,No dependency copied; source package read-only.
basin_8_001_geometry,other_sources/ocwd_groundwater_feasibility/data/derived/DWR_BASIN_8_001.geojson,other_sources/ocwd_groundwater_feasibility,figure boundary only,True,1193737,e78e967ae9038236b456445a3f4bac21b2c13628a3914019112c8f736a43ec03,False,,,e78e967ae9038236b456445a3f4bac21b2c13628a3914019112c8f736a43ec03,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
official_bulletin_118_geometry,other_sources/ocwd_groundwater_feasibility/data/raw/dwr/bulletin118_groundwater_basins.geojson,other_sources/ocwd_groundwater_feasibility,official geometry provenance,True,32705948,6ef98b660f7c81a900122fd3773c5d03fea70604161aded2d5b06e7c315dc097,False,,,6ef98b660f7c81a900122fd3773c5d03fea70604161aded2d5b06e7c315dc097,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
usgs_11074000_daily_derived,other_sources/ocwd_groundwater_feasibility/data/derived/USGS_11074000_SANTA_ANA_RIVER_DAILY.parquet,other_sources/ocwd_groundwater_feasibility,B3 public background hydrology,True,334348,a23cf9f155566ce72eb53faef87c76bd503e35b5c4f637e6c5bc791a7b93b3b7,False,,,a23cf9f155566ce72eb53faef87c76bd503e35b5c4f637e6c5bc791a7b93b3b7,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
usgs_11074000_daily_raw,other_sources/ocwd_groundwater_feasibility/data/raw/usgs/USGS_11074000_discharge_daily.rdb,other_sources/ocwd_groundwater_feasibility,B3 source provenance,True,987383,5f7d90dce443b9a8f17a6cf7fa77200cbb1688b7fe5e1e739a0a0814cbc4ee9c,False,,,5f7d90dce443b9a8f17a6cf7fa77200cbb1688b7fe5e1e739a0a0814cbc4ee9c,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_against_committed_package_hash_manifest,No dependency copied; source package read-only.
event_registry,other_sources/ocwd_groundwater_feasibility/outputs/tables/EVENT_REGISTRY.csv,other_sources/ocwd_groundwater_feasibility,reserved external validation registry only,True,2888,9d54bd00674c692aedebae9031eb4897b82bdd204be67ee1ac7fd80e01a001ce,True,0cb41e1b23afb943db661c9023657a484be6efdc,9d54bd00674c692aedebae9031eb4897b82bdd204be67ee1ac7fd80e01a001ce,9d54bd00674c692aedebae9031eb4897b82bdd204be67ee1ac7fd80e01a001ce,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_worktree_bytes,No dependency copied; source package read-only.
tracer_registry,other_sources/ocwd_groundwater_feasibility/outputs/tables/TRACER_VALIDATION_REGISTRY.csv,other_sources/ocwd_groundwater_feasibility,reserved external validation registry only,True,19481,46821ade16c946d0e719b87058fe2dae6b8c264f28fb14dd775d1d29eded381d,True,490770d260c41b337a17b03e732eac6771e21ec7,46821ade16c946d0e719b87058fe2dae6b8c264f28fb14dd775d1d29eded381d,46821ade16c946d0e719b87058fe2dae6b8c264f28fb14dd775d1d29eded381d,True,f5d2cedb3c5ba8f75aabe06801a42d274eafe692,verified_worktree_bytes,No dependency copied; source package read-only.
