site,evidence_class,n,t_db_C_mean,t_db_C_p05,t_db_C_p95,rh_pct_mean,t_wb_C_mean
KFQD_Forest_City,OBSERVED,1251,23.99547029043432,18.0,32.0,77.93081976309486,20.78288502438413
KRDM_Prineville,OBSERVED,1251,19.5246549427125,7.2,32.8,43.989163893659615,11.146326807286258
