combination,evidence_class,NOT_CAUSAL_IDENTIFICATION,NOT_WATER_USE,not_gallons,n_intersection,calendar_start_utc,calendar_end_utc,P(HUMIDIFICATION),P(OA_FREE),P(HIGH_RH_MIXING),P(EVAP_COOLING),P(MECHANICAL_COOLING),P(UNRESOLVED),n_HUMIDIFICATION,n_OA_FREE,n_HIGH_RH_MIXING,n_EVAP_COOLING,n_MECHANICAL_COOLING,n_UNRESOLVED,valid_hours,DX_required_hours,matches_committed_v2
PRN_weather+PRN_controller,MODEL_REPLAY,True,True,True,1251,2012-06-21 00:00:00+00:00,2012-09-01 00:00:00+00:00,0.43005595523581136,0.1374900079936051,0.20623501199040767,0.22621902478017586,0.0,0.0,538,172,258,283,0,0,1251,0,True
FC_weather+FC_controller,MODEL_REPLAY,True,True,True,1251,2012-06-21 00:00:00+00:00,2012-09-01 00:00:00+00:00,0.0,0.539568345323741,0.35411670663469225,0.10631494804156674,0.0,0.0,0,675,443,133,0,0,1251,0,True
