job_id,arrival_time,deadline_class,maximum_delay_hours,deadline_time,it_energy_mwh
0,0,short_4h,4,4,0.5233640878613007
1,0,short_4h,4,4,0.4750899833153079
2,0,short_4h,4,4,0.192025016440442
3,0,short_4h,4,4,0.41300932779841554
4,0,urgent_0h,0,0,0.2561010918432055
5,0,urgent_0h,0,0,0.4820538497981532
6,0,urgent_0h,0,0,0.26448254028182555
7,0,urgent_0h,0,0,0.32599281997699747
8,0,flexible_12h,12,12,0.7031296799361544
9,1,urgent_0h,0,1,0.268918239605677
10,1,short_4h,4,5,0.25015668469657154
11,1,flexible_12h,12,13,0.37662187159542343
12,1,short_4h,4,5,0.13020782863133026
13,1,urgent_0h,0,1,0.19938164839323286
14,1,urgent_0h,0,1,0.19017213864103655
15,2,urgent_0h,0,2,0.22052104383105625
16,2,urgent_0h,0,2,0.24136538072006897
17,2,short_4h,4,6,0.8555971280326367
18,2,urgent_0h,0,2,0.5334952293472383
19,2,flexible_12h,12,14,0.13360823402690547
20,3,flexible_12h,12,15,0.13597189973712898
21,3,flexible_12h,12,15,0.2035145095503025
22,3,short_4h,4,7,0.5073607048545854
23,3,urgent_0h,0,3,0.217135162710565
24,3,short_4h,4,7,0.24312673470709922
25,3,urgent_0h,0,3,0.19634802588142897
26,3,urgent_0h,0,3,0.7761168358570687
27,4,short_4h,4,8,1.0396090398953697
28,4,urgent_0h,0,4,0.462717163775539
29,4,short_4h,4,8,0.27843075917877835
30,4,short_4h,4,8,0.3758629119769326
31,4,urgent_0h,0,4,0.12077611937983178
32,4,flexible_12h,12,16,0.36174456947353134
33,4,flexible_12h,12,16,0.22677729115225095
34,4,urgent_0h,0,4,0.2531898457594545
35,5,urgent_0h,0,5,0.44468680165132474
36,5,short_4h,4,9,0.41829663002311673
37,5,flexible_12h,12,17,0.16568500332838787
38,5,short_4h,4,9,0.10903420369764603
39,5,short_4h,4,9,0.2034219802355823
40,5,urgent_0h,0,5,0.9623067656480591
41,5,short_4h,4,9,1.0370074381101715
42,5,flexible_12h,12,17,0.42158002724489413
43,5,flexible_12h,12,17,0.2624431374273736
44,5,flexible_12h,12,17,0.8486828286480081
45,6,flexible_12h,12,18,0.612663455605503
46,6,urgent_0h,0,6,0.3783276842696743
47,6,short_4h,4,10,0.18844875219466356
48,6,short_4h,4,10,0.14445461329450615
49,6,flexible_12h,12,18,0.9678273857347708
50,6,urgent_0h,0,6,3.0
51,6,flexible_12h,12,18,0.9434164070177495
52,6,urgent_0h,0,6,0.7706368736157079
53,7,short_4h,4,11,0.3025608550661084
54,7,short_4h,4,11,0.41014422287885716
55,7,urgent_0h,0,7,0.457445418558039
56,7,short_4h,4,11,0.21627716841002265
57,7,short_4h,4,11,0.45203127655609054
58,8,flexible_12h,12,20,0.44499563523548435
59,8,urgent_0h,0,8,0.48977097382939766
60,8,urgent_0h,0,8,0.7097543855376521
61,8,flexible_12h,12,20,0.21447167303928188
62,8,urgent_0h,0,8,1.3923047312380772
63,8,urgent_0h,0,8,1.4827381960951422
64,8,short_4h,4,12,0.14482877811063338
65,8,short_4h,4,12,0.4759305692274729
66,8,flexible_12h,12,20,0.4408098744225927
67,8,urgent_0h,0,8,0.6095852309451515
68,8,short_4h,4,12,0.2017808102486244
69,8,flexible_12h,12,20,0.24543381155575827
70,9,flexible_12h,12,21,0.40729214440686934
71,9,flexible_12h,12,21,0.9264074822809024
72,9,short_4h,4,13,0.1290568992270359
73,9,flexible_12h,12,21,1.4295851729936453
74,9,short_4h,4,13,0.3365778049688414
75,10,urgent_0h,0,10,0.38289131564095386
76,10,urgent_0h,0,10,0.5652826235729613
77,10,short_4h,4,14,0.20258800642307062
78,10,short_4h,4,14,0.9522167163381083
79,11,urgent_0h,0,11,0.20198049029177834
80,11,flexible_12h,12,23,0.48767182465549774
81,11,urgent_0h,0,11,0.35608057429388273
