scenario_id,time,day,hour_of_day,grid_price_per_mwh,grid_emissions_kg_per_mwh,grid_water_m3_per_mwh,pue,site_wue_m3_per_mwh_it,policy,arriving_flexible_it_mwh,processed_flexible_it_mwh,queued_flexible_it_mwh,fixed_it_energy_mwh,total_it_energy_mwh,it_utilization,dc_energy_mwh,grid_energy_mwh,auxiliary_energy_mwh,site_water_consumption_m3,site_water_discharge_m3,site_water_withdrawal_m3,indirect_grid_water_consumption_m3,total_water_footprint_m3,grid_co2e_metric_tons,heat_rejected_mwh_thermal,electricity_cost_usd,carbon_externality_usd,water_externality_usd,delay_cost_usd,modeled_objective_cost_usd
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,0,0,0,37.570496972219516,355.6821710806749,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3.635248397251802,1.3286303019001817,2.30661809535162,1.0,2.3286303019001817,0.23286303019001817,2.910787877375227,2.910787877375227,0.5821575754750454,0.8383069086840654,0.2794356362280218,1.1177425449120872,13.156761205736025,13.995068114420091,1.03531535178013,2.910787877375227,109.35974713369924,51.765767589006494,0.0,1.15330904767581,162.27882377038154
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,1,0,1,33.90134086789837,367.1577154222804,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,1.4154584115632716,0.6584720266399464,3.063604480274946,1.0,1.6584720266399464,0.16584720266399464,2.073090033299933,2.073090033299933,0.4146180066599867,0.5970499295903807,0.19901664319679357,0.7960665727871743,9.370366950515697,9.967416880106077,0.7611510004911026,2.073090033299933,70.28053186874382,38.057550024555134,0.0,1.531802240137473,109.86988413343641
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,2,0,2,32.29855333415849,349.7058942685979,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,1.9845870159579055,0.9953816538983635,4.052809842334488,1.0,1.9953816538983635,0.19953816538983635,2.4942270673729543,2.4942270673729543,0.49884541347459077,0.7183373954034108,0.2394457984678036,0.9577831938712144,11.273906344525752,11.992243739929163,0.8722459071046014,2.4942270673729543,80.55992596304709,43.61229535523007,0.0,2.026404921167244,126.19862623944441
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3,0,3,30.533281109049582,349.3666363538934,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,2.2795738732981787,1.1896000244490628,5.142783691183604,1.0,2.1896000244490628,0.21896000244490627,2.7370000305613287,2.7370000305613287,0.5474000061122659,0.7882560088016626,0.2627520029338875,1.05100801173555,12.371240138137205,13.159496146938867,0.9562164943777148,2.7370000305613287,83.56959132860635,47.81082471888574,0.0,2.571391845591802,133.95180789308387
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,4,0,4,26.106016923371808,324.3356549572155,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3.1191077005916883,2.4401715443302914,5.821719847445001,1.0,3.4401715443302914,0.34401715443302916,4.300214430412864,4.300214430412864,0.8600428860825726,1.2384617559589048,0.41282058531963495,1.6512823412785398,19.436969225466143,20.67543098142505,1.3947128637444257,4.300214430412864,112.26147069448588,69.73564318722129,0.0,2.9108599237225006,184.90797380542966
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,5,0,5,25.986718474402004,261.34951237444005,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,4.873144816014564,9.0,1.694864663459565,1.0,10.0,1.0,12.5,12.5,2.5,3.5999999999999996,1.2,4.8,56.49999999999999,60.099999999999994,3.266868904680501,12.5,324.83398093002506,163.34344523402504,0.0,0.8474323317297825,489.0248584957799
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,6,0,6,21.734786152668143,317.54991742148815,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,7.005775171732575,4.148964557885382,4.551675277306758,1.0,5.148964557885382,0.5148964557885382,6.436205697356727,6.436205697356727,1.2872411394713454,1.8536272408387373,0.6178757469462458,2.4715029877849832,29.091649752052405,30.94527699289114,2.0438165877033403,6.436205697356727,139.8895544666328,102.19082938516702,0.0,2.275837638653379,244.35622149045318
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,7,0,7,19.049365661485517,282.66012190335823,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,1.8384589414691177,0.45744541855803966,5.932688800217837,1.0,1.4574454185580397,0.14574454185580396,1.8218067731975496,1.8218067731975496,0.3643613546395099,0.5246803506808942,0.17489345022696476,0.699573800907859,8.234566614852923,8.759246965533817,0.5149521245963831,1.8218067731975496,34.704263387211135,25.747606229819155,0.0,2.9663444001089183,63.418214017139206
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,8,0,8,25.616061010802902,271.9035508037369,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,6.852404669485267,9.0,3.7850934697031042,1.0,10.0,1.0,12.5,12.5,2.5,3.5999999999999996,1.2,4.8,56.49999999999999,60.099999999999994,3.3987943850467115,12.5,320.20076263503626,169.93971925233558,0.0,1.8925467348515521,492.0330286222234
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,9,0,9,25.260657997259305,275.5991302387265,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3.2289195038772944,0.0,7.014012973580399,1.0,1.0,0.1,1.25,1.25,0.25,0.36,0.12,0.48,5.6499999999999995,6.01,0.3444989127984081,1.25,31.57582249657413,17.224945639920406,0.0,3.5070064867901993,52.307774623284736
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,10,0,10,18.986015304315558,273.6071322865803,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,2.102978661975094,9.0,0.11699163555549363,1.0,10.0,1.0,12.5,12.5,2.5,3.5999999999999996,1.2,4.8,56.49999999999999,60.099999999999994,3.4200891535822535,12.5,237.32519130394448,171.00445767911268,0.0,0.05849581777774682,408.3881448008349
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,11,0,11,21.580706776294463,273.67030319861504,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3.844880149234293,3.9618717847897864,0.0,1.0,4.961871784789786,0.49618717847897864,6.202339730987233,6.202339730987233,1.2404679461974464,1.786273842524323,0.5954246141747743,2.3816984566990973,28.03457558406229,29.820849426586612,1.6973961947200926,6.202339730987233,133.85087506139655,84.86980973600463,0.0,0.0,218.7206847974012
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,12,0,12,24.171493670575853,309.06285345321754,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,3.569087037775465,3.569087037775465,0.0,1.0,4.569087037775465,0.4569087037775465,5.711358797219331,5.711358797219331,1.142271759443866,1.6448713335991674,0.5482904445330558,2.193161778132223,25.815341763431373,27.46021309703054,1.765168846963743,5.711358797219331,138.05207301737477,88.25844234818715,0.0,0.0,226.3105153655619
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,13,0,13,30.035472823185312,322.13905155082534,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,2.995219309558067,2.995219309558067,0.0,1.0,3.995219309558067,0.3995219309558067,4.9940241369475835,4.9940241369475835,0.9988048273895167,1.438278951440904,0.479426317146968,1.917705268587872,22.572989099003074,24.011268050443977,1.6087701988982237,4.9940241369475835,149.99787624362062,80.43850994491119,0.0,0.0,230.4363861885318
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,14,0,14,32.46719761505203,358.2487936290553,4.52,1.25,0.36,electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,5.9146002415298415,5.9146002415298415,0.0,1.0,6.9146002415298415,0.6914600241529841,8.643250301912301,8.643250301912301,1.72865006038246,2.4892560869507427,0.8297520289835809,3.3190081159343237,39.0674913646436,41.55674745159435,3.09643399369405,8.643250301912301,280.62211558854483,154.8216996847025,0.0,0.0,435.4438152732473
