optimized_metric,direction,electricity_cost_usd,grid_co2e_metric_tons,total_water_footprint_m3,delay_mwh_hours
electricity_cost_usd,minimum,29413.982380461224,350.6940723422571,5135.369745002204,1700.2786773022021
electricity_cost_usd,maximum,37829.87497998089,379.91951684763353,5135.369745002205,1589.247680153611
grid_co2e_metric_tons,minimum,30345.02185394107,346.8369197985807,5135.369745002205,1538.302460041312
grid_co2e_metric_tons,maximum,37032.44602608652,383.5430126566124,5135.369745002204,1646.398622449892
total_water_footprint_m3,minimum,33807.28045942744,364.45372770486847,5135.369745002205,0.6780248317124637
total_water_footprint_m3,maximum,33807.28045942744,364.45372770486847,5135.369745002203,0.6780248317124637
delay_mwh_hours,minimum,33807.28045942744,364.45372770486847,5135.369745002203,0.6780248317124633
delay_mwh_hours,maximum,33653.813907446834,365.85135534097924,5135.369745002205,3366.716585316926
