scenario_id,normalized_solver_objective,active_weight_sum,average_delay_hours,peak_queue_mwh,total_dc_grid_energy_mwh,site_water_consumption_m3,indirect_grid_water_consumption_m3,heat_rejected_mwh_thermal,weight_electricity_cost_usd,electricity_cost_usd,normalized_electricity_cost_usd,weight_grid_co2e_metric_tons,grid_co2e_metric_tons,normalized_grid_co2e_metric_tons,weight_total_water_footprint_m3,total_water_footprint_m3,normalized_total_water_footprint_m3,weight_delay_mwh_hours,delay_mwh_hours,normalized_delay_mwh_hours
all_metrics_000,0.00020143109258769537,1.0,0.0010052693045717537,0.5073249885434996,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.0,33807.280459427435,0.5220240126885609,0.0,364.4537277048684,0.4799423329173868,0.0,5135.369745002203,0.0,1.0,0.6780248317123907,0.0
all_metrics_001,0.00015107331944077152,0.75,0.0010052693045717537,0.5073249885434996,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.0,33807.280459427435,0.5220240126885609,0.0,364.4537277048684,0.4799423329173868,0.25,5135.369745002203,0.0,0.75,0.6780248317123907,0.0
all_metrics_002,0.00010071554629384768,0.5,0.0010052693045717537,0.5073249885434996,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.0,33807.28045942744,0.5220240126885617,0.0,364.45372770486847,0.47994233291738836,0.5,5135.369745002205,0.0,0.5,0.6780248317123907,0.0
all_metrics_003,5.035777314692384e-05,0.25,0.0010052693045717537,0.5073249885434996,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.0,33807.280459427435,0.5220240126885609,0.0,364.45372770486836,0.47994233291738525,0.75,5135.369745002203,0.0,0.25,0.6780248317123907,0.0
all_metrics_004,0.0,0.0,0.0010052693045718621,0.5073249885435,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.0,33807.28045942744,0.5220240126885617,0.0,364.45372770486847,0.47994233291738836,1.0,5135.369745002204,0.0,0.0,0.6780248317124637,0.0
all_metrics_005,1.9567343433927187,1.0,0.0892279978187083,4.718270036556916,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.0,33618.88399496907,0.4996382169683392,0.25,361.82752396698794,0.4083955372684734,0.0,5135.369745002205,0.0,0.75,60.1816825898567,0.017677651664932317
all_metrics_006,1.950114665554863,0.75,0.20114779021077311,9.116640733966662,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.0,33481.65173052481,0.48333189483589084,0.25,359.8655263725807,0.35494399467642485,0.25,5135.369745002205,0.0,0.5,135.66831891388364,0.04010360853160801
all_metrics_007,1.9259144902201866,0.5,0.9273761924881966,16.143341384936477,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.0,32031.743400208026,0.3110497249510539,0.25,352.4503855739302,0.15293013117581875,0.5,5135.369745002203,0.0,0.25,625.4881990192172,0.18562180934970582
all_metrics_008,1.8412261665748042,0.25,2.2807545858179594,26.89543921064961,1068.0885492933035,307.6095021964715,4827.760242805733,1068.0885492933035,0.0,30345.02185394198,0.11062874528902847,0.25,346.8369197985809,7.364904604025244e-08,0.75,5135.369745002203,0.0,0.0,1538.302460041051,0.4568053491366864
all_metrics_009,3.851828980440373,1.0,0.9273761924882411,16.143341384936477,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.0,32031.743400208135,0.31104972495106686,0.5,352.45038557392985,0.15293013117580945,0.0,5135.369745002203,0.0,0.5,625.4881990192472,0.18562180934971473
all_metrics_010,3.784525143022208,0.75,1.6573146944116044,24.159303540568633,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.0,30895.496889221904,0.17603773119694224,0.5,348.2355394352414,0.03810326872539869,0.25,5135.369745002205,0.0,0.25,1117.8104331471638,0.3318834223280089
all_metrics_011,3.6824523331496084,0.5,2.280754585817881,26.895439210649617,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.0,30345.021853942162,0.11062874528905008,0.5,346.8369197985809,7.364904604025244e-08,0.5,5135.369745002203,0.0,0.0,1538.3024600409979,0.4568053491366706
all_metrics_012,5.631529180472728,1.0,1.9660984050290007,26.58323260071623,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.0,30656.191018165213,0.14760273715644318,0.75,347.2950762593894,0.012481826760536665,0.0,5135.369745002203,0.0,0.25,1326.0760416510232,0.39375603688022076
all_metrics_013,5.523678499724411,0.75,2.2807545858190217,26.89543921064969,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.0,30345.021853939463,0.11062874528872933,0.75,346.8369197985805,7.364903519998483e-08,0.25,5135.369745002204,0.0,0.0,1538.3024600417673,0.4568053491368992
all_metrics_014,7.364904666299217,1.0,2.280754585818208,26.895439210649656,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.0,30345.02185394139,0.11062874528895844,1.0,346.8369197985808,7.364904449164279e-08,0.0,5135.369745002205,0.0,0.0,1538.3024600412186,0.45680534913673615
all_metrics_015,0.7903068698780459,1.0,0.07876722313806697,7.638124980325513,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.25,33199.06878670754,0.4497545977645319,0.0,364.17978632792364,0.47247923040430145,0.0,5135.369745002203,0.0,0.75,53.12619510986788,0.015581571277664652
all_metrics_016,0.7839829943511512,0.75,0.192760982831761,10.211732456555783,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.25,32734.54887828695,0.3945590408427232,0.0,363.83027033903664,0.4629572162999777,0.25,5135.369745002205,0.0,0.5,130.01166190078467,0.03842309986990521
all_metrics_017,0.7582609572293686,0.5,1.1458570571075954,21.810667067569398,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.25,30586.472226625658,0.13931855502090162,0.0,356.4912504977257,0.26301714871277104,0.5,5135.369745002205,0.0,0.25,772.8471711794698,0.22939996816709154
all_metrics_018,0.6660309786592243,0.25,2.5208466493729413,27.8089326623342,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.25,29413.98249288716,4.000000450922209e-08,0.0,350.6940374754035,0.10508118606881629,0.75,5135.369745002204,0.0,0.0,1700.2375556885752,0.504913857437466
all_metrics_019,2.7014753253239987,1.0,1.0994716910778182,21.810667067569373,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.25,30998.1140244474,0.1882309866975515,0.25,352.2704475454895,0.14802800223409981,0.0,5135.369745002203,0.0,0.5,741.5615944158826,0.2201054886510403
all_metrics_020,2.6281480442169607,0.75,1.797251263901212,26.583232600716254,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.25,30041.062873950454,0.07451148771214394,0.25,348.63285599215584,0.048927534221430286,0.25,5135.369745002204,0.0,0.25,1212.1935686384238,0.3599232480315009
all_metrics_021,2.5226246866773496,0.5,2.4809063949933194,27.808932662334293,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.25,29678.415515415203,0.03142071257478967,0.25,347.9399189919768,0.03004955410348543,0.5,5135.369745002204,0.0,0.0,1673.2990187899186,0.49691081880758947
