scenario_id,time,urgent_0h,short_4h,flexible_12h
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,57,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,58,-0.0,0.6566635315123797,1.3140627847745776
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,59,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,60,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,61,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,62,-0.0,1.1493719594075507,0.8488869515298584
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,63,0.0,0.0,1.9473820422701755
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,64,0.0,0.0,3.354737325760774
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,65,0.0,0.0,4.332916927411953
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,66,0.0,0.0,4.581345800967173
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,67,0.0,2.50286934747074,4.581345800967173
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,68,-0.0,3.338400875075127,5.013653389896116
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,69,0.0,6.00047309551119,6.907273409687544
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,70,-0.0,7.475540873546063,9.918520090718935
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,71,-0.0,6.564706456245121,10.423881877840943
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,72,-0.0,8.503161401445572,13.17127700345578
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,73,-0.0,6.8816080641174295,16.23477845625815
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,74,-0.0,6.988329583535698,17.240503471827203
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,75,-0.0,6.183457969318728,15.959594629916953
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,76,-0.0,6.973507369341191,15.155567446458921
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,77,0.0,7.21841654477719,10.090980588960347
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,78,0.0,5.2074989926700574,9.143205237665029
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,79,-0.0,0.0,11.757943614041501
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,80,0.0,0.0,7.281464486968405
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,81,0.0,0.0,2.171598962191758
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,82,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,83,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,84,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,85,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,86,0.0,0.0,1.9647753848398333
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,87,0.0,0.0,2.368420868126867
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,88,-0.0,1.4413546426407235,2.368420868126867
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,89,0.0,1.467361917135862,3.3102527794173557
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,90,0.0,0.0,3.7577789520457836
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,91,-0.0,0.8515183611270724,3.7577789520457836
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,92,-0.0,2.352189590205463,4.717741300559517
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,93,0.0,2.5888025127497993,6.469826771112753
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,94,-0.0,3.253718811685347,6.758754519028548
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,95,-0.0,5.29909807259848,8.029723349914653
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,96,-0.0,8.137615752551842,9.236129374984296
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,97,-0.0,8.929978184648181,10.83363644759256
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,98,-0.0,11.386108044352497,8.94164091279143
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,99,-0.0,12.646720085349472,8.537995429504393
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,100,-0.0,9.127811298035828,8.746494532985128
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,101,0.0,4.748575372863756,6.489416330300241
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,102,-0.0,7.500053253150549,6.769464748203081
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,103,0.0,4.934274353280929,1.4519844677831548
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,104,0.0,5.915190732641329,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,105,-0.0,6.848953553648394,0.7449953517493544
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,106,0.0,4.563423093091936,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,107,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,108,0.0,0.0,0.0
