scenario_id,time,urgent_0h,short_4h,flexible_12h
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,49,0.7295770163382969,0.7513289701651686,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,50,2.9373022706883933,0.2528374084725442,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,51,0.4902476053919713,1.2243950001148676,0.9717681703145828
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,52,0.5852304549618736,1.9956053493274055,4.88582347353857
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,53,1.0318819485774442,5.221775911438867,2.746342139983689
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,54,1.6483294897140353,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,55,1.3066121847556647,0.0,7.693387815244336
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,56,1.1398435480704412,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,57,0.632726519789075,2.9807993197462794,5.386474160464646
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,58,0.24034094127924188,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,59,0.8480392157223985,0.7733456635640741,4.291964322310062
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,60,0.8214351128608793,0.4187562600328891,0.3965332581507082
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,61,5.208178018657053,1.3588946069321075,1.940215266685922
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,62,0.18568315430177018,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,63,0.691954452777071,5.138632427591936,0.8488869515298685
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,64,1.0916404846615435,0.24888538105317307,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,65,1.0712083776718857,2.8712505707052776,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,66,-0.0,0.6392748322632924,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,67,0.4217733264010676,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,68,2.5612763751824366,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,69,0.3924482504076234,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,70,0.8476105769508191,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,71,0.18136471779091323,3.3384008750751057,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,72,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,73,0.6336513920661986,2.66207222043605,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,74,0.8121196334698197,1.4750677780348695,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,75,2.083268454722644,4.366021402974596,2.5507101423027603
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,76,1.1216817806430575,0.0,0.8040271834580324
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,77,1.7325217045955528,1.0405188831079215,6.226959412296526
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,78,4.296209442260829,3.4571467976960424,1.2466437600431286
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,79,0.36002291322349045,8.63997708677651,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,80,0.08676449923004974,2.8409415485270633,6.072293952242887
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,81,0.6555453724519836,2.5438333146759518,5.800621312872064
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,82,1.9527157903962826,0.9814074474485981,4.128414718509349
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,83,3.0902336840131808,4.395806288084801,0.12046015698315261
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,84,1.3999433455115295,6.558881826152901,0.4330074126160074
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,85,3.297857433243906,2.790136862000006,1.8019240133785346
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,86,1.2687118659795578,0.9119284203173529,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,87,1.6981327696226471,1.427647910596726,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,88,0.46504854110067845,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,89,0.053367917718063394,0.45720250376924,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,90,6.294360451464556,2.7056395485354443,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,91,0.4299405508406548,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,92,0.3929126778823501,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,93,2.6862935490000575,0.8515183611270096,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,94,1.204081286833199,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,95,1.8199773770568024,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,96,1.084267964001215,1.5006712290783923,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,97,0.553176707233888,1.0881312836713448,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,98,0.31646293863263963,0.6649162989355375,1.9647753848398395
