station_a,station_b,period,jja_overlap_usable,stitched,evidence_class
KFQD,KEHO,JJA_2012,1095,False,OBSERVED
KFQD,KEHO,COMMON_2012-06-21_to_2012-08-31,1095,False,OBSERVED
KFQD,KGSP,JJA_2012,1253,False,OBSERVED
KFQD,KGSP,COMMON_2012-06-21_to_2012-08-31,1253,False,OBSERVED
KEHO,KGSP,JJA_2012,1916,False,OBSERVED
KEHO,KGSP,COMMON_2012-06-21_to_2012-08-31,1458,False,OBSERVED
KFQD,KRDM,JJA_2012,1251,False,OBSERVED
KFQD,KRDM,COMMON_2012-06-21_to_2012-08-31,1251,False,OBSERVED
