time,urgent_0h,short_4h,flexible_12h
0,-0.0,4.567114607488141,0.566001520850238
1,-0.0,6.821119087095423,2.5752552057275944
2,-0.0,9.112885519954162,2.7958704126693443
3,-0.0,10.178688693288938,3.4561764570647746
4,-0.0,5.669654240076485,3.7044410019339495
5,0.0,0.0,2.460287865649402
6,-0.0,1.024682402647714,2.460287865649402
7,0.0,0.0,0.0
8,0.0,1.582966786140988,1.1097706505423417
9,-0.0,2.637279964104504,2.5769227700656274
10,0.0,0.0,0.0
11,0.0,0.0,-0.0
12,0.0,0.0,-0.0
13,0.0,0.0,0.16658953296655638
14,0.0,0.0,0.7516554761020457
15,0.0,-0.0,1.6021204279288153
16,0.0,1.093416205612273,2.2766810441021508
17,0.0,1.1635041782230249,3.553348760564687
18,0.0,2.532955859446387,3.553348760564687
19,-0.0,4.864774186555676,3.9992051213309203
20,-0.0,5.404491305931504,4.278818839529494
21,-0.0,8.544155188455061,4.854772005269162
22,0.0,5.642773121594543,8.421687099006931
23,-0.0,9.108319491763375,8.594331961230072
24,0.0,5.024564195961168,9.349320800737134
25,-0.0,6.116958207430194,9.732243696650603
26,-0.0,3.944946173641536,10.299301944298346
27,-0.0,6.4286117618368035,11.269214381639392
28,-0.0,7.140933296003205,9.91355515225234
29,-0.0,6.5116616235479485,6.656421807789302
30,-0.0,0.0,6.799644517347362
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,2.973609356465318
37,0.0,0.0,3.370142614616026
38,0.0,0.0,5.3103578813019485
39,-0.0,0.877395311106888,6.184415904521119
40,0.0,5.149248861714263,7.6705555535635215
41,-0.0,8.991525220364565,8.542556343328004
42,0.0,10.254225917076695,10.076091833468247
43,-0.0,11.390025009662775,12.814699268614941
44,-0.0,9.371392241488095,14.569208880476957
45,-1.3156142841808105e-14,5.874221269792471,15.399528724525894
46,-0.0,5.34162445613207,20.10060941060371
47,-0.0,6.765727810958902,20.48932577616118
48,-1.6209256159527285e-14,5.454729808101018,17.947962463447315
49,-1.7541523789077473e-14,6.322013275956375,19.413706729228576
50,0.0,0.35895748392254045,18.550217768688427
51,-2.2648549702353193e-14,0.5852725095357852,20.147618507359876
52,-2.4646951146678475e-14,2.5598427941019657,11.997107304188523
53,-1.965094753586527e-14,3.5371690465064693,4.276127231518127
54,0.0,0.0,4.570984241970809
55,0.0,0.0,0.0
56,-1.1324274851176597e-14,3.8484392790716315,1.0968861618928627
57,0.0,0.0,-0.0
58,0.0,0.0,0.0
59,0.0,0.0,3.5212733424194314
60,-0.0,2.431006304599384,4.758777335024012
61,0.0,0.0,5.6220619704612345
62,-0.0,0.5653426923132598,6.2627523204079605
63,0.0,0.0,7.891730299643764
64,-0.0,2.258914024114055,10.166467885293356
65,-0.0,3.2265580298773395,10.37128952062474
66,0.0,2.4824172975280288,10.37128952062474
67,0.0,6.618359301029932,10.37128952062474
68,1.1546319456101628e-14,8.18445961928208,13.147705150363931
69,0.0,7.516385391162435,14.149679371117479
70,-0.0,8.32947426081981,17.299403800220723
71,-0.0,4.830176620806725,13.900276796922267
72,-0.0,6.183636838039426,13.32659502284821
73,0.0,4.79640739599844,12.35202633602761
74,-0.0,6.467030412604021,14.010768225181277
75,2.842170943040401e-14,6.135160437529491,10.96915837224607
76,3.2862601528904634e-14,7.718087087157639,10.342908465916253
77,2.930988785010413e-14,1.1774127222951205,10.427578385117922
78,2.930988785010413e-14,0.2425632203443011,4.591908415164597
79,3.4638958368304884e-14,0.0,6.523631736803725
80,3.808064974464287e-14,0.0,6.514135948598782
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,1.8657305520599743
84,0.0,0.0,4.6391792009631185
85,0.0,0.0,4.6391792009631185
86,4.3520742565306136e-14,0.644784072362697,6.002948028536187
87,5.0182080713057076e-14,1.055035689413173,7.107248661729681
88,0.0,2.5108084275659532,7.804678664263342
89,5.684341886080802e-14,6.1253275314023305,8.490683782176575
90,0.0,6.588047237668803,8.490683782176575
91,4.973799150320701e-14,6.751127775528282,8.682113704762187
92,3.9968028886505635e-14,7.195617331797722,9.264344532779681
93,0.0,5.8097131066774175,7.3986139807198334
94,0.0,5.9282964565998615,8.952890584525518
95,3.352873534367973e-14,6.935812870091064,9.994515495720442
96,2.375877272697835e-14,7.3033263954090994,8.455539658313947
97,1.9984014443252818e-14,3.832323224875595,9.727959031603119
98,1.354472090042691e-14,0.0,8.803371621218702
