scenario,cost_normalized,emissions_normalized,water_normalized
asap,0.615627851998641,0.561204317715739,0.5885779200013501
cost_focus,0.0,0.9872584505177351,0.3441368139220416
emissions_focus,1.0,0.0,1.0
water_focus,0.35503899816580514,1.0,0.0
balanced,0.09032323115965188,0.9744918440776941,0.11572571231016536
