scenario,flexible_it_work_mwh,total_it_energy_mwh,total_dc_grid_energy_mwh,average_it_utilization,peak_it_utilization,average_delay_hours,peak_queue_mwh,electricity_cost_usd,grid_co2e_metric_tons,site_water_consumption_m3,site_water_withdrawal_m3,indirect_grid_water_consumption_m3,total_water_footprint_m3,heat_rejected_mwh_thermal,weights
asap,680.820165074878,860.8201650748781,1076.0252063435978,0.478233425041599,1.0,0.002639311295711311,1.6891601012948314,33948.035092878694,364.46491078961753,310.2865549245406,413.7154065660542,4861.325166310699,5171.61172123524,1076.0252063435978,-
cost_focus,680.820165074878,860.8201650748781,1076.0252063435976,0.478233425041599,1.0,2.5753069639780835,26.765043395006355,29607.449122152437,378.0382877023894,296.67688435004453,395.5691791333927,4652.086157447897,4948.763041797942,1076.0252063435976,"(1.0, 0.0, 0.0)"
emissions_focus,680.820165074878,860.8201650748779,1076.0252063435973,0.4782334250415988,1.0,2.2228905459882307,24.819115835034577,36658.11448213332,346.5858734960846,331.9524806263715,442.6033075018286,5214.738819856471,5546.691300482843,1076.0252063435973,"(0.0, 1.0, 0.0)"
water_focus,680.820165074878,860.8201650748781,1076.0252063435978,0.478233425041599,1.0,2.490521078787486,27.25505358711998,32110.710287962396,378.4442123027169,279.9236844194123,373.23157922588314,4355.101476878986,4635.025161298398,1076.0252063435978,"(0.0, 0.0, 1.0)"
balanced,680.820165074878,860.8201650748781,1076.0252063435978,0.478233425041599,1.0,2.6256171286408634,27.25505358712008,30244.28799929134,377.63156482901167,285.51158264369764,380.68211019159685,4455.016792000879,4740.528374644577,1076.0252063435978,"(0.333, 0.333, 0.333)"
