time,urgent_0h,short_4h,flexible_12h
0,0.0,0.0,0.566001520850238
1,0.0,2.254004479607282,2.5752552057275944
2,0.0,4.545770912466021,2.7958704126693443
3,-0.0,5.611574085800797,3.4561764570647746
4,-0.0,5.669654240076484,3.7044410019339495
5,0.0,-0.0,4.40932259596122
6,-0.0,1.024682402647714,4.40932259596122
7,-0.0,3.08545236966223,5.0125338965086925
8,-0.0,4.6684191558032175,6.122304547051034
9,-0.0,5.722732333766734,7.58945666657432
10,-0.0,5.137984885196676,9.962821477715814
11,0.0,3.0094129973710384,9.688845906434327
12,-0.0,4.533462174287531,9.688845906434327
13,0.0,1.3867283835401594,6.716995958317172
14,0.0,2.1909891743610643,7.302061901452662
15,-0.0,4.322914360441207,8.152526853279431
16,-0.0,5.41633056605348,8.827087469452767
17,-0.0,0.0,6.590173724579536
18,-0.0,0.0,4.529702580703924
19,0.0,0.0,0.0
20,-0.0,1.6331333249880995,0.2796137181985735
21,-0.0,0.669736271456685,0.8555668839382405
22,0.0,0.0,0.0
23,0.0,0.0,-0.0
24,0.0,0.0,0.9215783724736206
25,-0.0,1.0923940114690265,1.3045012683870885
26,0.0,0.0,3.307090410997091
27,0.0,2.483665588195267,4.277002848338138
28,-0.0,3.9551170066818706,9.102977292852199
29,-0.0,4.41823934569564,10.293278064212984
30,0.0,0.6945785267307789,11.824415322930017
31,0.0,1.6875362429752863,12.353445901876913
32,-0.0,2.245237782513732,14.766137919867191
33,-0.0,3.1153107437085694,15.069651825693676
34,-0.0,5.31039642371605,16.217783386531334
35,-0.0,4.615661516602325,16.801815523089005
36,-0.0,4.520656174404613,18.8538465070807
37,-0.0,0.0,15.973410939206214
38,-0.0,1.9593429653923495,14.121804224549185
39,-0.0,0.38791233974271666,14.995862247768356
40,-0.0,4.659765890350092,9.305829156725494
41,-0.0,8.502042249000393,2.0144746422196658
42,-0.0,5.438577262734411,0.0
43,0.0,3.390009813196488,0.0
44,-0.0,5.643230595629182,1.7545096118620152
