time,day,hour_of_day,grid_price_per_mwh,grid_emissions_kg_per_mwh,grid_water_m3_per_mwh,pue,site_wue_m3_per_mwh_it,scenario,arriving_flexible_it_mwh,processed_flexible_it_mwh,queued_flexible_it_mwh,fixed_it_energy_mwh,total_it_energy_mwh,it_utilization,dc_energy_mwh,grid_energy_mwh,auxiliary_energy_mwh,site_water_consumption_m3,site_water_discharge_m3,site_water_withdrawal_m3,indirect_grid_water_consumption_m3,total_water_footprint_m3,grid_co2e_metric_tons,heat_rejected_mwh_thermal,electricity_cost_usd,carbon_externality_usd,water_externality_usd,delay_cost_usd
0,0,0,34.74299218011643,338.23909157554414,3.3912457076783284,1.25,0.24231772833931373,asap,6.0935727126268535,6.0935727126268535,0.0,1.0,7.0935727126268535,0.7093572712626853,8.866965890783566,8.866965890783566,1.773393178156713,1.7188984255334827,0.5729661418444942,2.291864567377977,30.070060017249915,31.788958442783397,2.999154487929969,8.866965890783566,308.0649266048526,149.95772439649846,0.0,0.0
1,0,1,30.86217899333479,376.24454095587237,3.3281435877315406,1.25,0.2677101411597562,asap,6.141620860487594,6.141620860487594,0.0,1.0,7.141620860487594,0.7141620860487594,8.927026075609492,8.927026075609492,1.785405215121898,1.9118843286705933,0.6372947762235311,2.5491791048941246,29.71042459105199,31.62230891972258,3.358744827918796,8.927026075609492,275.50747662362716,167.9372413959398,0.0,0.0
2,0,2,29.259391459594916,384.4186402480886,3.0557361010774287,1.25,0.230892297901671,asap,2.8935924467007226,2.8935924467007226,0.0,1.0,3.8935924467007226,0.38935924467007227,4.866990558375903,4.866990558375903,0.9733981116751806,0.8990005071113194,0.2996668357037731,1.1986673428150925,14.87223875283224,15.77123925994356,1.8709618925511502,4.866990558375903,142.40518197767298,93.5480946275575,0.0,0.0
3,0,3,27.7057763169465,407.05495405690675,2.929845499607163,1.25,0.2197774276342323,asap,1.9302445335195726,1.9302445335195726,0.0,1.0,2.9302445335195726,0.29302445335195726,3.662805666899466,3.662805666899466,0.7325611333798934,0.6440016059162027,0.21466720197206757,0.8586688078882703,10.731454699101013,11.375456305017215,1.49096319245914,3.662805666899466,101.48087449956066,74.548159622957,0.0,0.0
4,0,4,23.687402215799906,400.7834484173449,2.863299740207103,1.25,0.2399478660343795,asap,3.458241144886984,3.458241144886984,0.0,1.0,4.458241144886983,0.44582411448869835,5.572801431108729,5.572801431108729,1.1145602862217459,1.0697454489823006,0.3565818163274335,1.426327265309734,15.956600889919397,17.026346338901696,2.2334865749048713,5.572801431108729,132.0051889674578,111.67432874524357,0.0,0.0
5,0,5,24.146361669893984,351.0622583539308,3.2671966558174694,1.25,0.24691343964428297,asap,2.0861926236389676,2.0861926236389676,0.0,1.0,3.0861926236389676,0.30861926236389675,3.8577407795487098,3.8577407795487098,0.7715481559097421,0.7620224361075115,0.25400747870250384,1.0160299148100154,12.603997773952223,13.366020210059734,1.3543071902124235,3.8577407795487098,93.1504040916819,67.71535951062117,0.0,0.0
6,0,6,20.60264774927926,414.12910808976164,3.514293179410862,1.25,0.2528534522187247,asap,3.5134612267486336,3.5134612267486336,0.0,1.0,4.513461226748634,0.45134612267486335,5.6418265334357915,5.6418265334357915,1.128365306687158,1.141244252638752,0.38041475087958404,1.5216590035183362,19.82703250587263,20.968276758511383,2.336444590288916,5.6418265334357915,116.23656473091492,116.82222951444581,0.0,0.0
7,0,7,18.70714224362101,379.23931257163173,3.8402989766371136,1.25,0.28466784842128495,asap,5.3324774934207015,5.3324774934207015,0.0,1.0,6.3324774934207015,0.6332477493420702,7.915596866775877,7.915596866775877,1.5831193733551752,1.8026527432282828,0.600884247742761,2.403536990971044,30.398258546951343,32.200911290179626,3.0019055143502453,7.915596866775877,148.07819652993712,150.09527571751227,0.0,0.0
8,0,8,26.091617762000755,361.6162967832276,3.748191303533412,1.25,0.34875188567576326,asap,3.767619786016862,3.767619786016862,0.0,1.0,4.767619786016862,0.47676197860168623,5.959524732521078,5.959524732521078,1.1919049465042155,1.6627163905584597,0.5542387968528198,2.2169551874112794,22.337438775627785,24.000155166186243,2.155061264362327,5.959524732521078,155.49364136412976,107.75306321811635,0.0,0.0
9,0,9,26.526129733981534,352.0469236988559,4.373101385551462,1.25,0.35620217959827966,asap,3.87805769005383,3.87805769005383,0.0,1.0,4.87805769005383,0.487805769005383,6.0975721125672875,6.0975721125672875,1.2195144225134573,1.7375747814033236,0.5791915938011079,2.3167663752044314,26.66530105396796,28.402875835371283,2.146631504261247,6.0975721125672875,161.74498892026773,107.33157521306237,0.0,0.0
10,0,10,20.959705442156928,331.29544998959364,4.844565046362493,1.25,0.42022188176075315,asap,3.4252432016679504,3.4252432016679504,0.0,1.0,4.42524320166795,0.442524320166795,5.531554002084937,5.531554002084937,1.1063108004169875,1.859584025453886,0.619861341817962,2.479445367271848,26.797973170567246,28.65755719602113,1.8325786722624668,5.531554002084937,115.9397425210846,91.62893361312334,0.0,0.0
11,0,11,24.132654817199708,308.38304917810575,5.54903844638694,1.25,0.43538461173988197,asap,2.593948053561122,2.593948053561122,0.0,1.0,3.593948053561122,0.3593948053561122,4.492435066951402,4.492435066951402,0.8984870133902803,1.5647496779130137,0.5215832259710046,2.0863329038840184,24.928694904410218,26.49344458232323,1.3853908241811212,4.492435066951402,108.41438475942165,69.26954120905606,0.0,0.0
