time,urgent_0h,short_4h,flexible_12h
0,-0.0,4.567114607488141,0.566001520850238
1,-0.0,6.821119087095423,2.5752552057275944
2,-0.0,9.112885519954162,2.7958704126693443
3,0.0,2.085582398048242,3.4561764570647746
4,0.0,0.0,0.0
5,0.0,0.0,-0.0
6,0.0,0.0,0.0
7,-0.0,2.060769967014516,0.6032113005474722
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,2.373364811141494
11,-0.0,1.5151648653298642,2.6653907607102463
12,0.0,0.0,2.6653907607102463
13,-0.0,2.0215273761840145,2.8319802936768026
14,0.0,0.0,3.417046236812292
15,-0.0,2.1319251860801423,4.2675111886390615
16,-0.0,3.225341391692415,4.942071804812397
17,-0.0,3.295429364303167,6.218739521274933
18,-0.0,4.6648810455265295,6.218739521274933
19,-0.0,4.864774186555673,6.664595882041166
20,0.0,3.9649516520973904,4.570844789098246
21,-0.0,7.174703507231698,5.146797954837913
22,-1.021405182655144e-14,7.974591448703829,8.71371304857568
23,-0.0,9.108319491763371,8.594331961230068
24,-0.0,8.23431605109547,9.515910333703689
25,-0.0,6.11695820743019,9.338601635622021
26,-0.0,0.0,10.551571263514512
27,-0.0,2.4149535984316906,2.5901956906191357
28,0.0,3.886405016918294,0.0
29,0.0,0.0,0.0
30,1.2989609388114332e-14,0.694578526730766,1.531137258717033
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,-0.0
34,0.0,0.0,1.1481315608376568
35,0.0,0.0,1.7321636973953265
36,0.0,0.0,4.705773053860645
37,1.0325074129013956e-14,0.38093988670930995,5.102306312011353
38,0.0,1.1546319456101628e-14,7.042521578697276
39,0.0,0.8773953111068995,7.916579601916446
40,2.042810365310288e-14,5.149248861714274,9.402719250958848
41,2.1760371282653068e-14,8.991525220364576,10.27472004072333
42,1.1074474670635936e-14,11.131621228183576,11.808255530863462
43,1.1074474670635936e-14,11.39002500966276,14.546862966010156
44,2.2620794126737565e-14,9.371392241488078,16.301372577872172
45,-0.0,5.8742212697924465,17.13169242192111
46,1.3100631690576847e-14,5.34162445613206,20.684641547161274
47,1.3100631690576847e-14,6.765727810958891,20.489325776161078
48,-0.0,5.454729808101007,17.94796246344721
49,0.0,4.714514081797772,14.965323919614482
50,0.0,4.93718499985886,7.9161082489794286
51,-0.0,0.0,6.198496405592738
52,-0.0,0.0,0.0225554869875646
53,0.0,0.0,0.0
54,0.0,0.0,-0.0
55,0.0,0.0,0.0
56,0.0,0.0,-0.0
57,0.0,0.0,-0.0
58,0.0,0.0,-0.0
59,-0.0,3.8087078026073735,3.5212733424194314
60,-0.0,6.2397141072067575,4.758777335024012
61,0.0,0.0,5.6220619704612345
62,0.0,0.5653426923132598,6.2627523204079605
63,0.0,0.5653426923132598,7.891730299643764
64,2.0483614804334138e-14,2.824256716427315,10.166467885293356
65,1.3822276656583199e-14,3.7919007221906,10.37128952062474
66,1.6653345369377348e-14,4.7413313216420745,10.37128952062474
67,1.1178558079194545e-14,8.877273325143978,10.37128952062474
68,1.8283985436795547e-14,8.18445961928209,13.147705150363931
69,1.2510825708744733e-14,9.031158682927146,14.149679371117479
70,1.1178558079194545e-14,8.329474260819822,17.299403800220723
71,1.8894608100339383e-14,4.830176620806707,13.900276796922158
72,-0.0,4.369293768631055,12.672893654746819
73,0.0,5.609496265655798,7.288628670216713
74,-0.0,0.0,8.35684521852917
75,0.0,0.0,4.983365390519463
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,-0.0,0.0,1.6891601012948358
80,0.0,0.0,-0.0
81,1.5987211554602254e-14,1.2871744782008132,0.18793765149690822
82,0.0,0.0,3.7454255374771326
83,0.0,0.0,5.611156089537107
84,0.0,0.0,8.38460473844025
85,0.0,1.0169642905566434e-13,8.38460473844025
86,2.220446049250313e-14,0.6447840723627987,9.748373566013319
87,2.886579864025407e-14,1.0550356894132746,10.852674199206813
88,3.497202527569243e-14,2.510808427566055,11.550104201740474
89,4.6074255521943996e-14,6.125327531402432,12.236109319653707
90,3.9745984281580604e-14,6.998298854719424,12.236109319653707
91,4.241051954068098e-14,6.751127775528412,12.42753924223932
92,3.9745984281580604e-14,7.195617331797845,13.009770070256813
93,4.440892098500626e-14,7.4905490402167665,12.82183241875996
94,0.0,5.928296456599995,8.952890584525447
95,4.929390229335695e-14,6.935812870091198,9.994515495720371
96,4.218847493575595e-14,7.303326395409231,8.455539658313878
97,2.5091040356528538e-14,3.8323232248756867,9.72795903160305
