building_id,architecture,deltaT_K,deltaT_status,weather_label,AIR_STREAM_EVAPORATED_WATER_m3_h_per_MW_IT,intensity_L_per_kWh_IT,water_boundary,status
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,8.0,SENSITIVITY_NOT_PUBLIC_BOUND,cold_dry,1.0802039010452547,1.0802039010452547,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,8.0,SENSITIVITY_NOT_PUBLIC_BOUND,cool_design,0.9250334548600343,0.9250334548600343,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,8.0,SENSITIVITY_NOT_PUBLIC_BOUND,sat_band,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,8.0,SENSITIVITY_NOT_PUBLIC_BOUND,warm_arid,0.9495953871998559,0.9495953871998559,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,8.0,SENSITIVITY_NOT_PUBLIC_BOUND,humid_cool,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,12.0,GENERIC_PRIOR_SCENARIO,cold_dry,0.7201359340301697,0.7201359340301697,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,12.0,GENERIC_PRIOR_SCENARIO,cool_design,0.6166889699066896,0.6166889699066896,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,12.0,GENERIC_PRIOR_SCENARIO,sat_band,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,12.0,GENERIC_PRIOR_SCENARIO,warm_arid,0.6330635914665707,0.6330635914665707,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,12.0,GENERIC_PRIOR_SCENARIO,humid_cool,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,16.0,SENSITIVITY_NOT_PUBLIC_BOUND,cold_dry,0.5401019505226273,0.5401019505226273,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,16.0,SENSITIVITY_NOT_PUBLIC_BOUND,cool_design,0.46251672743001715,0.46251672743001715,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,16.0,SENSITIVITY_NOT_PUBLIC_BOUND,sat_band,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,16.0,SENSITIVITY_NOT_PUBLIC_BOUND,warm_arid,0.47479769359992796,0.47479769359992796,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
PRN1_early_OA_ECH,DIRECT_OUTSIDE_AIR_EVAP,16.0,SENSITIVITY_NOT_PUBLIC_BOUND,humid_cool,0.0,0.0,AIR_STREAM_EVAPORATED_WATER,FEASIBLE_ENGINEERING_ENVELOPE_INTENSITY_ONLY
