coop_org_name,wlm_org_name,n_observations,n_stations,earliest,latest
Orange County Water District,Department of Water Resources,26953,394,1925-05-30 00:00:00,2010-12-31 00:00:00
United States Geological Survey,Department of Water Resources,4528,101,1901-01-01 00:00:00,2008-05-15 00:00:00
Orange County Water District,Orange County Water District,23764,95,1931-08-01 00:00:00,2021-03-30 13:30:00
Orange County Water District - 8-001,Orange County Water District - 8-001,5503,83,1988-08-12 12:00:00,2026-06-25 11:57:00
Orange County Water District - 8-001,Orange County Water District,2,2,1989-02-14 12:18:00,2021-03-09 09:15:00
Department of Water Resources,Department of Water Resources,1,1,2009-06-02 00:00:00,2009-06-02 00:00:00
