site_code,earliest_observation,latest_observation,n_all_records,n_observations,n_distinct_observation_times,n_intervals,median_measurement_interval_days,largest_gap_days,intervals_le_45_days,share_intervals_le_45_days,intervals_le_90_days,share_intervals_le_90_days,intervals_le_180_days,share_intervals_le_180_days,span_years,overlaps_1990_11_to_1999_11,overlaps_2008_plus,collecting_entities,submitting_entities
338103N1180685W001,1901-01-01 00:00:00,1985-03-01 00:00:00,282,282,282,281,29.0,20656.0,272,0.9679715302491103,277,0.9857651245551602,279,0.9928825622775801,84.16326139482672,False,False,United States Geological Survey,Department of Water Resources
338349N1180575W001,1949-05-02 00:00:00,2005-10-28 00:00:00,182,169,168,167,30.0,15157.0,146,0.874251497005988,157,0.9401197604790419,164,0.9820359281437125,56.49123527519388,True,False,Orange County Water District,Department of Water Resources
336928N1177446W001,1928-07-28 00:00:00,2003-07-23 00:00:00,111,102,102,101,41.0,13925.0,51,0.504950495049505,68,0.6732673267326733,93,0.9207920792079208,74.98579710740125,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
338228N1179115W001,1969-10-03 00:00:00,2001-06-26 00:00:00,5,3,3,2,5794.5,8642.0,0,0.0,0,0.0,0,0.0,31.729604303989817,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
337856N1180797W001,1971-07-07 00:00:00,1995-08-07 00:00:00,32,32,32,31,4.0,8567.0,28,0.9032258064516129,30,0.967741935483871,30,0.967741935483871,24.0853679404779,True,False,Orange County Water District,Department of Water Resources
337355N1179362W002,1975-03-07 00:00:00,2002-05-02 00:00:00,14,14,14,13,127.0,8311.0,3,0.23076923076923078,4,0.3076923076923077,9,0.6923076923076923,27.15456169531202,False,False,Orange County Water District,Department of Water Resources
337489N1179218W001,1938-08-08 00:00:00,1990-08-24 00:00:00,134,134,134,133,28.0,8308.0,127,0.9548872180451128,128,0.9624060150375939,130,0.9774436090225563,52.044874295844544,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336725N1179838W001,1979-03-26 00:00:00,2010-03-01 00:00:00,48,43,42,41,23.0,8114.0,26,0.6341463414634146,33,0.8048780487804879,38,0.926829268292683,30.93287336495616,False,True,Orange County Water District,Department of Water Resources
336607N1179623W002,1968-02-12 00:00:00,2009-12-22 00:00:00,41,35,35,34,25.5,8027.0,20,0.5882352941176471,24,0.7058823529411765,28,0.8235294117647058,41.85986022984729,False,True,Orange County Water District,Department of Water Resources
337891N1179216W001,1975-03-07 00:00:00,2002-05-02 00:00:00,36,35,35,34,34.5,7358.0,19,0.5588235294117647,23,0.6764705882352942,29,0.8529411764705882,27.15456169531202,False,False,Orange County Water District,Department of Water Resources
337816N1179125W001,1975-03-07 00:00:00,2002-05-01 00:00:00,40,40,40,39,35.0,7147.0,23,0.5897435897435898,27,0.6923076923076923,34,0.8717948717948718,27.15182378830503,False,False,Orange County Water District,Department of Water Resources
338028N1179603W001,1975-03-07 00:00:00,2002-05-01 00:00:00,39,18,18,17,85.0,7084.0,5,0.29411764705882354,9,0.5294117647058824,13,0.7647058823529411,27.15182378830503,False,False,Orange County Water District,Department of Water Resources
336724N1179746W002,1977-08-12 00:00:00,2010-11-15 00:00:00,134,119,117,116,8.0,7069.0,98,0.8448275862068966,105,0.9051724137931034,110,0.9482758620689655,33.26009432089639,False,True,Orange County Water District,Department of Water Resources
338517N1179774W001,1953-05-27 00:00:00,1997-10-28 00:00:00,36,35,35,34,98.0,6700.0,1,0.029411764705882353,12,0.35294117647058826,24,0.7058823529411765,44.422541188388536,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336781N1178263W001,1931-08-01 00:00:00,2026-06-24 09:15:00,379,379,371,370,36.998263888888886,6439.0,194,0.5243243243243243,251,0.6783783783783783,344,0.9297297297297298,94.89965000422094,True,True,Orange County Water District; Orange County Water District - 8-001,Orange County Water District; Orange County Water District - 8-001
337883N1179325W001,1975-03-07 00:00:00,2002-05-01 00:00:00,51,50,50,49,35.0,6412.0,30,0.6122448979591837,37,0.7551020408163265,43,0.8775510204081632,27.15182378830503,False,False,Orange County Water District,Department of Water Resources
336630N1178381W001,1969-10-06 00:00:00,1986-10-31 00:00:00,3,3,3,2,3117.0,5870.0,0,0.0,0,0.0,0,0.0,17.068112281566357,False,False,Orange County Water District,Department of Water Resources
338741N1177457W001,1969-10-31 00:00:00,1985-12-09 00:00:00,3,3,3,2,2941.5,5855.0,1,0.5,1,0.5,1,0.5,16.107106922113392,False,False,Orange County Water District,Department of Water Resources
337014N1178587W001,1965-01-15 00:00:00,1986-08-13 00:00:00,28,28,28,27,92.0,5633.0,1,0.037037037037037035,12,0.4444444444444444,26,0.9629629629629629,21.57470721506944,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
338567N1179570W001,1961-11-11 00:00:00,1979-12-01 00:00:00,138,46,46,45,31.0,5265.0,44,0.9777777777777777,44,0.9777777777777777,44,0.9777777777777777,18.053758804082218,False,False,Orange County Water District,Department of Water Resources
338167N1178415W001,1932-11-29 00:00:00,2010-10-28 00:00:00,493,483,483,482,32.0,5173.0,389,0.8070539419087137,436,0.9045643153526971,465,0.9647302904564315,77.91261969787196,False,True,Orange County Water District; United States Geological Survey,Department of Water Resources
338106N1179385W001,1975-01-03 00:00:00,2006-10-26 00:00:00,65,46,46,45,98.0,5173.0,1,0.022222222222222223,16,0.35555555555555557,34,0.7555555555555555,31.811741514199472,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336989N1179707W001,1969-10-07 00:00:00,1990-08-24 00:00:00,6,6,6,5,1088.0,5144.0,0,0.0,0,0.0,2,0.4,20.879278835294357,False,False,Orange County Water District,Department of Water Resources
337484N1179135W001,1969-10-08 00:00:00,1986-10-28 00:00:00,3,3,3,2,3114.5,5143.0,0,0.0,0,0.0,0,0.0,17.054422746531415,False,False,Orange County Water District,Department of Water Resources
337589N1179207W001,1969-10-08 00:00:00,2002-10-28 00:00:00,29,28,28,27,183.0,5108.0,1,0.037037037037037035,5,0.18518518518518517,13,0.48148148148148145,33.054751295372256,True,False,Orange County Water District,Department of Water Resources
337197N1179379W001,1969-11-13 00:00:00,2010-10-27 00:00:00,31,31,31,30,361.5,5107.0,1,0.03333333333333333,2,0.06666666666666667,8,0.26666666666666666,40.9536130105341,True,True,Orange County Water District,Department of Water Resources
336872N1179265W001,1969-10-08 00:00:00,2010-10-29 00:00:00,32,23,23,22,251.5,5101.0,2,0.09090909090909091,4,0.18181818181818182,8,0.36363636363636365,41.05765347679966,False,True,Orange County Water District,Department of Water Resources
337125N1179546W001,1969-10-22 00:00:00,2010-10-27 00:00:00,42,40,40,39,253.0,5094.0,7,0.1794871794871795,8,0.20512820512820512,16,0.41025641025641024,41.01384696468784,True,True,Orange County Water District,Department of Water Resources
337908N1179594W001,1975-03-07 00:00:00,2007-04-30 00:00:00,163,72,72,71,34.0,5067.0,48,0.676056338028169,53,0.7464788732394366,59,0.8309859154929577,32.148504076059055,True,False,Orange County Water District,Department of Water Resources
337333N1178215W001,1969-11-06 00:00:00,1986-10-31 00:00:00,4,4,4,3,1095.0,5053.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,16.983237164349713,False,False,Orange County Water District,Department of Water Resources
337344N1178230W001,1969-11-06 00:00:00,1986-10-03 00:00:00,4,4,4,3,1067.0,5053.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,16.906575768154035,False,False,Orange County Water District,Department of Water Resources
337308N1177837W001,1969-11-03 00:00:00,1991-11-30 00:00:00,119,75,74,73,30.0,4746.0,67,0.9178082191780822,67,0.9178082191780822,67,0.9178082191780822,22.073006290341347,True,False,Orange County Water District,Department of Water Resources
336678N1177626W001,1969-11-04 00:00:00,1997-08-04 00:00:00,214,142,134,133,31.0,4745.0,112,0.8421052631578947,124,0.9323308270676691,129,0.9699248120300752,27.748687515828525,True,False,Orange County Water District,Department of Water Resources
336722N1179694W001,1979-03-26 00:00:00,2009-12-21 00:00:00,75,64,63,62,19.0,4689.0,45,0.7258064516129032,52,0.8387096774193549,57,0.9193548387096774,30.741219874466964,True,True,Orange County Water District,Department of Water Resources
336725N1179790W001,1963-12-03 00:00:00,1984-01-18 00:00:00,255,241,209,208,7.0,4634.0,197,0.9471153846153846,202,0.9711538461538461,206,0.9903846153846154,20.12635440837252,False,False,Orange County Water District,Department of Water Resources
337800N1180851W001,1971-07-01 00:00:00,2004-11-01 00:00:00,212,212,211,210,29.0,4177.0,179,0.8523809523809524,191,0.9095238095238095,205,0.9761904761904762,33.339493624099056,True,False,Orange County Water District,Department of Water Resources
336557N1179512W001,1968-01-26 00:00:00,2010-10-26 00:00:00,159,159,159,158,35.0,4117.0,105,0.6645569620253164,147,0.930379746835443,153,0.9683544303797469,42.749680007118556,True,True,Orange County Water District,Department of Water Resources
338642N1178979W001,1964-07-01 00:00:00,2001-11-01 00:00:00,425,220,220,219,31.0,4107.0,201,0.9178082191780822,208,0.9497716894977168,212,0.9680365296803652,37.33683785430228,True,False,Orange County Water District,Department of Water Resources
337370N1178012W001,1948-08-18 00:00:00,2010-12-09 00:00:00,679,196,196,195,33.0,4053.0,125,0.6410256410256411,150,0.7692307692307693,168,0.8615384615384616,62.30928766504446,True,True,Orange County Water District,Department of Water Resources
336824N1177430W001,1969-11-08 00:00:00,2010-10-26 00:00:00,86,86,86,85,89.0,3959.0,17,0.2,46,0.5411764705882353,75,0.8823529411764706,40.96456463856205,True,True,Orange County Water District,Department of Water Resources
338628N1179046W001,1976-11-01 00:00:00,2001-11-01 00:00:00,169,90,90,89,31.0,3950.0,79,0.8876404494382022,82,0.9213483146067416,84,0.9438202247191011,24.999828880812064,True,False,Orange County Water District,Department of Water Resources
336746N1177574W001,1932-05-28 00:00:00,2009-07-06 00:00:00,494,478,478,477,32.0,3529.0,388,0.8134171907756813,433,0.9077568134171907,457,0.9580712788259959,77.10767503781734,True,True,Orange County Water District,Department of Water Resources
337289N1178032W001,1967-05-22 00:00:00,1986-08-15 00:00:00,19,15,15,14,175.5,3522.0,0,0.0,3,0.21428571428571427,9,0.6428571428571429,19.233796724094265,False,False,United States Geological Survey,Department of Water Resources
336917N1177557W001,1962-11-01 00:00:00,2003-07-23 00:00:00,101,87,87,86,83.5,3454.0,31,0.36046511627906974,49,0.5697674418604651,71,0.8255813953488372,40.72362882194706,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
337159N1178307W001,1956-07-02 00:00:00,1995-10-06 00:00:00,135,107,107,106,88.0,3451.0,27,0.25471698113207547,54,0.5094339622641509,94,0.8867924528301887,39.2615864802152,True,False,Orange County Water District,Department of Water Resources
336672N1179322W001,1981-11-05 00:00:00,2000-08-02 00:00:00,159,158,158,157,17.0,3379.0,152,0.9681528662420382,155,0.9872611464968153,155,0.9872611464968153,18.740973462836333,True,False,Orange County Water District,Department of Water Resources
337097N1177818W001,1969-10-06 00:00:00,1978-11-06 00:00:00,3,2,2,1,3318.0,3318.0,0,0.0,0,0.0,0,0.0,9.084375449187869,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336848N1179242W001,1983-11-03 00:00:00,2000-09-01 00:00:00,73,73,73,72,30.0,3290.0,68,0.9444444444444444,69,0.9583333333333334,69,0.9583333333333334,16.829914371958356,True,False,Orange County Water District,Department of Water Resources
336764N1177748W001,1969-11-03 00:00:00,2000-05-21 00:00:00,179,130,128,127,31.0,3283.0,111,0.8740157480314961,120,0.9448818897637795,122,0.9606299212598425,30.54682847697078,True,False,Orange County Water District,Department of Water Resources
337803N1178225W001,1977-11-03 00:00:00,1986-10-27 00:00:00,2,2,2,1,3280.0,3280.0,0,0.0,0,0.0,0,0.0,8.980334982922304,False,False,Orange County Water District,Department of Water Resources
338482N1179250W001,1976-11-01 00:00:00,2000-10-31 00:00:00,17,11,11,10,606.5,2958.0,3,0.3,4,0.4,5,0.5,23.99775491625427,True,False,Orange County Water District,Department of Water Resources
337447N1179082W001,1983-11-07 00:00:00,1997-05-01 00:00:00,13,5,5,4,817.5,2926.0,0,0.0,0,0.0,0,0.0,13.481454102411412,True,False,Orange County Water District,Department of Water Resources
337870N1179682W001,1969-04-28 00:00:00,2010-10-25 00:00:00,105,102,102,101,86.0,2926.0,19,0.18811881188118812,56,0.5544554455445545,81,0.801980198019802,41.492980690910834,True,True,Orange County Water District; United States Geological Survey,Department of Water Resources
337122N1178607W001,1969-10-06 00:00:00,1977-10-26 00:00:00,3,3,3,2,1471.0,2913.0,1,0.5,1,0.5,1,0.5,8.05492241456019,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336884N1178051W001,1961-09-25 00:00:00,1993-09-01 00:00:00,183,94,92,91,31.0,2854.0,73,0.8021978021978022,81,0.8901098901098901,84,0.9230769230769231,31.934947329513953,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336870N1178340W001,1967-02-28 00:00:00,2010-12-09 00:00:00,399,233,229,228,31.0,2854.0,146,0.6403508771929824,195,0.8552631578947368,221,0.9692982456140351,43.779133041746235,True,True,Orange County Water District; United States Geological Survey,Department of Water Resources
338715N1179765W001,1984-03-22 00:00:00,2026-06-22 12:40:00,243,243,243,242,33.95833333333333,2815.5520833333335,150,0.6198347107438017,193,0.7975206611570248,239,0.987603305785124,42.25282593832256,True,True,Orange County Water District; Orange County Water District - 8-001,Orange County Water District; Orange County Water District - 8-001
336979N1179417W002,1981-06-11 00:00:00,2010-10-21 00:00:00,211,146,141,140,20.5,2807.0,101,0.7214285714285714,122,0.8714285714285714,130,0.9285714285714286,29.361314742944757,True,True,Orange County Water District,Department of Water Resources
336979N1179454W001,1981-06-11 00:00:00,2010-10-21 00:00:00,273,130,126,125,26.0,2807.0,84,0.672,105,0.84,115,0.92,29.361314742944757,True,True,Orange County Water District,Department of Water Resources
336941N1179435W001,1977-06-14 00:00:00,2010-06-30 00:00:00,351,179,168,167,19.0,2753.0,120,0.718562874251497,141,0.844311377245509,152,0.9101796407185628,33.043799667344295,True,True,Orange County Water District,Department of Water Resources
336674N1178918W001,1983-11-02 00:00:00,2010-06-30 00:00:00,27,22,22,21,364.0,2651.0,0,0.0,1,0.047619047619047616,2,0.09523809523809523,26.659000527047098,True,True,Orange County Water District,Department of Water Resources
337425N1178223W001,1969-10-03 00:00:00,1986-08-22 00:00:00,12,11,11,10,360.0,2643.0,0,0.0,1,0.1,3,0.3,16.884672512098128,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
