observation_count_bin,n_wells,share_of_wells_with_heads
1,56,0.10144927536231885
2-5,53,0.09601449275362318
6-12,42,0.07608695652173914
13-23,42,0.07608695652173914
24-59,129,0.23369565217391305
60-119,77,0.13949275362318841
>=120,153,0.27717391304347827
