median_interval_bin_days,n_wells,share_of_wells_with_heads
<=45,257,0.46557971014492755
46-90,102,0.18478260869565216
91-180,41,0.07427536231884058
181-365,73,0.1322463768115942
366-730,8,0.014492753623188406
>730,15,0.02717391304347826
