climate,contrast,heat_rejection,tech_id,PUE_rdhx,PUE_coldplate,PUE_immersion,PUE_subtype_range,WUE_rdhx,WUE_coldplate,WUE_immersion,WUE_subtype_range,semantics,liquid_cooling_type,PUE_dry_adiabatic,PUE_we_tower,dPUE_we_minus_dry,rel_dPUE_we_minus_dry,WUE_dry_adiabatic,WUE_we_tower,dWUE_we_minus_dry,rel_dWUE_we_minus_dry
2A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0985656000000001,1.1747982000000001,0.07623259999999998,0.06939285191526111,0.07361154258251185,1.9708664417266848,1.897254899144173,25.77387774502243
2A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0977956,1.162854,0.06505840000000007,0.05926276257620278,0.0711185149848461,1.990140438079834,1.9190219230949879,26.983436359770618
2B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0957401500000001,1.0982882,1.10044955,0.004709399999999864,0.20336986333131785,0.19870363920927045,0.19819128513336182,0.00517857819795603,SOURCE_MODEL_SCENARIO,,,,,,,,,
2B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1494771,1.13840155,1.1251902500000002,0.02428684999999975,1.9495043754577637,1.9692469835281372,1.9885607361793518,0.039056360721588135,SOURCE_MODEL_SCENARIO,,,,,,,,,
2B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0957401500000001,1.1494771,0.053736949999999784,0.049041691134526534,0.20336986333131785,1.9495043754577637,1.7461345121264458,8.586004256106271
2B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0982882,1.13840155,0.04011334999999994,0.03652351905447034,0.19870363920927045,1.9692469835281372,1.7705433443188667,8.910472658501076
2B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.10044955,1.1251902500000002,0.02474070000000017,0.022482357323877475,0.19819128513336182,1.9885607361793518,1.79036945104599,9.033542770769463
3A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.095758,1.0977162,1.09785465,0.002096649999999922,0.15858678519725794,0.16419647634029383,0.15845262259244916,0.005743853747844668,SOURCE_MODEL_SCENARIO,,,,,,,,,
3A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.157273,1.1559484,1.1499025999999999,0.00737040000000011,1.9729875922203064,1.9833621382713318,2.0025508403778076,0.02956324815750122,SOURCE_MODEL_SCENARIO,,,,,,,,,
3A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.095758,1.157273,0.061514999999999986,0.05613922052131948,0.15858678519725794,1.9729875922203064,1.8144008070230484,11.441059258286929
3A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0977162,1.1559484,0.058232199999999956,0.05304850197163889,0.16419647634029383,1.9833621382713318,1.819165661931038,11.07920037309969
3A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09785465,1.1499025999999999,0.052047949999999954,0.04740878038818705,0.15845262259244916,2.0025508403778076,1.8440982177853584,11.638167848622508
3B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0990887,1.09469795,1.0955814,0.004390749999999999,0.2698345184326172,0.2822190225124359,0.28270135819911957,0.01286683976650238,SOURCE_MODEL_SCENARIO,,,,,,,,,
3B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1419327,1.135405,1.1334024,0.00853029999999988,1.973793864250183,1.9417279958724976,2.059738516807556,0.1180105209350586,SOURCE_MODEL_SCENARIO,,,,,,,,,
3B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0990887,1.1419327,0.04284399999999988,0.038981385214860165,0.2698345184326172,1.973793864250183,1.703959345817566,6.314830866396647
