Case,Climate Zone,Cooling system,Data center size,type,n,PUE_5th,PUE_95th,WUE_5th,WUE_95th
15,5A,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.061912215,1.18711129,1.745661437511444,2.311893367767334
15,5B,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.060804375,1.17563791,1.7346346139907838,2.313237512111664
15,5C,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.06970203,1.18401821,1.7470746994018556,2.3420124650001526
15,6A,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.06541821,1.18171043,1.74541135430336,2.2798251509666447
15,6B,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.06189424,1.16631969,1.7234278440475463,2.2924547553062435
15,7,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.06949508,1.17115572,1.732441771030426,2.3463202238082883
15,8,IT Liquid cooling: waterside economizer (water-cooled chiller),Large-scale,Cluster 2,150,1.055909105,1.1609124499999999,1.7320800602436066,2.335289967060089
16,0A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.055635165,1.14568348,0.0,0.008664931566454374
16,0B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.053906995,1.1450514900000002,0.06063181925565002,0.1924224987626075
16,1A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.056870005,1.14165188,0.0,0.007088716188445641
16,1B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05611985,1.14461335,0.0,0.09484247826039784
16,2A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.053025325,1.1427140949999999,0.03712353389710184,0.11115333549678322
16,2B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.053650795,1.145702525,0.10186368040740482,0.2578136444091796
16,3A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.0578170900000001,1.143829895,0.09570847153663631,0.22081953287124625
16,3B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05451443,1.144446045,0.1800985641777515,0.34247958064079276
16,3C,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05234108,1.1438431249999998,0.01936335721984497,0.18017902746796596
16,4A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.0543785350000001,1.143645785,0.08522630073130125,0.22279603630304334
16,4B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05245463,1.1434085299999999,0.19669010043144225,0.3296027988195419
16,4C,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.0567287250000001,1.14012154,0.08942438289523119,0.359312754869461
16,5A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.0526049149999999,1.14260245,0.06590337343513959,0.20710601657629
16,5B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05419976,1.141522575,0.14696006029844283,0.2712408661842346
16,5C,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.053738425,1.14121861,0.05735755860805509,0.3732093542814254
16,6A,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.0540902349999999,1.144965525,0.049370439909398496,0.17461756691336625
16,6B,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05536351,1.1421501299999999,0.15032189413905142,0.31283209472894663
16,7,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05500215,1.142441125,0.06135426834225649,0.16834562793374047
16,8,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),Large-scale,Cluster 2,150,1.05439366,1.142494995,0.07997845113277431,0.19843082502484316
