Case,Climate Zone,Cooling system,Data center size,type,n,PUE_5th,PUE_95th,WUE_5th,WUE_95th,PUE_median,WUE_median,pearson,spearman
0,0A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.28206885,1.49096284,0.021784271113574446,0.06469398476183409,1.39293655,0.0391000341624021,0.014348458239838442,0.022040816326530613
0,0B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.2137235700000002,1.391624285,0.02231283988803623,0.08250613845884791,1.28765255,0.04798864386975765,-0.2522772357893986,-0.22352941176470587
0,1A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1983115850000001,1.350554085,0.012850911729037715,0.04977952633053061,1.2667526,0.02544367033988235,0.24353874029650016,0.21066026410564226
0,1B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.217729705,1.3957694999999999,0.01216530958190555,0.04479829911142585,1.2830659,0.0271794497966766,0.11653513026623281,0.1371908763505402
0,2A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.20396545,1.35044462,0.01413200199604032,0.04105999097228046,1.2836028000000002,0.02564766537398095,0.3174032231513512,0.23822328931572626
0,2B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1512831300000002,1.274600955,0.03548744879662983,0.08921520411968224,1.204539,0.050623044371604906,0.1400088163246182,0.20172869147659062
0,3A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.12309655,1.292938655,0.007700067432597246,0.029160691425204267,1.20019045,0.017719987779855652,0.19682184502594904,0.25118847539015604
0,3B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.1110206599999999,1.25366199,0.018225348275154814,0.0461602011695504,1.1685655000000001,0.028732402250170652,0.2721230623399182,0.3277310924369748
0,3C,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.096782825,1.2579531,0.0058248520828782895,0.028153821267187528,1.1807768,0.013362402562051949,0.43867567549097725,0.4133013205282113
0,4A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.11419072,1.235789515,0.0043410479673184205,0.028138767927885017,1.1756058,0.016341491602361147,0.22835034483751565,0.2611764705882353
0,4B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.106006625,1.198086185,0.013921953551471196,0.035477309301495494,1.151592,0.0238389791920781,-0.08107704100897448,-0.03990396158463385
0,4C,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.075088845,1.20031256,0.00015092165413075506,0.0144053211435675,1.1298583,0.00494320760481055,0.2501699234182759,0.12260481255226927
0,5A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.0839542549999999,1.205429885,0.0002350615948671151,0.019218677468597848,1.1455826,0.0118505340069532,0.3210258648773985,0.24304855320291213
0,5B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.098119545,1.2087087849999998,0.009278564900159835,0.0382268359884619,1.15065375,0.02423915360122915,0.20826819639164934,0.2615606242496999
