combination,n_hours_intersection,NOT_CAUSAL_IDENTIFICATION,constraint_unsatisfied_fraction,P(HUMIDIFICATION),P(OA_FREE),P(HIGH_RH_MIXING),P(EVAP_COOLING),P(MECHANICAL_COOLING),P(UNRESOLVED),sample_hours,weather_missing_hours,DX_required_hours
PRN_weather+PRN_controller,1251,True,,0.43005595523581136,0.1374900079936051,0.20623501199040767,0.22621902478017586,0.0,0.0,1251,0,0
PRN_weather+FC_controller,1251,True,0.0,0.0,0.8361310951239008,0.03117505995203837,0.13269384492406075,0.0,0.0,1251,0,0
FC_weather+PRN_controller,1251,True,,0.0,0.019984012789768184,0.7450039968025579,0.23501199040767387,0.0,0.0,1251,0,0
FC_weather+FC_controller,1251,True,0.0,0.0,0.539568345323741,0.35411670663469225,0.10631494804156674,0.0,0.0,1251,0,0
