workload_family,nodes,resolution_s,n_profiles,PAR_mean,PAR_median,PAR_std,PAR_min,PAR_max
llama2_70b_lora,2,0.2,5,1.164451931582055,1.1664199654766438,0.005357103531504639,1.1586285368857274,1.1700753355466504
llama2_70b_lora,2,1.0,5,1.159196448714491,1.158918099342484,0.007697469625409302,1.1506733415118242,1.1700461942967892
llama2_70b_lora,2,10.0,5,1.1553657900252978,1.1549365819110278,0.007282762781331957,1.1460955067293843,1.1660647136227658
llama2_70b_lora,2,60.0,5,1.1599045462969966,1.1579838512491347,0.007542139562190512,1.1524842333052798,1.1695583139871903
llama2_70b_lora,2,300.0,5,1.1623627409485378,1.1612016494402,0.010408854949081607,1.1466820683621801,1.1746442561153014
llama2_70b_lora,4,0.2,5,1.1798725734539275,1.1765153375456687,0.015282631362826489,1.1591817336770402,1.1950275313276268
llama2_70b_lora,4,1.0,5,1.1769320727765922,1.1734893206323003,0.01575979219548103,1.1565644937039365,1.1950058680009994
llama2_70b_lora,4,10.0,5,1.1732834305639819,1.1710544583802303,0.013681875107453592,1.1548157459474064,1.1918092566237442
llama2_70b_lora,4,60.0,5,1.1791095501041042,1.1667932998072228,0.020114587201205517,1.1650481918372544,1.2111019002776464
llama2_70b_lora,4,300.0,5,1.1715427427595966,1.1724541848067154,0.009696941449194902,1.1574400905851856,1.1847598751480262
llama2_70b_lora,8,0.2,6,1.2259861411313413,1.2258322206813885,0.007640674046659639,1.2149538767745518,1.2386760123897176
llama2_70b_lora,8,1.0,6,1.2244770669231295,1.2244688184715693,0.007708070686900752,1.2126692672748824,1.2368748227511401
llama2_70b_lora,8,10.0,6,1.2320136155528358,1.2332709174923306,0.010452954449101501,1.2183775413236535,1.2427336136081375
llama2_70b_lora,8,60.0,6,1.2375381490921749,1.2391879351261192,0.014685892908874582,1.220647190509831,1.2532845176960805
llama2_70b_lora,8,300.0,6,1.2509542600684525,1.2324754187470512,0.058954377865041034,1.1915813271929567,1.344336360855629
llama2_70b_lora,16,0.2,5,1.258294681932762,1.2606672643453958,0.009525482758659084,1.244800887592099,1.266883638740089
llama2_70b_lora,16,1.0,5,1.2565068573017482,1.2582976126872156,0.008204323496043914,1.2443992947906009,1.2637449288550924
llama2_70b_lora,16,10.0,5,1.2576411367213465,1.2567188023145002,0.004319788380424091,1.2514361675232426,1.2620071568124347
llama2_70b_lora,16,60.0,5,1.2616366091087245,1.2548841404133302,0.009858578724908505,1.2541267861055663,1.2732223816888744
llama2_70b_lora,16,300.0,5,1.2886840254133873,1.2967457378975011,0.052896076445682366,1.2135575431842052,1.36040389751703
llama3_70b_offline_inference,1,0.1,4,1.081462186675193,1.0691802528902454,0.03584416735392291,1.055547775123624,1.1319404657966574
llama3_70b_offline_inference,1,1.0,4,1.0857113338495459,1.0743188279739795,0.03105818803196984,1.0638946279356831,1.1303130515145419
llama3_70b_offline_inference,1,10.0,4,1.1954234165256397,1.2001669956206564,0.05898609401015801,1.1311844393134776,1.250175235547768
llama3_70b_online_rate,1,0.1,4,1.0509182134370363,1.0536239009567057,0.03125511964568156,1.0136659535296386,1.0827590983050952
llama3_70b_online_rate,1,1.0,4,1.0456618710741186,1.050339387462587,0.027743852700118136,1.0128297304283886,1.0691389789429122
llama3_70b_online_rate,1,10.0,4,1.0230952126966169,1.0203935663212,0.016706176633346698,1.0071420665399196,1.044451651604148
llama3_70b_online_rate,1,60.0,4,1.0079267652286028,1.00416269278627,0.008614160856189393,1.0026471685247798,1.0207345068170917
stable_diffusion,1,0.2,5,1.1259498296248416,1.1251514963815368,0.002688321468528394,1.123942549924266,1.1305819873375935
stable_diffusion,1,1.0,5,1.121438950509638,1.1230456579612584,0.003519543099132118,1.1170345634233572,1.1251557045795566
stable_diffusion,1,10.0,5,1.1132584703736257,1.1121240576813642,0.0064132309492070105,1.1059806426487426,1.1236620814447509
stable_diffusion,1,60.0,5,1.1081595497315193,1.1079165671197566,0.0075180606935364635,1.1005831318774415,1.1173094516117656
stable_diffusion,1,300.0,5,1.1152507530007818,1.1192230690194898,0.012534260970223872,1.0942650376715022,1.12699341433657
stable_diffusion,2,0.2,6,1.1334932877136839,1.1311785479465593,0.00551927949359004,1.1299700627269613,1.1442741615459833
stable_diffusion,2,1.0,6,1.1311769726212162,1.129728927909907,0.004953515023538687,1.1277342935009733,1.1410360366662349
stable_diffusion,2,10.0,6,1.1273051431180208,1.1269529790543256,0.007300733500669095,1.1198566241149046,1.1403920008334272
stable_diffusion,2,60.0,6,1.1269993517032024,1.1284536903681148,0.009990710458223109,1.1145052325697393,1.1373398959702796
