family,slurmid,nodes,source_parquet,source_n,regen_n,source_duration_s,regen_duration_s,source_mean_W,regen_mean_W,rel_diff_mean,source_energy_Wh,regen_energy_Wh,rel_diff_energy,native_E_compute_Wh,native_vs_source_energy_rel,core_fraction_of_cpu_energy,n_gpu_device_columns,expected_gpu_devices,pass_mean_5pct,pass_energy_5pct,metadata_mean_W,metadata_vs_parquet_mean_rel
training_llama2_70b_lora,10742795,2,01_aggregated_datasets/training/results/000000.parquet,26601,26601,5320.0,5320.0,5267.813212123757,5267.764315193972,-9.282206451877338e-06,7784.899557258303,7784.828719792919,-9.099342240985843e-06,7785.232685637488,4.279160915765989e-05,0.0037844305970297924,8,8,True,True,,
training_llama2_70b_lora,10742796,2,01_aggregated_datasets/training/results/000001.parquet,29169,29169,5833.6,5833.6,5284.503512289282,5284.472299586436,-5.9064589083674595e-06,8563.489699956603,8563.43926255459,-5.8898187281242454e-06,8563.863721507862,4.367630070960623e-05,0.005289662717479191,8,8,True,True,,
training_llama2_70b_lora,10742797,2,01_aggregated_datasets/training/results/000002.parquet,26562,26562,5312.2,5312.2,5278.125020849024,5278.19726815112,1.3688061917938597e-05,7788.695861139546,7788.801792822008,1.3600695719892097e-05,7788.841032149676,1.8638680045831303e-05,0.004059337616317132,8,8,True,True,,
training_llama2_70b_lora,10742798,2,01_aggregated_datasets/training/results/000003.parquet,26595,26595,5318.8,5318.8,5226.846200380301,5226.908316405003,1.1884035290232303e-05,7722.6125718764615,7722.708944143287,1.2479231079993663e-05,7722.839986460538,2.9447882042499452e-05,0.004007049261860802,8,8,True,True,,
training_llama2_70b_lora,10742800,2,01_aggregated_datasets/training/results/000004.parquet,26567,26567,5313.2,5313.2,5259.117816735407,5259.112457350624,-1.0190653585052173e-06,7762.116729441024,7762.109531496867,-9.273171749618514e-07,7762.7063554123715,7.596200777435264e-05,0.00595932182274532,8,8,True,True,,
offline_inference_llama3_70b,,1,01_aggregated_datasets/inference_offline_llama3_70b/results/000000.parquet,511,511,51.0,51.0,2822.1042929558016,2820.7643752549684,-0.00047479382820038,40.00819194278262,39.98775276831889,-0.0005108747351781309,40.0440544490957,0.0008963790806734945,,4,4,True,True,2822.1042929558016,0.0
