family,slurmid,n_nodes_from_logs,n_gpu_logs,n_cpu_logs,n_gpu_device_columns,expected_devices,double_count_gpu,E_GPU_Wh,E_CPU_Wh,E_CPU_package_only_Wh,E_compute_native_Wh,gpu_energy_share,cpu_energy_share,core_fraction_of_cpu_energy,mean_GPU_W_all_devices,time_monotonic
training_llama2_70b_lora,10742766,8,8,8,32,32,False,10088.27861720995,1209.7414099425257,1204.2121715622477,11298.020027152475,0.8929244764095691,0.10707552359043089,0.0045705952816317,17473.883639682466,True
training_llama2_70b_lora,10742795,2,2,2,8,8,False,7003.7385306842225,781.494154953267,778.5366445618619,7785.232685637488,0.8996183946569769,0.10038160534302319,0.0037844305970297924,4738.130948975427,True
training_llama2_70b_lora,10742796,2,2,2,8,8,False,7712.198462624218,851.6652588836424,847.1602369159534,8563.863721507862,0.9005512830914494,0.09944871690855066,0.005289662717479191,4757.999378186173,True
training_llama2_70b_lora,10742797,2,2,2,8,8,False,7008.610915344484,780.2301168051919,777.062899342661,7788.841032149676,0.899827186922333,0.10017281307766693,0.004059337616317132,4749.1046007546975,True
training_llama2_70b_lora,10742798,2,2,2,8,8,False,6947.695632097331,775.144354363207,772.0383127502204,7722.839986460538,0.8996296238531204,0.10037037614687963,0.004007049261860802,4701.677312139974,True
training_llama2_70b_lora,10742800,2,2,2,8,8,False,6965.235141688979,797.4712137233929,792.7188261164399,7762.7063554123715,0.8972689192130301,0.10273108078696988,0.00595932182274532,4717.158569133119,True
training_llama2_70b_lora,10742817,8,8,8,32,32,False,12486.24421787949,1494.6017292397992,1487.7988399526696,13980.84594711929,0.8930964739263323,0.10690352607366777,0.004551640182157203,17651.1516782981,True
training_llama2_70b_lora,10742818,8,8,8,32,32,False,11290.175706911234,1319.6354361358294,1314.4017642799488,12609.811143047065,0.8953485170264849,0.104651482973515,0.0039659982693447645,17654.804806153796,True
training_llama2_70b_lora,10742819,8,8,8,32,32,False,11369.87808883527,1337.309002699928,1332.8164247565978,12707.1870915352,0.8947596353884828,0.10524036461151712,0.0033594165105148366,17701.77023257758,True
training_llama2_70b_lora,10742820,8,8,8,32,32,False,12570.526151556936,1482.9480740728586,1475.787384351211,14053.474225629794,0.8944781873674799,0.10552181263252017,0.004828685404999446,17815.093171783523,True
training_llama2_70b_lora,10742821,8,8,8,32,32,False,11315.860294765042,1338.3412855179615,1334.5930444110888,12654.201580283003,0.8942373979877734,0.10576260201222672,0.0028006616454502265,17695.73421403026,True
training_llama2_70b_lora,10742829,4,4,4,16,16,False,8814.02683749962,1017.163951211668,1013.5750863617436,9831.190788711287,0.8965370550656354,0.10346294493436456,0.0035283051917531904,9173.971786414706,True
training_llama2_70b_lora,10742831,4,4,4,16,16,False,8766.016139666423,1014.1699822488117,1010.7777124347444,9780.186121915236,0.8963036112394341,0.10369638876056571,0.003344873022710868,9296.702754017806,True
training_llama2_70b_lora,10742832,4,4,4,16,16,False,8756.575421899064,981.5764696405995,978.0564099724221,9738.151891539665,0.8992030027285387,0.10079699727146132,0.0035861288213910212,9408.542212014312,True
training_llama2_70b_lora,10742833,4,4,4,16,16,False,7305.973869855957,832.2473980094074,829.6670335619054,8138.221267865364,0.8977359584341082,0.1022640415658917,0.003100477638829263,9131.739065275775,True
training_llama2_70b_lora,10742834,4,4,4,16,16,False,10398.837733775272,1149.3382524656913,1146.9593592523956,11548.175986240964,0.9004744771957869,0.09952552280421312,0.0020697938210898,9253.806268010087,True
training_llama2_70b_lora,10742842,16,16,16,64,64,False,19670.22437944498,2368.4504308772503,2360.4401710666425,22038.67481032223,0.8925320850159311,0.1074679149840689,0.0033820677461425894,34127.559991821254,True
training_llama2_70b_lora,10742843,16,16,16,64,64,False,19684.77908708534,2333.577607990076,2330.4723298037675,22018.356695075418,0.8940167224871963,0.10598327751280365,0.0013306941991885275,34470.35717324918,True
training_llama2_70b_lora,10742844,16,16,16,64,64,False,19743.90878417159,2355.7573780857233,2344.696619737779,22099.666162257312,0.8934030332951826,0.10659696670481746,0.004695202676997354,34328.4624300553,True
training_llama2_70b_lora,10742845,16,16,16,64,64,False,19801.443296091704,2369.021698730544,2363.4230704940833,22170.464994822247,0.8931451505738012,0.10685484942619886,0.0023632659166695526,34074.465693761864,True
training_llama2_70b_lora,10742846,16,16,16,64,64,False,19624.7363730897,2323.296002444708,2315.5347560325213,21948.032375534407,0.8941455906983945,0.10585440930160549,0.0033406188466816307,34665.782018841935,True
training_stable_diffusion,10742933,1,1,1,4,4,False,16985.1360598107,1612.3336579200932,1606.0009288881129,18597.46971773079,0.913303600845071,0.08669639915492898,0.003927678989316236,2473.7670307367366,True
training_stable_diffusion,10742935,1,1,1,4,4,False,16903.15381649608,1585.9735004473105,1578.4954862062355,18489.12731694339,0.9142212894497228,0.08577871055027719,0.004715094066178301,2461.824840413452,True
training_stable_diffusion,10742937,1,1,1,4,4,False,16922.077930767875,1628.8079850906433,1623.0971931433735,18550.88591585852,0.9121978328971215,0.08780216710287841,0.003506117356707402,2472.2147772128933,True
training_stable_diffusion,10742938,1,1,1,4,4,False,16889.1877782683,1697.016452621828,1691.9813539928366,18586.20423089013,0.9086948345374685,0.09130516546253159,0.002967029943176033,2468.7039475026027,True
training_stable_diffusion,10742939,1,1,1,4,4,False,17120.252961345468,1621.6121933365032,1614.340973314897,18741.86515468197,0.9134764773968399,0.08652352260316004,0.004483945083469968,2471.522171454051,True
training_stable_diffusion,10742951,2,2,2,8,8,False,16873.708698517214,1748.8898415077567,1745.6395042163208,18622.59854002497,0.9060877654775771,0.09391223452242298,0.0018585145926822762,4761.37424117306,True
