workload_family,nodes,profile_id,resolution_s,native_dt_s,PAR,cv,mean_compute_W,max_compute_W
llama2_70b_lora,2,train_000000,0.2,0.2,1.1664199654766438,0.2046917537050544,5267.813212123757,6144.482505022801
llama2_70b_lora,2,train_000000,1.0,0.2,1.1534569783128557,0.20516965649621874,5267.053250111539,6075.31932648656
llama2_70b_lora,2,train_000000,10.0,0.2,1.1549365819110278,0.20777282937005415,5252.321638474332,6066.098400236873
llama2_70b_lora,2,train_000000,60.0,0.2,1.1536023865201872,0.20745892814577344,5244.187301530639,6049.706986404606
llama2_70b_lora,2,train_000000,300.0,0.2,1.1612016494402,0.2285779744973118,5197.599202257162,6035.460766790084
llama2_70b_lora,2,train_000001,0.2,0.2,1.15888691174557,0.19635655133901467,5284.503512289282,6124.141955465544
llama2_70b_lora,2,train_000001,1.0,0.2,1.158918099342484,0.19675245731064214,5284.3613012343985,6124.141955465544
llama2_70b_lora,2,train_000001,10.0,0.2,1.1460955067293843,0.20383793825993174,5264.940874116972,6034.125079021338
llama2_70b_lora,2,train_000001,60.0,0.2,1.1579838512491347,0.22593481315143338,5209.287416691759,6032.270705044379
llama2_70b_lora,2,train_000001,300.0,0.2,1.1466820683621801,0.21835627311879685,5260.630536989511,6032.270705044379
llama2_70b_lora,2,train_000002,0.2,0.2,1.1586285368857274,0.19815744162080104,5278.125020849024,6115.386270406254
llama2_70b_lora,2,train_000002,1.0,0.2,1.1506733415118242,0.1983806069635627,5277.752408297134,6072.9689993273405
llama2_70b_lora,2,train_000002,10.0,0.2,1.1525138659867857,0.2006514353814185,5260.8887708652865,6063.247255836421
llama2_70b_lora,2,train_000002,60.0,0.2,1.1524842333052798,0.209335555274632,5244.785293335224,6044.532357640253
llama2_70b_lora,2,train_000002,300.0,0.2,1.1746442561153014,0.24120515696083675,5124.460582449828,6019.418188863962
llama2_70b_lora,2,train_000003,0.2,0.2,1.1700753355466504,0.20051256555296595,5226.846200380301,6115.803821760715
llama2_70b_lora,2,train_000003,1.0,0.2,1.1700461942967892,0.20057821300075257,5226.976380566223,6115.803821760715
llama2_70b_lora,2,train_000003,10.0,0.2,1.157218281876526,0.20048752781907914,5220.434299932528,6041.1820112172045
llama2_70b_lora,2,train_000003,60.0,0.2,1.16589394642319,0.2155097790983359,5173.575916330481,6031.840842210517
llama2_70b_lora,2,train_000003,300.0,0.2,1.1611135687956828,0.23188058539819986,5185.422862434794,6020.864845516389
llama2_70b_lora,2,train_000004,0.2,0.2,1.1682489082556828,0.2018699009574907,5259.117816735407,6143.95864778915
llama2_70b_lora,2,train_000004,1.0,0.2,1.1628876301085023,0.20212425858449545,5258.496964091646,6115.041072505288
llama2_70b_lora,2,train_000004,10.0,0.2,1.1660647136227658,0.20235908937151278,5198.888174408219,6062.240050248103
llama2_70b_lora,2,train_000004,60.0,0.2,1.1695583139871903,0.20481531313498966,5183.358518978901,6062.240050248103
llama2_70b_lora,2,train_000004,300.0,0.2,1.1681721620293244,0.22423130476284614,5173.838417822159,6043.9340105376905
