workload_family,count,mean,median,std,min,max,cv
llama2_70b_lora,21,2517.746752964233,2490.080229641229,91.78649035068798,2384.671806317355,2642.32745815995,0.03645580725806695
llama3_70b_offline_inference,1200,2667.552120289359,2739.490407903961,189.83046918140928,1955.3595161439475,2850.172021701575,0.07116279668448153
stable_diffusion,20,2368.6918102115533,2439.2320263750253,261.7624788573008,1891.1081844612913,2672.1327486780997,0.11050930210879657
