profile_id,mode,workload_family,nodes,repeat,duration_s,energy_compute_Wh,mean_compute_W,p_compute_W_per_node,peak_to_mean,cv,slurm_job_id,aggregation_source
train_000000,training_finetune,llama2_70b_lora,2,0,5320.0,7784.899557258303,5267.813212123757,2633.9885720046886,1.1664199654766438,0.2046917537050544,10742795,source_aggregated_parquet
train_000001,training_finetune,llama2_70b_lora,2,1,5833.6,8563.489699956603,5284.503512289282,2642.32745815995,1.15888691174557,0.19635655133901467,10742796,source_aggregated_parquet
train_000002,training_finetune,llama2_70b_lora,2,2,5312.2,7788.695861139546,5278.125020849024,2639.142455112982,1.1586285368857274,0.19815744162080104,10742797,source_aggregated_parquet
train_000003,training_finetune,llama2_70b_lora,2,3,5318.8,7722.6125718764615,5226.846200380301,2613.5035401552286,1.1700753355466504,0.20051256555296595,10742798,source_aggregated_parquet
train_000004,training_finetune,llama2_70b_lora,2,4,5313.2,7762.116729441024,5259.117816735407,2629.641292063887,1.1682489082556828,0.2018699009574907,10742800,source_aggregated_parquet
train_000005,training_finetune,llama2_70b_lora,4,0,3457.8,9830.742732448836,10234.532334703152,2558.7565675296296,1.1950275313276268,0.24884522228950562,10742829,source_aggregated_parquet
train_000006,training_finetune,llama2_70b_lora,4,1,3393.0,9779.474517250013,10375.588550293374,2594.025070888598,1.1736975298083894,0.2326052799080544,10742831,source_aggregated_parquet
train_000007,training_finetune,llama2_70b_lora,4,2,3349.0,9737.425568074303,10466.702024350436,2616.8059155768506,1.1591817336770402,0.21521378071223027,10742832,source_aggregated_parquet
train_000008,training_finetune,llama2_70b_lora,4,3,2880.0,8138.111794635658,10172.055208457079,2543.159935823643,1.1949407349109125,0.2643392543795077,10742833,source_aggregated_parquet
train_000009,training_finetune,llama2_70b_lora,4,4,4044.4,11547.676426114955,10278.391231630325,2569.7034871682968,1.1765153375456687,0.23529388947621285,10742834,source_aggregated_parquet
train_000010,training_finetune,llama2_70b_lora,8,0,2078.2,11297.810552881927,19569.32851021271,2446.3548978909,1.2386760123897176,0.2965239081731079,10742766,source_aggregated_parquet
train_000011,training_finetune,llama2_70b_lora,8,1,2545.8,13980.089208869578,19767.875671494607,2471.144686931931,1.2267826237000783,0.2841730468598938,10742817,source_aggregated_parquet
train_000012,training_finetune,llama2_70b_lora,8,2,2301.4,12609.051176538003,19722.51632997503,2465.4875421230995,1.22709884884273,0.29098647814375334,10742818,source_aggregated_parquet
train_000013,training_finetune,llama2_70b_lora,8,3,2312.0,12706.927284867226,19784.44160555844,2473.2341168642956,1.2235236674182721,0.2868722220656691,10742819,source_aggregated_parquet
train_000014,training_finetune,llama2_70b_lora,8,4,2539.6,14052.90611377081,19919.34142708984,2490.080229641229,1.2149538767745518,0.27624926385795207,10742820,source_aggregated_parquet
train_000015,training_finetune,llama2_70b_lora,8,5,2301.4,12653.53528445144,19792.07027092555,2474.1856600343913,1.2248818176626988,0.28874985523526137,10742821,source_aggregated_parquet
train_000016,training_finetune,llama2_70b_lora,16,0,2074.6,22037.997676729305,38238.90882102735,2390.1231453119126,1.266569779356542,0.33177414832613705,10742842,source_aggregated_parquet
train_000017,training_finetune,llama2_70b_lora,16,1,2055.6,22017.920993984724,38557.214050993425,2410.0176219335294,1.2525518396296846,0.3126261252628208,10742843,source_aggregated_parquet
train_000018,training_finetune,llama2_70b_lora,16,2,2070.2,22099.07765453385,38426.4025575242,2401.8415961115434,1.2606672643453958,0.31518463567278177,10742844,source_aggregated_parquet
train_000019,training_finetune,llama2_70b_lora,16,3,2091.8,22170.028819798412,38151.749734326266,2384.671806317355,1.266883638740089,0.3243457990721889,10742845,source_aggregated_parquet
train_000020,training_finetune,llama2_70b_lora,16,4,2036.6,21945.371665175342,38788.64059231773,2424.4862146049554,1.244800887592099,0.3083630046226344,10742846,source_aggregated_parquet
train_000021,training,stable_diffusion,2,0,12754.0,18621.660193825974,5256.164080654433,2628.1157557540187,1.1442741615459833,0.22581179068137686,10742951,source_aggregated_parquet
train_000022,training,stable_diffusion,2,1,12578.8,18673.457455040043,5344.192465963723,2672.1327486780997,1.130011898828186,0.20318642370417825,10742971,source_aggregated_parquet
train_000023,training,stable_diffusion,2,2,12636.2,18680.026399572325,5321.790483878073,2660.930304935834,1.1343465072878545,0.21330655326876577,10742974,source_aggregated_parquet
train_000024,training,stable_diffusion,2,3,15099.0,22285.86639944038,5313.479655485304,2656.769290614788,1.1314106935409192,0.20710039241192507,10742976,source_aggregated_parquet
train_000025,training,stable_diffusion,2,4,12568.8,18556.70019346356,5315.005630359537,2657.5377401370383,1.1299700627269613,0.20506149464108522,10742977,source_aggregated_parquet
train_000026,training,stable_diffusion,2,5,10053.8,14887.297043454395,5330.662269627327,2665.3737570090825,1.1309464023521993,0.20465913930003596,10742978,source_aggregated_parquet
train_000027,training,stable_diffusion,4,0,7300.0,16981.46894006934,8374.240878833247,2093.6057597345757,1.4248181426814512,0.41171789816376514,10742981,source_aggregated_parquet
train_000028,training,stable_diffusion,4,1,5632.4,15458.224228692457,9879.98097049259,2470.066367059018,1.2077775404649014,0.2585330781335982,10742982,source_aggregated_parquet
train_000029,training,stable_diffusion,4,2,5607.0,15468.703882087791,9931.456903905028,2482.938022807029,1.205021647207029,0.2544787903908531,10742983,source_aggregated_parquet
train_000030,training,stable_diffusion,4,3,5661.6,15483.295028552011,9844.962226092563,2461.312266090294,1.2136446648970183,0.26697763659820484,10742986,source_aggregated_parquet
train_000031,training,stable_diffusion,4,4,5585.8,15371.309448106731,9906.39558785809,2476.6691437745817,1.2050112499605334,0.2510990782177631,10742988,source_aggregated_parquet
train_000032,training,stable_diffusion,8,0,3893.8,17442.784380213805,16126.01467095919,2015.8336255319255,1.4764676939239574,0.4204561264591191,10742992,source_aggregated_parquet
train_000033,training,stable_diffusion,8,1,3896.4,17430.667258278678,16104.064220089538,2013.0890735615965,1.47567185729102,0.421738206898169,10742993,source_aggregated_parquet
train_000034,training,stable_diffusion,8,2,3019.0,15938.673860561255,19005.014420059957,2375.754633074715,1.2607956628594044,0.25957005033262526,10742994,source_aggregated_parquet
train_000035,training,stable_diffusion,8,3,2949.2,15841.47566492656,19336.130575499596,2417.151786659756,1.2323822969405536,0.23751882719368717,10742995,source_aggregated_parquet
train_000036,training,stable_diffusion,8,4,3063.2,16037.678356752413,18847.133551688592,2356.018301298833,1.266346362606964,0.27747264240448705,10742996,source_aggregated_parquet
train_000037,training,stable_diffusion,16,0,1402.8,13934.060786596036,35754.82387275061,2234.932760895429,1.3311060318895216,0.2934263170127257,10743000,source_aggregated_parquet
train_000038,training,stable_diffusion,16,1,1809.8,15211.2337432802,30255.13913092292,1891.1081844612913,1.5714552379053044,0.45784496777787675,10743001,source_aggregated_parquet
train_000039,training,stable_diffusion,16,2,1486.6,14113.496845179938,34174.055282765046,2136.1070833885956,1.3938166780264798,0.3507642510179873,10743003,source_aggregated_parquet
train_000040,training,stable_diffusion,16,3,1666.6,14876.364912448982,32131.21781877801,2008.3895987645633,1.4809539638038554,0.39604082497725307,10743005,source_aggregated_parquet
offline_000000,offline_inference,llama3_70b_offline_inference,1,0,51.138686,40.08852924908854,2822.1042929558016,2822.1042929558016,1.082085829509751,,,source_metadata_mean_times_elapsed
offline_000001,offline_inference,llama3_70b_offline_inference,1,1,47.384165,37.04324045858362,2814.3508628019727,2814.3508628019727,1.0833190219315971,,,source_metadata_mean_times_elapsed
offline_000002,offline_inference,llama3_70b_offline_inference,1,2,48.96585,38.05753881238565,2798.0141205470413,2798.0141205470413,1.0873874798463172,,,source_metadata_mean_times_elapsed
offline_000003,offline_inference,llama3_70b_offline_inference,1,0,31.404551,23.507742033410015,2694.764568367051,2694.764568367051,1.1263056338527841,,,source_metadata_mean_times_elapsed
offline_000004,offline_inference,llama3_70b_offline_inference,1,1,29.579327,22.159781318380524,2696.992150841359,2696.992150841359,1.0589286632956165,,,source_metadata_mean_times_elapsed
offline_000005,offline_inference,llama3_70b_offline_inference,1,2,29.805107,22.39378254350378,2704.825624568756,2704.825624568756,1.058427763172314,,,source_metadata_mean_times_elapsed
offline_000006,offline_inference,llama3_70b_offline_inference,1,0,38.709327,29.595718791292025,2752.4267639334385,2752.4267639334385,1.1144691336403496,,,source_metadata_mean_times_elapsed
offline_000007,offline_inference,llama3_70b_offline_inference,1,1,34.016874,25.73463594265685,2723.492152558306,2723.492152558306,1.0559400331186986,,,source_metadata_mean_times_elapsed
offline_000008,offline_inference,llama3_70b_offline_inference,1,2,33.604777,25.44151948480722,2725.48959766363,2725.48959766363,1.0638303208990392,,,source_metadata_mean_times_elapsed
offline_000009,offline_inference,llama3_70b_offline_inference,1,0,52.285024,40.97120466471283,2821.005433467262,2821.005433467262,1.0840462746407447,,,source_metadata_mean_times_elapsed
