timestamp_utc,hour,t_db_C,t_dew_C,slp_hPa,altimeter_hPa,n_reports,rh_pct,pressure_Pa,t_wb_C,station,station_id,source_station,timestamp_local,oa_fraction,dw,air_stream_evaporated_water_m3_h,t_supply_C,rh_supply,control_mode,dx_required,region,unresolved,spray_enabled,model_version,calibration_status,validation_status,water_boundary,dx_required_controller,primary_control_objective,t_oa_C,t_oa_F,rh_oa,t_wb_C,t_supply_F,t_ra_C,rh_ra,mixed_T_C,mixed_rh,air_stream_intensity_L_per_kWh_IT,airflow_boundary,airflow_kg_s,enthalpy_residual_J_per_kg,t_inlet_max_satisfied,rh_max_satisfied,margin_T_K,margin_RH,evap_thermal_effectiveness,evap_effectiveness_provenance,notes,design_vs_observed,common_category
2012-06-01 00:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-05-31 20:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 01:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-05-31 21:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 02:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-05-31 22:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 03:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-05-31 23:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 04:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 00:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 05:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 01:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 06:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 02:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 07:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 03:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 08:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 04:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
2012-06-01 09:00:00+00:00,,,,,,,,,,KFQD,72314453890,RUTHERFORD CO MARCHMAN FIELD AIRPORT (KFQD),2012-06-01 05:00:00-04:00,,,,,,WEATHER_MISSING,False,WEATHER_MISSING,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED
