source_id,title,issuer,publication_date,url,local_path,sha256,download_status,bytes,source_tier,site_scope,building_scope,temporal_scope,quantity,measurement_boundary,design_vs_observed,limitations
META_FC_OPENING_2012_04_19,"Our Data Center Opens in Forest City, N.C.",Meta / Facebook Data Centers,2012-04-19,https://datacenters.atmeta.com/2012/04/facebook-data-center-opens-in-forest-city-n-c/,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_fc_opening_2012.html,c2963c157d991ca0296840353ff79248c4475079f26d2b8199e180b3c9e3c152,downloaded,105654,PRIMARY_OPERATOR,FOREST_CITY_CAMPUS,Building 1 confirmed online; Building 2 expected later 2012,2012-04-19,operational status,campus announcement,OBSERVED_OPENING,"Does not report PUE/WUE, DeltaT, or controller setpoints."
META_FC_OPENING_NEWSROOM_2012,"Facebook Data Center Opens in Forest City, N.C.",Meta Newsroom,2012-04-19,https://about.fb.com/news/2012/04/facebook-data-center-opens-in-forest-city-n-c/,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_fc_opening_newsroom_2012.html,c8ae30543e63bf49431924b3f028d4a8ecde664ac3aa93ae5331c1b3cdb9675f,downloaded,317011,PRIMARY_OPERATOR,FOREST_CITY_CAMPUS,Building 1 / Building 2,2012-04-19,operational status,campus announcement,OBSERVED_OPENING,Same facts as Data Centers post; no engineering setpoints.
MAGUIRE_2011_OCP_REFLECTIONS,Reflections on the Open Compute Summit,Engineering at Meta (Yael Maguire),2011-06-22,https://engineering.fb.com/2011/06/22/core-infra/reflections-on-the-open-compute-summit/,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/maguire_2011_ocp_reflections.html,7dd7b7329f36eda59bd148d64f3b85fc0989f1fbc9c52d978aa618792f36589f,downloaded,91769,PRIMARY_OPERATOR,FOREST_CITY_PLANNED_VS_PRN1,Forest City design intent vs first-phase Prineville,2011 planned operation,85F inlet; 90% RH; 25F->35F DeltaT; 45% less AHU hardware,server inlet / cold-to-hot aisle DESIGN,DESIGN_SPEC_PLANNED,"Planned Forest City operation as of 2011; not as-operated BMS. DeltaT is IT/server aisle rise, not proven facility effective ΔT."
OCP_2013_HOT_HUMID,Cooling an OCP Data Center in a Hot and Humid Climate,Open Compute Project / Facebook (leed),2013-08-07,https://www.opencompute.org/blog/cooling-an-ocp-data-center-in-a-hot-and-humid-climate,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/ocp_2013_hot_humid_climate.html,9c22d15bf5afe8a36031acef0d0f78707c49ea294f9944ca2eba7aa20756fb93,downloaded,175132,PRIMARY_OPERATOR,FOREST_CITY,operating Forest City (2012 summer),summer 2012; 2012-06-25 and 2012-07-01 events,85F/90%RH envelope; DX installed unused; mixing; evaporative; PUE 1.07 summer,operator-observed outdoor/indoor behavior; PUE seasonal,OPERATOR_OBSERVED,"Blog, not BMS extract. Event DB/RH are outdoor snapshots. PUE 1.07 is seasonal, not WUE. Rutherfordton weather ~6 miles used for design analysis, not necessarily this blog's event sensors."
OCP_2012_PUE_WUE_DASHBOARD,A new way to report PUE and WUE,Open Compute Project / Facebook,2012-08-16,https://www.opencompute.org/blog/a-new-way-to-report-pue-and-wue,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/ocp_2012_pue_wue_report.html,ebe01c2f9cccf4e53c6af113f277c86391eeff62be7ff32a2034f94e4cd89918,downloaded,172119,PRIMARY_OPERATOR,PRINEVILLE_AND_FOREST_CITY,public dashboard sites,2012 dashboard launch,"PUE, WUE, outside T, outside humidity; 24h and 1-year views",see post for WUE/PUE definitions; not recovered here until dashboard freeze,OBSERVED_DASHBOARD_PRODUCT,Describes dashboard product; raw time series not in this HTML.
DPR_FOREST_CITY_PROJECT,Facebook Forest City Data Center,DPR Construction,undated_project_page,https://www.dpr.com/projects/forest-city-data-center,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dpr_forest_city_project.html,66fd68105d955e5a1f1854f39c41a79421806bbf75748bf6afb9804a5a28c973,downloaded,230452,ENGINEERING_CONSTRUCTION,FOREST_CITY_CAMPUS,two 370000-sqft buildings; four data suites; 25000-sqft penthouse each,original campus construction,"area, suite count, penthouse, evaporative cooling, on-site substation",construction/design description,DESIGN_CONSTRUCTION,Does not identify later buildings; square feet are construction figures not measured load.
DPR_BUILDING_COMMUNITY_BLOG,Building Community along with Facebook Open…,DPR Construction,contemporaneous_construction,https://www.dpr.com/media/blog/building-community-along-with-facebook,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dpr_building_community.html,9f726df3963cfc2510614a637e173d5e1ff64b2a207b7c536e9efa811ffb1a17,downloaded,174374,ENGINEERING_CONSTRUCTION,FOREST_CITY_AND_PRINEVILLE,FC one-story + 125000-sqft mechanical penthouse; four halls,construction of original FC building,370000-plus sqft; 125000 sqft penthouse; four halls,construction,DESIGN_CONSTRUCTION,125000 sqft penthouse is 5x 25000; consistent with four suites. Not a later-campus inventory.
ENR_2013_GREEN_LIKES,Facebook Data Center Earns Many Green 'Likes',ENR,2013-11-04,https://www.enr.com/articles/12162-facebook-data-center-earns-many-green-likes,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/enr_2013_green_likes.html,86deaa84976ef107871e0e3856cca9b5c0cab114b69b79eb3197444c43bf073e,downloaded,86912,SECONDARY_ENGINEERING,FOREST_CITY,354000-sqft; four suites; Munters evaporative; municipal water UV,original building as constructed,airflow path; mixing; Munters; DX not detailed here,construction journalism,DESIGN_CONSTRUCTION,354k vs DPR 370k discrepancy preserved. Not BMS.
DCK_2013_SERVERS_HOTTER,"Facebook Servers Get Hotter, But Run Fine in the South",Data Center Knowledge,2013-08-07,https://www.datacenterknowledge.com/servers/facebook-servers-get-hotter-but-run-fine-in-the-south,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dck_2013_servers_hotter.html,427685bcb5a61fd061b18722368caa436d17f586e3cc74a0b62122050de921e4,downloaded,455935,SECONDARY_CORROBORATION,FOREST_CITY,operating 2012 summer,summer 2012,102F; DX unused; 85F/90%RH; misting,operator quotes,OPERATOR_OBSERVED_VIA_PRESS,Secondary; quotes OCP/Lee post.
DCK_2011_85_COLD_AISLE,Facebook: 85 Degrees in the 'Cold' Aisle,Data Center Knowledge,2011-06,https://www.datacenterknowledge.com/hyperscalers/facebook-85-degrees-in-the-cold-aisle,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dck_2011_85_cold_aisle.html,aa935b9a39ee1bb9ddfa4a655b8470ad6e7c066a3813422566e48688d94c674b,downloaded,461850,SECONDARY_CORROBORATION,FOREST_CITY_PLANNED,planned vs PRN1,2011,85F; 90%RH; 35F DeltaT; 45% less AHU; hot aisle 120F interpretation,quotes Maguire; DCK interprets 35F as cold-to-hot aisle,DESIGN_SPEC_VIA_PRESS,"120F is DCK inference from 85+35, not a measured AHU ΔT."
