SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
29,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,17-05-2024 18:00,7
30,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,17-05-2024 22:00,0.5
31,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,17-05-2024 23:00,0.5
32,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,24-05-2024 19:00,4
33,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,24-05-2024 20:00,0.5
34,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,24-05-2024 22:00,0.5
35,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 04:00,17.5
36,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 05:00,19.5
37,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 06:00,6
38,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 07:00,4.5
39,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 08:00,3
40,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,03-06-2024 09:00,1
41,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,04-06-2024 20:00,4
42,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,06-06-2024 00:00,8
