SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry Quadridaily (meter)
31,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,06-02-2005 21:00,-8.703
32,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,07-02-2005 03:00,-8.594
33,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,07-02-2005 09:00,-8.558
34,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,07-02-2005 15:00,-8.669
35,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,07-02-2005 21:00,-8.685
36,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,08-02-2005 03:00,-8.582
37,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,08-02-2005 09:00,-8.583
38,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,08-02-2005 15:00,-9.266
39,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,08-02-2005 21:00,-9.334
40,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,09-02-2005 03:00,-8.974
41,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,09-02-2005 09:00,-9.336
42,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,09-02-2005 15:00,-9.381
43,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,09-02-2005 21:00,-9.337
44,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,10-02-2005 03:00,-8.916
45,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,10-02-2005 09:00,-9.494
46,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,10-02-2005 15:00,-9.97
47,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,10-02-2005 21:00,-9.556
48,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,11-02-2005 03:00,-9.356
49,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,11-02-2005 09:00,-9.464
50,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,11-02-2005 15:00,-9.978
51,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,11-02-2005 21:00,-9.434
52,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,12-02-2005 03:00,-9.275
53,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,12-02-2005 09:00,-9.373
54,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,12-02-2005 15:00,-10.013
55,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,12-02-2005 21:00,-9.454
56,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,13-02-2005 03:00,-9.396
57,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,13-02-2005 09:00,-9.37
58,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,13-02-2005 15:00,-9.939
59,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,13-02-2005 21:00,-9.506
60,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,14-02-2005 03:00,-10.091
61,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,14-02-2005 09:00,-10.113
62,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,14-02-2005 15:00,-10.672
63,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,14-02-2005 21:00,-10.125
64,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,15-02-2005 03:00,-10.706
65,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,15-02-2005 09:00,-10.723
66,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,15-02-2005 15:00,-11.483
67,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,15-02-2005 21:00,-10.769
68,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,16-02-2005 03:00,-10.406
69,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,16-02-2005 09:00,-10.324
70,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,16-02-2005 15:00,-10.693
71,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,16-02-2005 21:00,-10.166
72,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,17-02-2005 03:00,-10.205
73,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,17-02-2005 09:00,-10.207
74,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2005 03:00,-9.271
75,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2005 09:00,-8.919
76,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2005 15:00,-9.25
77,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2005 21:00,-8.802
78,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2005 03:00,-8.646
79,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2005 09:00,-8.595
80,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2005 15:00,-8.571
81,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2005 21:00,-8.286
82,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2005 03:00,-8.25
83,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2005 09:00,-8.562
84,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2005 15:00,-8.682
85,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2005 21:00,-8.603
86,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-06-2005 03:00,-8.258
87,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-06-2005 09:00,-8.156
88,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-06-2005 15:00,-8.702
89,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-06-2005 21:00,-8.703
90,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-07-2005 03:00,-8.594
91,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-07-2005 09:00,-8.558
92,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-07-2005 15:00,-8.669
93,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-07-2005 21:00,-8.685
94,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-08-2005 03:00,-8.582
95,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-08-2005 09:00,-8.583
96,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-08-2005 15:00,-9.266
97,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-08-2005 21:00,-9.334
98,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-09-2005 03:00,-8.974
99,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-09-2005 09:00,-9.336
100,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-09-2005 15:00,-9.381
101,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-09-2005 21:00,-9.337
102,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-10-2005 03:00,-8.916
103,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-10-2005 09:00,-9.494
104,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-10-2005 15:00,-9.97
105,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-10-2005 21:00,-9.556
106,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-11-2005 03:00,-9.356
107,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-11-2005 09:00,-9.464
108,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-11-2005 15:00,-9.978
109,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-11-2005 21:00,-9.434
110,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-12-2005 03:00,-9.275
111,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-12-2005 09:00,-9.373
112,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-12-2005 15:00,-10.013
