SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,11-01-2026 04:00,0.5
2,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,19-01-2026 15:00,330
3,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,18-03-2026 20:00,0.5
4,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,19-03-2026 12:00,18
5,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,20-03-2026 14:00,149
6,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,20-03-2026 16:00,48
7,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,24-03-2026 17:00,2.5
8,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,23-04-2026 20:00,0.5
9,Vuyyuru,Andhra Pradesh GW,28,Andhra Pradesh,510,KRISHNA,VUYYURU,VUYYURU,Gandigunta-1,Godavari,Godavari,Seethapalli Vagu,-,-,Seethapalli Vagu,16.38139800,80.85303400,11-01-2026 17:00,0.5
10,Vuyyuru,Andhra Pradesh GW,28,Andhra Pradesh,510,KRISHNA,VUYYURU,VUYYURU,Gandigunta-1,Godavari,Godavari,Seethapalli Vagu,-,-,Seethapalli Vagu,16.38139800,80.85303400,01-02-2026 13:00,0.5
11,Vuyyuru,Andhra Pradesh GW,28,Andhra Pradesh,510,KRISHNA,VUYYURU,VUYYURU,Gandigunta-1,Godavari,Godavari,Seethapalli Vagu,-,-,Seethapalli Vagu,16.38139800,80.85303400,01-02-2026 14:00,0.5
