path,bytes,sha256
.gitignore,38,f76e0cc89e965a3ff67ee028d7273b29255ddfba1a6b5efebd180a26d6c19e8c
OCWD_METHOD_TRANSFER_CONTRACT.md,1456,d3d454915a6b0385aed7bf93e36ebc8a582d672070b1a4e4739aff94439cae1b
README.md,2183,078810799c0cabcfe4aadba9cb68a8920341d16e4a314395ca340222f05dd3e9
config/AP_PLANNING_DATA_CONTRACT.yaml,13511,009da67becec9e63654657e1cb7b4208db3c683d6898943db768937bea5d6ade
config/EVIDENCE_CLASSES.yaml,781,d7ccdee12e74bfddae36e0d1b098efb8b90db14b922e7d0c540fd73c9933666e
config/PLANNING_ABLATION_PROTOCOL.yaml,1911,85addd587826286d33ecac5d781596452d7219014c2b92b2e09c4f150bc0ad07
config/STATIC_DYNAMIC_RANKING_PROTOCOL.yaml,1836,f56ad5097d67945f85cbc26fa1176b7a7cd1b6c2d5945a4c21b6f55e1d2cd934
data/derived/AP_CGWB_GROUNDWATER_HEAD_OBSERVATIONS.parquet,1292180,4b3f1e96a9725b1bbc35ad22c3faf091e1e59dfe79b2b374f16af832f30e1aab
data/derived/AP_CGWB_GROUNDWATER_STATION_SUMMARY.parquet,167892,db8fa325f09c678673e88a864f1e067a5bf38e0c293a591cad0c86eb9d837c6d
data/raw/andhra_pradesh_data_center_policy_4_0_2024_29.pdf,421027,63d5fdafcc5fc7aa4e7e90bcd000a57ffcd9a0202f74d30b7a969971c0dd7ae0
data/raw/cgwb_andhra_pradesh_groundwater_yearbook_2024_25.pdf,7273182,37353014cb7eccb457940fc70db78b2d2b46777b0efcdcbeb6cb3e6dc441d55c
data/raw/cgwb_dynamic_groundwater_resources_andhra_pradesh_2024.pdf,8363672,d2e3c9d86665f250228c71045ea120709076c72d14b19cb9608a68a9a3b52bbf
data/raw/gwl_manual_quarterly_cgwb_ap_1991_2020.csv,10980474,9f8f48406abd579b10b6379d0177df743f1d427833eae80688576a4d1c9be017
data/raw/gwl_manual_quarterly_cgwb_ap_2021_2025.csv,1481218,1bb1399deb6391566ca6ac4bfe1e255fd2a99eb19e32feca0de587839c504dbb
outputs/FINAL_AP_PLANNING_PREFLIGHT_REPORT.md,11419,3cfe56e724a6a48828076b7ea19bcd857cf033a29d7da37f7a714db2c679196e
outputs/FINAL_AP_PLANNING_PREFLIGHT_STATUS.json,2315,afaac8423bd0e5be84adbfc6b05f5d8d2699b0e6bdf855cade3cf113fb17fa0c
outputs/figures/fig01_ap_groundwater_public_coverage.pdf,59951,a22dda36f19caf57a374b0998d55d5ccad5367da3a81c6dd9c60d534d79a136f
outputs/figures/fig01_ap_groundwater_public_coverage.png,481498,935730619bf1ea35cb9956c179fca98e49b72e215bb19855e6e7c1850e8babea
