regime,gap_threshold_days,model,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note,B1_RMSE_delta_h_ft,B1_MAE_delta_h_ft,RMSE_skill_vs_B1,MAE_skill_vs_B1
T1_TEMPORAL_OOS,90,B1,1189,139,7.0055221116648525,13.12245116282142,-2.647809027152853,0.7087628865979382,7.0699999999999985,head-level residual equals delta-h residual conditional on observed h_prev,13.12245116282142,7.0055221116648525,0.0,0.0
T1_TEMPORAL_OOS,90,B1C,1189,139,6.744084295252994,12.741298310518092,-2.2962387748244253,0.7491408934707904,7.0699999999999985,head-level residual equals delta-h residual conditional on observed h_prev,13.12245116282142,7.0055221116648525,0.029045857940261377,0.03731881967463069
T1_TEMPORAL_OOS,90,B1CH,1189,139,6.918460177543378,12.871709776975852,-2.7730787354559006,0.7242268041237113,7.0699999999999985,head-level residual equals delta-h residual conditional on observed h_prev,13.12245116282142,7.0055221116648525,0.019107816271091926,0.012427615348827192
T1_TEMPORAL_OOS,180,B1,1225,145,7.1251131967356995,13.3515099830774,-2.4297551159922777,0.7303839732888147,7.060000000000002,head-level residual equals delta-h residual conditional on observed h_prev,13.3515099830774,7.1251131967356995,0.0,0.0
T1_TEMPORAL_OOS,180,B1C,1225,145,6.908733943186683,12.850930165571295,-1.7287429868340725,0.7495826377295493,7.060000000000002,head-level residual equals delta-h residual conditional on observed h_prev,13.3515099830774,7.1251131967356995,0.03749237488048707,0.0303685355691119
T1_TEMPORAL_OOS,180,B1CH,1225,145,7.120528609191175,12.995585813926022,-2.4238771234261702,0.7128547579298832,7.060000000000002,head-level residual equals delta-h residual conditional on observed h_prev,13.3515099830774,7.1251131967356995,0.026657971240893308,0.0006434406609322485
T2_SPATIOTEMPORAL_OOS,90,B1,1212,144,7.519780880662249,14.94469963011064,-2.622955271714918,0.7042965459140691,6.929999999999999,head-level residual equals delta-h residual conditional on observed h_prev,14.94469963011064,7.519780880662249,0.0,0.0
T2_SPATIOTEMPORAL_OOS,90,B1C,1212,144,7.40969713167169,14.83897343043155,-2.304533508471663,0.7329401853411963,6.929999999999999,head-level residual equals delta-h residual conditional on observed h_prev,14.94469963011064,7.519780880662249,0.007074494790519026,0.014639222969069277
T2_SPATIOTEMPORAL_OOS,90,B1CH,1212,144,7.552405720904317,14.919120812153155,-2.778999328258071,0.7009267059814659,6.929999999999999,head-level residual equals delta-h residual conditional on observed h_prev,14.94469963011064,7.519780880662249,0.0017115645406448055,-0.00433853602383083
T2_SPATIOTEMPORAL_OOS,180,B1,1250,151,7.691634921392516,15.147366112918743,-2.4909341656415753,0.705641864268193,6.982499999999998,head-level residual equals delta-h residual conditional on observed h_prev,15.147366112918743,7.691634921392516,0.0,0.0
T2_SPATIOTEMPORAL_OOS,180,B1C,1250,151,7.722559048223314,15.029001009214664,-1.9998259756818981,0.7097301717089125,6.982499999999998,head-level residual equals delta-h residual conditional on observed h_prev,15.147366112918743,7.691634921392516,0.007814236668058694,-0.004020488120775267
T2_SPATIOTEMPORAL_OOS,180,B1CH,1250,151,7.879090032272606,15.103304962599092,-2.65050619682693,0.6623058053965658,6.982499999999998,head-level residual equals delta-h residual conditional on observed h_prev,15.147366112918743,7.691634921392516,0.002908832465736255,-0.024371295933290682
