regime,model,site_code,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note
T1_TEMPORAL_OOS,B1,336941N1179435W001,1,1,45.322836964915474,45.322836964915474,-45.322836964915474,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336944N1177985W001,2,1,34.58433230542613,45.705615905905454,-34.58433230542613,0.0,31.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336962N1178987W001,26,1,6.435034659095252,10.590622674295924,-2.24901944687558,0.8461538461538461,9.875000000000004,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336963N1179065W001,19,1,13.764262233912438,24.395384568353133,-2.5696318713925703,0.8421052631578947,13.449999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336966N1179388W001,1,1,4.926997555715204,4.926997555715204,-4.926997555715204,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336977N1178594W001,11,1,11.15393673452468,13.71240885024901,-3.6883105451874956,0.8181818181818182,22.849999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336978N1179845W001,4,1,2.84543094667042,3.908141863866546,-0.9559786134667791,0.5,2.3,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336979N1179454W001,1,1,3.9869975557152206,3.9869975557152206,-3.9869975557152206,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337057N1180070W001,13,1,12.258370836997738,13.969834222764215,-3.734313231691586,0.6923076923076923,27.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337059N1180056W001,13,1,11.181447760074661,13.326208002482186,-3.734313231691586,0.6923076923076923,24.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337105N1178932W001,13,1,16.224196110428203,23.458121896159067,-2.269157738004294,0.6923076923076923,19.71999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337105N1178932W002,13,1,9.588806191482867,13.171994813499504,-2.0629985882897235,0.8461538461538461,20.53000000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337112N1177826W001,4,1,38.18137097486466,41.85677492659719,-17.11910658983728,0.25,34.75,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337141N1179955W001,12,1,2.4430440273973786,3.06008555664041,-0.9872420306361724,0.9166666666666666,6.3725000000000005,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337148N1177696W001,7,1,3.8520539211553575,4.438346975657891,-1.0529738092756824,0.3333333333333333,0.5000000000000071,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337148N1177696W002,7,1,4.35410026808153,5.183115075877972,-3.199882610338658,0.8571428571428571,12.625,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337148N1177696W003,7,1,6.64249163723906,7.78811985308579,-3.43478680804472,0.8571428571428571,13.839999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337161N1179887W001,3,1,2.4791891820626812,2.907750203754209,-0.4062024466830887,1.0,3.5650000000000004,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337188N1180275W001,9,1,6.410212280419568,8.289151786505068,-1.3066422849361343,0.8888888888888888,17.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337216N1178318W001,7,1,3.400257452449324,4.02281974850634,-1.5675939382357462,0.5714285714285714,1.1849999999999987,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337216N1178318W002,7,1,15.74231272730706,17.89365939066215,-5.760443115245708,0.7142857142857143,28.990000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337216N1178318W003,7,1,15.732337956571687,17.744903763310152,-5.08043591208602,0.8571428571428571,29.669999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337233N1179421W001,3,1,4.2887375918466875,5.808322878366186,-4.2887375918466875,1.0,5.3149999999999995,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337233N1179421W002,3,1,1.4259337684714002,1.4624662599340177,1.4259337684714002,1.0,0.8950000000000005,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337233N1179421W003,3,1,4.500751138246436,5.636985226507643,-4.500751138246436,1.0,4.830000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337279N1179386W001,13,1,6.634827419465878,8.773806888135345,-1.8745243670360425,0.8461538461538461,15.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337281N1177946W001,11,1,44.41355376483213,73.39610150319255,-13.830837038060592,0.9090909090909091,36.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337304N1177898W001,2,1,5.8396774367290565,6.3058403868813135,-2.379451705704703,0.5,7.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337304N1180246W001,10,1,10.175793831781121,14.383013927128733,-4.004389128673024,0.8888888888888888,21.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337305N1180330W001,13,1,4.87375545238235,6.466325899144714,-2.426620923999278,0.7692307692307693,14.999999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337334N1178220W001,4,1,19.102354277859646,22.41301548771673,-2.6334293066798042,0.75,20.575,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337344N1178235W001,4,1,7.055675986234537,8.084528457901317,-6.633429306679803,0.75,8.124999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337370N1178012W001,4,1,9.4304267310816,13.261602007716172,-9.365160770414917,0.75,16.325,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337374N1179933W001,14,1,0.9190615629775644,1.2268788830084423,-0.3381304470003369,0.7857142857142857,1.4124999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337374N1179933W002,8,1,6.446001009760895,7.642676571462326,-0.5929468320140383,0.75,10.682500000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337374N1179933W003,8,1,6.76586586636589,10.4527458495453,-0.5817229302006786,1.0,10.8675,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337425N1178213W001,2,1,68.00607271185248,84.0489236681366,-68.00607271185248,1.0,47.75,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337525N1179058W001,7,1,2.3832681939059115,3.3312449766423655,-1.7670960845913115,0.8571428571428571,0.9249999999999972,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337525N1179058W002,7,1,11.005015348788676,12.079599046605718,-3.3744015431631413,1.0,25.945,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337525N1179058W003,7,1,21.173709677748473,24.468103878032466,-7.188727865591395,0.8571428571428571,32.504999999999995,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337589N1179207W001,1,1,1.2279830594004038,1.2279830594004038,-1.2279830594004038,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337591N1180435W001,7,1,2.486315410912621,2.901815149181203,-1.461502198092249,0.8571428571428571,2.2699999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337591N1180435W002,7,1,11.655225067672953,14.3649564226795,-4.288819632387647,1.0,25.890000000000004,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337591N1180435W003,7,1,8.839141883597899,10.353685154714672,-1.2802377388130055,0.8571428571428571,13.184999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337593N1180743W001,13,1,7.649738879639366,10.228737776294082,-2.250811871886085,0.9166666666666666,20.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337595N1180740W001,11,1,9.343076890685381,12.494410871896774,-0.8701319061397182,0.8181818181818182,15.3,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337646N1178432W001,8,1,3.6393419013020307,4.562174926106381,-0.9873468613227638,0.25,1.5725000000000016,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337646N1178432W002,8,1,11.839937388103436,14.060090913491923,-3.4416106155983526,0.875,27.775,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337646N1178432W003,8,1,12.981874521171669,17.258031226962043,-5.522341336466273,1.0,22.34,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337754N1178448W001,13,1,8.02504606973301,10.180335438324338,-1.4656624798910598,0.9166666666666666,11.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337779N1179480W001,6,1,2.463846794345477,3.39617575145503,-2.4050249285996976,0.8333333333333334,1.9000000000000057,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337779N1179480W002,6,1,8.633009285573179,10.542061618906073,-1.899985678441331,0.8333333333333334,16.222499999999997,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337779N1179480W003,6,1,9.570151907601112,10.939539582841912,-2.0383329034652298,0.6666666666666666,25.732499999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337800N1180851W001,12,1,2.19248704043317,2.716342980092866,-1.168228979369226,0.9166666666666666,5.624999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337806N1178326W001,4,1,7.5387605862343605,9.168397831013877,-6.759468145870933,0.75,6.014999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337856N1178834W001,7,1,4.185724609320979,5.32731008483917,-2.3475212104111303,0.2857142857142857,2.914999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337856N1178834W002,7,1,8.813301995293738,9.649315588724086,-3.8746514408387718,0.7142857142857143,16.87,head-level residual equals delta-h residual conditional on observed h_prev
