parameter,level,value,nominal_value,source_of_range,analysis_type,annual_raw_evaporation_m3,annual_inferred_it_energy_mwh,mean_annual_pue,peak_hourly_pue,pue_2011,sensitivity_recomputed,weather_nonfinite_hours,pct_change_vs_baseline_annual_raw_evaporation_m3,pct_change_vs_baseline_annual_inferred_it_energy_mwh,pct_change_vs_baseline_mean_annual_pue,pct_change_vs_baseline_peak_hourly_pue,pct_change_vs_baseline_pue_2011,pct_change_vs_baseline_sensitivity_recomputed,pct_change_vs_baseline_weather_nonfinite_hours
baseline,nominal,,,Params() defaults,reference; not a CI,347525.36714727385,7997448.566740527,1.0601058863773045,1.0636585567368815,1.0600794849498987,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fan_fraction_of_it,low,0.01125,0.025,sampled_facility_priors documented clip bounds,one-at-a-time assumption sensitivity; not a confidence interval and not a recalibration,352092.0931754053,8102541.0953443535,1.0463558863773046,1.0499085567368818,1.0463294849498987,,,1.3140698377267397,1.3140757046051075,-1.2970402463274444,-1.2927080699827493,-1.2970725492956576,,
fan_fraction_of_it,high,0.0585,0.025,sampled_facility_priors documented clip bounds,one-at-a-time assumption sensitivity; not a confidence interval and not a recalibration,336879.87220617343,7752467.422941014,1.0936058863773044,1.0971585567368818,1.0935794849498985,,,-3.063228169064587,-3.063241254446206,3.1600616910523227,3.149506934139885,3.1601403928294243,,
other_facility_fraction_of_it,low,0.01575,0.035,sampled_facility_priors documented clip bounds,one-at-a-time assumption sensitivity; not a confidence interval and not a recalibration,353952.5667431895,8145355.550682767,1.0408558863773045,1.0444085567368815,1.0408294849498985,,,1.8494188348535625,1.8494271355160719,-1.8158563448584306,-1.8097912979758866,-1.8159015690139502,,
other_facility_fraction_of_it,high,0.0675,0.035,sampled_facility_priors documented clip bounds,one-at-a-time assumption sensitivity; not a confidence interval and not a recalibration,337188.1959016817,7759562.770043522,1.0926058863773043,1.0961585567368817,1.0925794849498984,,,-2.9745084022057733,-2.974521120227203,3.0657314913194065,3.055491801777491,3.0658078437897287,,
