event,date,operator_T_F,operator_RH,expect_family,expect_dx,observed,synthetic_mode,synthetic_common_category,synthetic_dx,synthetic_oa_fraction,synthetic_t_supply_F,synthetic_rh_supply,kfqd_day_valid_hours,kfqd_day_dx_hours,implementation_consistent,independent_predictive_validation,status,controller_not_modified
B_2012_06_25,2012-06-25,68.0,0.97,HIGH_RH_MIXING,False,high RH / low DB; return-air mixing; DX not used,HIGH_RH_RETURN_AIR_MIXING,HIGH_RH_MIXING,False,0.94,70.23404255328656,0.8985495780132209,24,0,True,False,OPERATOR_EVENT_CONTROL_IMPLEMENTATION_CONSISTENCY_PASS,True
A_2012_07_01,2012-07-01,102.0,0.26,EVAP_COOLING,False,hot/dry; evaporative cooling sufficient; no DX,EVAPORATIVE_COOLING,EVAP_COOLING,False,1.0,85.0,0.5840062167989324,24,0,True,False,OPERATOR_EVENT_CONTROL_IMPLEMENTATION_CONSISTENCY_PASS,True
