huc12_id,year_month,pscutot_mgd
170703051001,2009-01,0.00140827656213536
170703051001,2009-02,0.00192274375306627
170703051001,2009-03,0.00239453229925448
170703051001,2009-04,0.00415603948992582
170703051001,2009-05,0.00572203362391523
170703051001,2009-06,0.0063268927413898
170703051001,2009-07,0.00811988399099777
170703051001,2009-08,0.0068341438095344
170703051001,2009-09,0.00611397271271895
170703051001,2009-10,0.00262086173812061
170703051001,2009-11,0.00210509153539379
170703051001,2009-12,0.00106785169020226
170703051001,2010-01,0.00140438786811254
170703051001,2010-02,0.00183565431304571
170703051001,2010-03,0.00301072791500102
170703051001,2010-04,0.00351092611869589
170703051001,2010-05,0.00401940755553715
170703051001,2010-06,0.00494692618102022
170703051001,2010-07,0.00695183603182374
170703051001,2010-08,0.00612110383132441
170703051001,2010-09,0.00400131227103518
170703051001,2010-10,0.00284585151196329
170703051001,2010-11,0.00146970077762831
170703051001,2010-12,0.0011127245258746
170703051001,2011-01,0.00091729105155153
170703051001,2011-02,0.00135337926203851
170703051001,2011-03,0.00212538334216934
170703051001,2011-04,0.00260760413669797
170703051001,2011-05,0.00339414371107827
170703051001,2011-06,0.00473973276177626
170703051001,2011-07,0.00514851918799061
170703051001,2011-08,0.00530427956684314
170703051001,2011-09,0.00498371839859997
170703051001,2011-10,0.00219215891202317
170703051001,2011-11,0.00156760216141399
170703051001,2011-12,0.00109227262205099
170703051001,2012-01,0.001808059180948
170703051001,2012-02,0.00214023631812299
170703051001,2012-03,0.00308512220670929
170703051001,2012-04,0.00457249103946949
170703051001,2012-05,0.00570490764749955
170703051001,2012-06,0.00596171582088176
170703051001,2012-07,0.0083197402507752
170703051001,2012-08,0.00802926011081108
170703051001,2012-09,0.00686876399741234
170703051001,2012-10,0.00378588786484316
170703051001,2012-11,0.00211703927357644
170703051001,2012-12,0.00105843993000083
170703051001,2013-01,0.00114809866686691
170703051001,2013-02,0.00166935195393187
170703051001,2013-03,0.00309379298078195
170703051001,2013-04,0.0044784352188763
170703051001,2013-05,0.00629542849209872
170703051001,2013-06,0.00702646265814011
170703051001,2013-07,0.00951702913390777
170703051001,2013-08,0.00740705045234661
170703051001,2013-09,0.00507424902545547
170703051001,2013-10,0.00309773116495878
170703051001,2013-11,0.00178542281974497
170703051001,2013-12,0.00107249845843116
170703051001,2014-01,0.0019850922903079
170703051001,2014-02,0.00172380671488689
170703051001,2014-03,0.00370755981255483
170703051001,2014-04,0.00501144372690248
170703051001,2014-05,0.00648271523936828
170703051001,2014-06,0.00753923126666224
170703051001,2014-07,0.0092849145034872
170703051001,2014-08,0.00750566074450978
170703051001,2014-09,0.00631543936186664
170703051001,2014-10,0.0039297321314623
170703051001,2014-11,0.00174226313169704
170703051001,2014-12,0.0011860047153518
170703051001,2015-01,0.00186879350666975
170703051001,2015-02,0.00281980369552023
170703051001,2015-03,0.0041593959456939
170703051001,2015-04,0.00514137321518393
170703051001,2015-05,0.0063508600630989
170703051001,2015-06,0.00982293966641183
170703051001,2015-07,0.00903794033237095
170703051001,2015-08,0.00867050411609362
170703051001,2015-09,0.00614738240211872
170703051001,2015-10,0.0043384254644271
170703051001,2015-11,0.00193431309123607
170703051001,2015-12,0.00154581622383007
170703051001,2016-01,0.00186390057550988
170703051001,2016-02,0.00369046493694132
170703051001,2016-03,0.00400241212576468
170703051001,2016-04,0.00679870619357115
170703051001,2016-05,0.00754235899960748
170703051001,2016-06,0.00932132635841904
170703051001,2016-07,0.00944589073816882
170703051001,2016-08,0.0099432113214315
170703051001,2016-09,0.00690629030525789
170703051001,2016-10,0.003683975850082
170703051001,2016-11,0.00320637969232947
170703051001,2016-12,0.00110040904136491
170703051001,2017-01,0.00121836169517485
170703051001,2017-02,0.00331279561948764
170703051001,2017-03,0.00453036718911873
170703051001,2017-04,0.0056619827943988
170703051001,2017-05,0.00833359869735059
170703051001,2017-06,0.0101456114733164
170703051001,2017-07,0.0113832657374227
170703051001,2017-08,0.0108135605311507
170703051001,2017-09,0.0075025926257271
170703051001,2017-10,0.00452732503618176
170703051001,2017-11,0.00302900018671323
170703051001,2017-12,0.00158509181315517
170703051001,2018-01,0.00191269971004133
170703051001,2018-02,0.00251630893993231
170703051001,2018-03,0.00335981828532961
170703051001,2018-04,0.0051403338930396
170703051001,2018-05,0.00717822129287293
170703051001,2018-06,0.00838640998993204
170703051001,2018-07,0.00975714860250797
170703051001,2018-08,0.00866270434226198
170703051001,2018-09,0.0062000905465092
170703051001,2018-10,0.00365693251328026
170703051001,2018-11,0.00252687922982352
170703051001,2018-12,0.00163490574647916
170703051001,2019-01,0.00155337518535638
170703051001,2019-02,0.00125814458502652
170703051001,2019-03,0.00217179414741023
170703051001,2019-04,0.00407875283300377
170703051001,2019-05,0.00585534485730962
170703051001,2019-06,0.00727855736941944
170703051001,2019-07,0.00727303994272144
170703051001,2019-08,0.00716509121001393
170703051001,2019-09,0.00431773269212418
170703051001,2019-10,0.0032733739682243
170703051001,2019-11,0.00201693319036458
170703051001,2019-12,0.00117667111604655
170703051001,2020-01,0.00171328371694993
170703051001,2020-02,0.00243779828284762
170703051001,2020-03,0.0026996343975694
170703051001,2020-04,0.00457193351455585
170703051001,2020-05,0.00535974523809866
170703051001,2020-06,0.00648457094662123
170703051001,2020-07,0.00724128231272321
170703051001,2020-08,0.00667471203137952
170703051001,2020-09,0.00566773938309589
170703051001,2020-10,0.00331595309132246
170703051001,2020-11,0.00195442076014653
170703051001,2020-12,0.00142457182671848
