well_node_id,observation_datetime_prev,observation_datetime,gap_days,bls_prev_ft,bls_ft,delta_bls_ft,delta_head_ft,method_prev,method,status_prev,status,eligible_prev,eligible,coincides_with_method_change,coincides_with_status_change,involves_excluded_observation,abs_delta_bls_ft
SRC-JA,2024-12-01T02:15:00,2024-12-11T12:00:00,10.40625,500.22,371.88,-128.34000000000003,128.34000000000003,REPORTED,ETAPE,UNKNOWN,UNKNOWN,True,True,True,False,False,128.34000000000003
SRC-JA,2024-03-01T01:14:57,2024-03-06T12:00:00,5.447951388888889,501.36,374.09,-127.27000000000004,127.27000000000004,REPORTED,ETAPE,UNKNOWN,UNKNOWN,True,True,True,False,False,127.27000000000004
SRC-JA,2024-12-11T12:00:00,2025-01-01T06:01:00,20.750694444444445,371.88,496.9,125.01999999999998,-125.01999999999998,ETAPE,REPORTED,UNKNOWN,UNKNOWN,True,True,True,False,False,125.01999999999998
SRC-JA,2023-09-22T01:19:45,2023-09-29T03:13:19,7.078865740740741,508.32,384.97,-123.34999999999997,123.34999999999997,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,123.34999999999997
SRC-JA,2024-08-07T12:52:33,2024-08-15T09:50:02,7.873252314814815,506.9,384.08,-122.82,122.82,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,122.82
SRC-JA,2025-05-01T04:59:00,2025-06-01T05:41:00,31.029166666666665,381.1,502.45,121.34999999999997,-121.34999999999997,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,121.34999999999997
SRC-JA,2024-09-01T02:23:45,2024-09-08T12:08:06,7.405798611111111,505.72,384.4,-121.32000000000005,121.32000000000005,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,121.32000000000005
SRC-GC,2024-03-21T12:00:00,2024-03-27T12:28:38,6.01988425925926,493.65,372.4,-121.25,121.25,ETAPE,REPORTED,FLOWING,UNKNOWN,False,True,True,True,True,121.25
SRC-JA,2024-07-22T12:14:18,2024-07-29T08:09:47,6.830196759259259,385.13,506.25,121.12,-121.12,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,121.12
SRC-JA,2024-07-15T05:30:14,2024-07-22T12:14:18,7.280601851851852,506.16,385.13,-121.03000000000003,121.03000000000003,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,121.03000000000003
SRC-GC,2024-03-19T12:04:57,2024-03-21T12:00:00,1.9965625,372.8,493.65,120.84999999999997,-120.84999999999997,REPORTED,ETAPE,UNKNOWN,FLOWING,True,False,True,True,True,120.84999999999997
SRC-JA,2024-07-29T08:09:47,2024-08-01T12:26:36,3.1783449074074075,506.25,385.69,-120.56,120.56,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,120.56
SRC-JA,2024-06-22T07:48:17,2024-06-29T11:35:09,7.157546296296296,503.89,383.83,-120.06,120.06,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,120.06
SRC-JA,2024-08-29T07:33:36,2024-09-01T02:23:45,2.784826388888889,385.66,505.72,120.06,-120.06,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,120.06
SRC-JA,2024-06-29T11:35:09,2024-07-01T09:23:39,1.9086805555555555,383.83,503.8,119.97000000000003,-119.97000000000003,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,119.97000000000003
SRC-JA,2025-06-01T05:41:00,2025-07-01T02:15:00,29.856944444444444,502.45,382.63,-119.82,119.82,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,119.82
SRC-JA,2024-02-15T03:29:26,2024-02-22T04:16:22,7.032592592592593,382.27,501.74,119.47000000000003,-119.47000000000003,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,119.47000000000003
SRC-JA,2024-01-15T02:33:12,2024-01-22T05:04:30,7.105069444444444,382.5,501.81,119.31,-119.31,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,119.31
SRC-JA,2024-03-29T10:37:09,2024-04-01T02:43:44,2.671238425925926,382.22,500.97,118.75,-118.75,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,118.75
SRC-JA,2024-04-01T02:43:44,2024-04-08T01:24:50,6.945208333333333,500.97,382.26,-118.71000000000004,118.71000000000004,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,118.71000000000004
SRC-JA,2024-03-08T02:14:29,2024-03-15T04:14:01,7.083009259259259,382.48,501.17,118.69,-118.69,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,118.69
SRC-JA,2022-03-29T12:00:00,2023-03-21T12:00:00,357.0,379.3,497.75,118.44999999999999,-118.44999999999999,ETAPE,ETAPE,STATIC,PUMPING,True,False,False,True,True,118.44999999999999
SRC-JA,2024-06-01T07:54:50,2024-06-08T12:14:34,7.180370370370371,381.9,500.16,118.26000000000005,-118.26000000000005,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,118.26000000000005
SRC-JA,2025-01-01T06:01:00,2025-02-01T04:00:00,30.915972222222223,496.9,379.64,-117.25999999999999,117.25999999999999,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,117.25999999999999
SRC-JA,2024-11-01T12:28:00,2024-12-01T02:15:00,29.574305555555554,383.74,500.22,116.48000000000002,-116.48000000000002,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,116.48000000000002
SRC-JA,2024-01-29T01:22:32,2024-02-01T01:02:48,2.9862962962962962,496.1,381.93,-114.17000000000002,114.17000000000002,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,114.17000000000002
SRC-JA,2024-08-01T12:26:36,2024-08-05T12:00:00,3.981527777777778,385.69,497.68,111.99000000000001,-111.99000000000001,REPORTED,ETAPE,UNKNOWN,UNKNOWN,True,True,True,False,False,111.99000000000001
SRC-JA,2024-03-21T12:00:00,2024-03-22T05:13:33,0.7177430555555555,493.65,382.23,-111.41999999999996,111.41999999999996,ETAPE,REPORTED,PUMPING,UNKNOWN,False,True,True,True,True,111.41999999999996
SRC-GC,2024-12-01T02:11:00,2025-01-01T12:49:00,31.443055555555556,406.28,302.98,-103.29999999999995,103.29999999999995,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,103.29999999999995
SRC-GC,2025-02-01T01:14:00,2025-03-01T01:25:00,28.007638888888888,292.28,387.98,95.70000000000005,-95.70000000000005,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,95.70000000000005
SRC-GC,2025-09-01T07:04:00,2026-03-19T07:00:00,198.99722222222223,441.98,391.3,-50.68000000000001,50.68000000000001,REPORTED,ETAPE,UNKNOWN,STATIC,True,True,True,True,False,50.68000000000001
SRC-GC,2024-07-07T12:30:20,2024-07-15T02:29:45,7.582928240740741,402.6,451.37,48.76999999999998,-48.76999999999998,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,48.76999999999998
SRC-GC,2024-07-15T02:29:45,2024-07-23T09:24:19,8.28789351851852,451.37,405.08,-46.29000000000002,46.29000000000002,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,46.29000000000002
SRC-GC,2025-06-05T06:02:00,2025-07-01T07:04:00,26.043055555555554,396.08,437.38,41.30000000000001,-41.30000000000001,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,41.30000000000001
SRC-GA,2014-03-20T12:00:00,2015-03-19T12:00:00,364.0,409.8,449.5,39.69999999999999,-39.69999999999999,AIRLINE,AIRLINE,STATIC,STATIC,True,True,False,False,False,39.69999999999999
SRC-GC,2020-12-01T12:04:38,2021-01-01T12:13:09,31.005914351851853,443.2,405.36,-37.839999999999975,37.839999999999975,REPORTED,REPORTED,STATIC,STATIC,True,True,False,False,False,37.839999999999975
SRC-GC,2024-09-08T12:30:30,2024-09-12T12:00:00,3.9788194444444445,441.82,407.86,-33.95999999999998,33.95999999999998,REPORTED,ETAPE,UNKNOWN,UNKNOWN,True,True,True,False,False,33.95999999999998
SRC-GC,2024-08-31T11:58:10,2024-09-08T12:30:30,8.022453703703704,407.88,441.82,33.94,-33.94,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,33.94
SRC-GC,2024-08-05T12:00:00,2024-08-08T12:10:06,3.007013888888889,405.26,438.25,32.99000000000001,-32.99000000000001,ETAPE,REPORTED,UNKNOWN,UNKNOWN,True,True,True,False,False,32.99000000000001
SRC-GC,2024-09-16T04:34:07,2024-09-24T12:05:04,8.313159722222222,409.08,441.77,32.69,-32.69,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,32.69
SRC-GC,2021-11-01T12:02:00,2021-12-01T12:00:00,29.99861111111111,434.2,401.6,-32.599999999999966,32.599999999999966,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,32.599999999999966
SRC-GC,2024-09-24T12:05:04,2024-09-30T11:36:25,5.980104166666667,441.77,410.38,-31.389999999999986,31.389999999999986,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,31.389999999999986
SRC-GC,2024-08-17T07:19:59,2024-08-26T01:32:20,8.758576388888889,437.48,407.38,-30.100000000000023,30.100000000000023,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,30.100000000000023
SRC-GC,2021-05-01T12:14:51,2021-06-01T12:11:32,30.99769675925926,423.9,453.3,29.400000000000034,-29.400000000000034,REPORTED,REPORTED,STATIC,STATIC,True,True,False,False,False,29.400000000000034
SRC-GC,2023-09-28T12:00:00,2023-09-29T01:01:45,0.5428819444444445,437.5,408.2,-29.30000000000001,29.30000000000001,ETAPE,REPORTED,STATIC,UNKNOWN,True,True,True,True,False,29.30000000000001
SRC-GC,2023-09-25T01:03:34,2023-09-28T12:00:00,3.4558564814814816,408.5,437.5,29.0,-29.0,REPORTED,ETAPE,UNKNOWN,STATIC,True,True,True,True,False,29.0
SRC-GC,2022-11-01T01:14:03,2022-12-01T12:11:10,30.45633101851852,416.71,390.6,-26.109999999999957,26.109999999999957,REPORTED,REPORTED,STATIC,STATIC,True,True,False,False,False,26.109999999999957
SRC-GC,2021-03-01T12:04:24,2021-03-31T12:00:00,29.996944444444445,396.1,421.15,25.049999999999955,-25.049999999999955,REPORTED,ETAPE,STATIC,STATIC,True,True,True,False,False,25.049999999999955
SRC-GC,2021-07-29T09:57:31,2021-09-28T12:00:00,61.08505787037037,462.9,438.2,-24.69999999999999,24.69999999999999,REPORTED,REPORTED,STATIC,UNKNOWN,True,True,False,True,False,24.69999999999999
GWIS:16240,2012-06-06T12:00:00,2012-08-29T08:57:00,83.87291666666667,370.0,345.47,-24.529999999999973,24.529999999999973,REPORTED,ETAPE GRADUATED,STATIC,STATIC,True,True,True,False,False,24.529999999999973
SRC-GC,2020-03-20T12:00:00,2020-09-20T12:22:49,184.0158449074074,429.7,452.65,22.94999999999999,-22.94999999999999,ETAPE,REPORTED,STATIC,STATIC,True,True,True,False,False,22.94999999999999
SRC-GC,2023-10-27T12:53:32,2023-11-04T12:19:01,7.976030092592593,407.38,385.4,-21.980000000000018,21.980000000000018,REPORTED,REPORTED,UNKNOWN,UNKNOWN,True,True,False,False,False,21.980000000000018
SRC-GB,2020-03-31T12:00:00,2020-09-15T12:37:18,168.0259027777778,429.73,451.69,21.95999999999998,-21.95999999999998,ETAPE,REPORTED,STATIC,STATIC,True,True,True,False,False,21.95999999999998
SRC-GA,2009-03-18T12:00:00,2010-03-19T12:00:00,366.0,406.13,427.13,21.0,-21.0,AIRLINE,AIRLINE,STATIC,STATIC,True,True,False,False,False,21.0
GWIS:11935,2006-09-13T02:46:00,2016-06-17T02:16:00,3564.9791666666665,456.86,477.57,20.70999999999998,-20.70999999999998,ETAPE,ETAPE,STATIC,STATIC,True,True,False,False,False,20.70999999999998
SRC-GC,2023-03-20T12:00:00,2023-04-01T12:33:50,12.02349537037037,376.67,397.3,20.629999999999995,-20.629999999999995,ETAPE,REPORTED,INJECTING,STATIC,False,True,True,True,True,20.629999999999995
SRC-GA,2015-03-19T12:00:00,2020-03-20T12:00:00,1828.0,449.5,429.49,-20.00999999999999,20.00999999999999,AIRLINE,AIRLINE,STATIC,STATIC,True,True,False,False,False,20.00999999999999
SRC-JA,2023-03-21T12:00:00,2023-09-01T12:03:59,164.00276620370371,497.75,507.22,9.470000000000027,-9.470000000000027,ETAPE,REPORTED,PUMPING,UNKNOWN,False,True,True,True,True,9.470000000000027
SRC-JA,2024-03-15T04:14:01,2024-03-21T12:00:00,6.323599537037037,501.17,493.65,-7.520000000000039,7.520000000000039,REPORTED,ETAPE,UNKNOWN,PUMPING,True,False,True,True,True,7.520000000000039
SRC-GC,2023-03-20T12:00:00,2023-03-20T12:00:00,0.0,376.67,376.67,0.0,-0.0,ETAPE,ETAPE,STATIC,INJECTING,True,False,False,True,True,0.0
