year,electricity_mwh_reported,electricity_mwh_model_closure,it_energy_mwh_fitted,annual_pue_model,water_raw_m3,water_withdrawal_m3_reported,weather_hour_coverage,water_scale_fitted_train_only,water_pred_m3,water_pct_error,split
2011,71000.0,71000.0,66976.11335479995,1.0600794289731903,1927.422032158372,,1.0,8.226770407288598,15856.458536516548,,train
2012,153000.0,153000.00000000003,144327.06710493902,1.0600922132558475,4967.213551886904,,1.0,8.226770407288598,40864.12545534606,,train
2013,224000.0,224000.00000000006,211297.73684295887,1.0601154718778734,9046.987305031766,,1.0,8.226770407288598,74427.48743615096,,train
2014,262000.0,262000.0000000001,247145.91655409965,1.0601024837998847,9387.734836098942,39746.823732,1.0,8.226770407288598,77230.73914109105,94.30669394322675,train
2015,284000.0,284000.0,267893.8565674415,1.0601213616427365,12127.508703662723,70000.0,1.0,8.226770407288598,99770.22971742738,42.528899596324834,train
2016,327000.0,327000.0,308468.6303575743,1.060075378235201,8441.335016484556,70000.0,1.0,8.226770407288598,69444.92511162415,-0.7929641262512138,train
2017,426000.0,426000.0000000001,401837.5104855811,1.0601300000222005,19950.98146589033,172000.0,1.0,8.226770407288598,164132.14391994986,-4.574334930261712,train
2018,488000.0,488000.0,460336.1157018964,1.060094968338348,17120.204968813072,160000.0,1.0,8.226770407288598,140843.9956041466,-11.97250274740838,train
2019,573000.0,573000.0000000002,540532.3242246357,1.0600661132004225,12064.86654786792,208000.0,1.0,8.226770407288598,99254.88708388594,-52.2813042865933,train
2020,686000.0,686000.0000000002,647105.7597991503,1.060104920427415,25675.013123623503,445000.0,1.0,8.226770407288598,211222.4381721722,-52.53428355681524,train
2021,898409.0,898409.0000000005,847440.1280181597,1.0601445108588823,48833.70001316779,354000.0,1.0,8.226770407288598,401743.6381467376,13.486903431281805,train
2022,982177.0,982177.0000000002,926465.939688113,1.060132874750519,49175.72764901974,240000.0,1.0,8.226770407288598,404557.4209798393,68.56559207493304,train
2023,1375321.0,1375321.0,1297344.4610582585,1.0601047303028026,49907.02166627409,180000.0,1.0,8.226770407288598,410573.6089600146,128.09644942223034,holdout
2024,1728291.0,1728291.0,1630271.8660866977,1.0601244098928035,80469.17784960783,328000.0,1.0,8.226770407288598,662001.4510319969,101.82971068048685,holdout
