n,mean_bias,median_bias,mae,rmse,corr,p05,p50,p95,variable,month
6607,-0.301899225529051,-0.5333394368489355,1.3827584107727118,1.9092824604027765,0.9547820989771572,-2.8666727701822694,-0.5333394368489355,2.966660563151064,dry_bulb_C,1
6607,0.5922664140883824,0.43332722981773086,1.0358885306926902,1.4963889315277301,0.9612812109900343,-1.2000061035156024,0.43332722981773086,2.733327229817731,dewpoint_C,1
6607,4.819940143718944,5.290237957671792,7.7189722697019185,9.590603029224207,0.8738798141390939,-9.660926194826096,5.290237957671792,16.65277630737017,rh_pct,1
6607,0.06091609411884755,-0.1366760253906366,0.943992257775767,1.40725969454005,0.9632769177421591,-1.667288208007777,-0.1366760253906366,2.453630777994619,wet_bulb_C,1
5990,-0.5176022160841689,-0.6666727701822692,1.3557590697883042,1.7703155809436597,0.9632094306747669,-2.9000061035156026,-0.6666727701822692,2.4516605631510706,dry_bulb_C,2
5990,0.5062657980663995,0.4666605631510641,1.0853132733934108,1.4460278951761467,0.9512251163041172,-1.6183394368489357,0.4666605631510641,2.699993896484398,dewpoint_C,2
5990,5.084295840495339,5.3981762892816185,7.623440427467033,9.499106260261042,0.908695776429452,-8.114527528293724,5.3981762892816185,17.170722841930882,rh_pct,2
5990,-0.0981126064987023,-0.2379694620768068,0.9086240295798063,1.232384376711593,0.9666065451839693,-1.757533264160145,-0.2379694620768068,2.0679130045573326,wet_bulb_C,2
6545,-0.6809554287002215,-0.7666727701822691,1.2947503432569654,1.6433257266271146,0.9697284242020037,-2.8666727701822676,-0.7666727701822691,1.966660563151064,dry_bulb_C,3
6545,0.5335513922099607,0.5333272298177312,1.124365704813538,1.4909727128353454,0.9372260961898724,-1.7000061035156024,0.5333272298177312,2.733327229817731,dewpoint_C,3
6545,5.544256211880037,5.825309029412182,7.58220338015575,9.388892652678575,0.9320353704279596,-6.919423477472639,5.825309029412182,17.0078283350302,rh_pct,3
6545,-0.1581773064442689,-0.25359497110218765,0.81239900641417,1.0739254206446525,0.9684003671702665,-1.6318550618489327,-0.25359497110218765,1.707811279168619,wet_bulb_C,3
6174,-1.0032024376047934,-1.0666727701822687,1.4200813334153586,1.75908773861414,0.976482724016294,-3.133339436848937,-1.0666727701822687,1.4666605631510645,dry_bulb_C,4
6174,0.2690221177502284,0.2666605631510644,1.118037602687674,1.516567291843736,0.9437380650043273,-2.133339436848935,0.2666605631510644,2.633327229817731,dewpoint_C,4
6174,5.155249001076764,5.058379560909705,6.956049866678355,8.833304314355674,0.9507826202090462,-5.903257043701296,5.058379560909705,16.55086688671813,rh_pct,4
6174,-0.4049132318190895,-0.4504765827412298,0.8370825144919948,1.0793416653608578,0.9722836871427349,-1.8787079366379966,-0.4504765827412298,1.300650940326526,wet_bulb_C,4
6574,-1.1564642648148042,-1.266672770182268,1.5150458849937816,1.8214480737361927,0.9799376489871713,-3.2000061035156024,-1.266672770182268,1.2999938964843984,dry_bulb_C,5
6574,0.18215785044444238,0.19999389648439792,1.1770258355581784,1.5775565779475387,0.9290461105127584,-2.400006103515602,0.19999389648439792,2.6891605631510545,dewpoint_C,5
6574,4.990623595092139,4.721415921913451,6.856133354187176,8.784850922071358,0.9522755818736781,-6.248754052251018,4.721415921913451,16.85556434151949,rh_pct,5
6574,-0.44399642302039105,-0.5071792602620344,0.8355151009392524,1.0471016027835125,0.972213108871781,-1.8359969075520812,-0.5071792602620344,1.1733996584131916,wet_bulb_C,5
6339,-1.2294631682471582,-1.3333394368489344,1.5580856485803458,1.8647633284000409,0.9837358225518043,-3.300006103515603,-1.3333394368489344,1.1333272298177324,dry_bulb_C,6
6339,-0.14018962352401573,-0.10000610351560235,1.3480223351890928,1.7937560666908048,0.894070257391936,-3.133339436848935,-0.10000610351560235,2.6666605631510643,dewpoint_C,6
6339,3.572512978707932,3.091099428825032,5.73712839758152,7.667578086700215,0.9568583183876075,-6.324761998479346,3.091099428825032,14.969727459284599,rh_pct,6
6339,-0.5554526872946158,-0.6156646728515422,0.9146883695232083,1.12939518741891,0.9674516455959584,-2.061584370089145,-0.6156646728515422,1.1576123555501117,wet_bulb_C,6
6242,-1.130029333249662,-1.2666727701822715,1.5818473268178965,1.9004053145001825,0.9812857733120471,-3.3666727701822694,-1.2666727701822715,1.5666605631510642,dry_bulb_C,7
6242,-0.8035025790042277,-0.8000061035156021,1.83283741014018,2.3472872585699958,0.8507276737277373,-4.366672770182269,-0.8000061035156021,2.7999938964843976,dewpoint_C,7
6242,0.9645641597286227,0.35463735295058596,4.527844585066248,6.170721272793562,0.9590198909255843,-8.389625305660317,0.35463735295058596,11.631021899836123,rh_pct,7
6242,-0.747367613764879,-0.8308369965185696,1.0868788128318432,1.3207702046260403,0.9472963823963347,-2.3827082824445536,-0.8308369965185696,1.0993768056144806,wet_bulb_C,7
6720,-1.0804580947287543,-1.2333394368489365,1.593333718591794,1.9302314542873422,0.9790935672628032,-3.400006103515601,-1.2333394368489365,1.7349938964843743,dry_bulb_C,8
6720,-0.4125914209759198,-0.4000061035156026,1.6907084965781516,2.244573919506749,0.8729510620632173,-4.000006103515602,-0.4000061035156026,3.1016605631510403,dewpoint_C,8
6720,1.7787645819579576,1.332586188103443,5.068346821894533,6.832531215341086,0.9527526617435405,-8.149372307824189,1.332586188103443,13.171431926224592,rh_pct,8
6720,-0.6034061886784355,-0.6847676595052157,1.0027751937723726,1.2377433335511747,0.9568601985919928,-2.199377238212158,-0.6847676595052157,1.2370271047547867,wet_bulb_C,8
6915,-0.9678369061186392,-1.0666727701822687,1.5060525958327695,1.8516052423554328,0.9795282679773627,-3.300006103515603,-1.0666727701822687,1.7666605631510635,dry_bulb_C,9
6915,-0.3476174728644988,-0.26667277018226887,1.3834266765835999,1.8472061300156297,0.911486399846433,-3.3333394368489353,-0.26667277018226887,2.433327229817731,dewpoint_C,9
6915,2.5177920664963067,2.0028256352025195,5.542943523161851,7.344042156017995,0.9614505124165643,-7.612512249724842,2.0028256352025195,13.86383725471201,rh_pct,9
6915,-0.5450511011908247,-0.5832712809370122,0.9434289072622233,1.1892549395586225,0.9658827524229905,-2.2035783386225836,-0.5832712809370122,1.2038265366283076,wet_bulb_C,9
7012,-0.7357257541824863,-0.8666727701822692,1.43508416690514,1.8174713754817788,0.9739909429287161,-3.2000061035156024,-0.8666727701822692,2.199993896484398,dry_bulb_C,10
7012,0.20187112056284842,0.2666605631510644,1.1957273378668332,1.5837702690513378,0.9477043094893354,-2.4333394368489354,0.2666605631510644,2.6333272298177306,dewpoint_C,10
7012,4.268649774723946,4.078268163275249,6.7327322812297,8.701103127693653,0.9453241108341911,-7.268710031893107,4.078268163275249,16.70288582012036,rh_pct,10
7012,-0.27199261620162435,-0.3359863285548834,0.8960905257707509,1.1818285864008582,0.9713022908180119,-1.9832042947224606,-0.3359863285548834,1.7758990478504293,wet_bulb_C,10
6569,-0.30921811906724334,-0.46667277018226905,1.4062711856458165,1.8688285934672135,0.9598406013441116,-2.800006103515603,-0.46667277018226905,3.098089134579633,dry_bulb_C,11
6569,0.4417332711808436,0.3999938964843981,1.0492917527969952,1.413152688158456,0.9592948109392486,-1.686672770182268,0.3999938964843981,2.5866605631510464,dewpoint_C,11
6569,3.832308109953694,4.458234844020176,7.322259519505348,9.25796502342587,0.9036743773101908,-10.491521959353655,4.458234844020176,16.133313323804575,rh_pct,11
6569,0.022517888287039194,-0.14084370930986756,0.9121520586639189,1.2698499136471497,0.9684178072332444,-1.6329174799082435,-0.14084370930986756,2.340233154296882,wet_bulb_C,11
7263,-0.38864527596828147,-0.5666727701822687,1.4290334302855967,1.9635430338046846,0.9467573038431765,-3.0000061035156023,-0.5666727701822687,3.0999938964843974,dry_bulb_C,12
7263,0.5529920016882032,0.4333272298177312,1.0966511982724731,1.5650310362687083,0.9516999271833927,-1.5333394368489355,0.4333272298177312,2.899993896484398,dewpoint_C,12
7263,5.273333198189037,5.49891645995713,7.7987617921969745,9.72459683317557,0.8589898961781764,-8.280691061329161,5.49891645995713,17.94005267872931,rh_pct,12
7263,0.0014438640210599962,-0.17411092122391736,1.0063999970336819,1.4720293547684355,0.9557590449759228,-1.934504801432082,-0.17411092122391736,2.675643310546649,wet_bulb_C,12
