metric,value
holdout_water_pct_error_2023,128.09644942223034
holdout_water_pct_error_2024,101.82971068048684
holdout_water_mape,114.9630800513586
max_abs_elec_residual_mwh,4.656612873077393e-10
annual_raw_evap_m3_sum,349094.89472958754
cooling_mode_frac_outside_air_or_winter_mix,0.9207730413244688
cooling_mode_frac_partial_evap,0.0788277278060226
cooling_mode_frac_full_evap,0.0003992308695085
summer_jja_mean_evap_m3_h,9.781826591604275
mean_t_wb_C,4.556896687579675
p95_t_wb_C,14.399173126121172
mean_t_wb_C_krdm_baseline,4.757001587283151
p95_t_wb_C_krdm_baseline,14.793467330824498
canonical_n_ks39,78704.0
canonical_n_krdm_gapfill,3129.0
