year,electricity_mwh_reported,electricity_mwh_model_closure,it_energy_mwh_fitted,annual_pue_model,water_raw_m3,water_withdrawal_m3_reported,weather_hour_coverage,water_scale_fitted_train_only,water_pred_m3,water_pct_error,split
2011,71000.0,71000.00000000001,66976.1133547999,1.0600794289731912,1927.4180021561888,,1.0,6.580050701752435,12682.508177658106,,train
2012,153000.0,153000.0,144327.06710493893,1.060092213255848,4967.203837603029,,1.0,6.580050701752435,32684.453097367197,,train
2013,224000.0,224000.0,211297.7368429588,1.0601154718778734,9046.968777168673,,1.0,6.580050701752435,59529.5132509411,,train
2014,262000.0,261999.9999999999,247145.91655409956,1.0601024837998845,9387.715376282118,39746.823732,1.0,6.580050701752435,61771.643149557276,55.412778555749576,train
2015,284000.0,283999.9999999999,267893.6615656902,1.0601221333128117,12175.319399426091,70000.0,1.0,6.580050701752435,80114.21895825368,14.448884226076688,train
2016,327000.0,327000.0,308463.15029626805,1.060094211207815,11436.002023656238,70000.0,1.0,6.580050701752435,75249.4731410015,7.499247344287848,train
2017,426000.0,425999.99999999994,401830.04327588517,1.0601497004232716,24197.59157128111,172000.0,1.0,6.580050701752435,159221.37939932707,-7.429430581786589,train
2018,488000.0,487999.9999999999,460319.5105664539,1.0601332092126254,23209.517961657053,160000.0,1.0,6.580050701752435,152719.80495093722,-4.550121905664237,train
2019,573000.0,573000.0,540513.6236259353,1.0601027891880612,18972.038457609196,208000.0,1.0,6.580050701752435,124836.97496666557,-39.98222357371848,train
2020,686000.0,685999.9999999998,647085.3925490191,1.0601382876187129,33743.65930399195,445000.0,1.0,6.580050701752435,222034.98908292732,-50.104496835297226,train
2021,898409.0,898408.9999999999,847407.3519051636,1.060185515242667,62387.228286790545,354000.0,1.0,6.580050701752435,410511.12526888546,15.963594708724704,train
2022,982177.0,982177.0000000001,926428.6027927524,1.060175600191091,62168.01481075612,240000.0,1.0,6.580050701752435,409068.68948207155,70.44528728419648,train
2023,1375321.0,1375321.0,1297291.621233098,1.060147909297937,68992.87264796371,180000.0,1.0,6.580050701752435,453976.60008314997,152.20922226841665,holdout
2024,1728291.0,1728291.0,1630206.6132083463,1.060166843881597,104799.33636339878,328000.0,1.0,6.580050701752435,689584.9467811716,110.23931304304013,holdout
