regime,model,site_code,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,well_RMSE_improvement_ft_vs_B0,well_MAE_improvement_ft_vs_B0,well_RMSE_skill_vs_B0,well_MAE_skill_vs_B0
T1_TEMPORAL_OOS,B1,337800N1180851W001,12,1,2.19248704,2.71634298,-1.168228979,2.19248704,2.71634298,-1.168228979,0.9166666667,0.8653276715,0.638973403,5.625,4.523868183,3.74,1.807525202,1.54751296,0.3995530218,0.4137735186
T1_TEMPORAL_OOS,B1,337806N1178326W001,4,1,7.538760586,9.168397831,-6.759468146,7.538760586,9.168397831,-6.759468146,0.75,-0.7836617429,-1.144721534,6.015,11.22331947,9.315,2.054921642,1.776239414,0.1830939275,0.1906859274
T1_TEMPORAL_OOS,B1,337856N1178834W001,7,1,4.185724609,5.327310085,-2.34752121,4.185724609,5.327310085,-2.34752121,0.2857142857,-1.390881577,-4.692972103,2.915,2.412144867,2.027142857,-2.915165218,-2.158581752,-1.208536543,-1.064839483
T1_TEMPORAL_OOS,B1,337856N1178834W002,7,1,8.813301995,9.649315589,-3.874651441,8.813301995,9.649315589,-3.874651441,0.7142857143,0.1348024727,0.3763109471,16.87,12.45959871,11.09142857,2.810283121,2.278126576,0.2255516559,0.2053952348
T1_TEMPORAL_OOS,B1,337856N1178834W003,7,1,9.824325428,10.72058733,-3.234643835,9.824325428,10.72058733,-3.234643835,0.8571428571,0.3438560869,0.3716773021,21.23,13.64394162,12.78857143,2.923354288,2.964246,0.214260246,0.2317886729
T1_TEMPORAL_OOS,B1,337910N1178268W001,15,1,3.727905879,4.143671189,-3.217346644,3.727905879,4.143671189,-3.217346644,0.7333333333,-2.891385619,-3.809385566,1.4,1.931072241,1.253333333,-2.212598948,-2.474572545,-1.145787765,-1.974392988
T1_TEMPORAL_OOS,B1,337959N1180672W001,7,1,2.192092014,2.680883901,-1.328970926,2.192092014,2.680883901,-1.328970926,0.7142857143,-0.327650009,-0.4747009144,2.83,2.209641212,1.791428571,-0.4712426892,-0.4006634424,-0.2132666094,-0.2236558291
T1_TEMPORAL_OOS,B1,337959N1180672W002,7,1,10.61243333,11.91719052,-1.938857788,10.61243333,11.91719052,-1.938857788,0.8571428571,0.4034133268,0.3467271247,15.335,14.76119285,12.20714286,2.844002325,1.594709529,0.1926675137,0.1306374102
T1_TEMPORAL_OOS,B1,337959N1180672W003,7,1,7.448077797,8.86925412,-2.531788393,7.448077797,8.86925412,-2.531788393,1,0.4474968988,0.4566775149,16.26,12.10228196,10.60571429,3.233027837,3.157636488,0.2671420025,0.2977297335
T1_TEMPORAL_OOS,B1,337995N1178787W001,7,1,5.50704969,6.895501918,-2.914517202,5.50704969,6.895501918,-2.914517202,0.4285714286,-0.3661523828,-1.344727151,4.7,4.722195313,3.727142857,-2.173306606,-1.779906833,-0.4602322568,-0.4775526191
T1_TEMPORAL_OOS,B1,337995N1178787W002,7,1,5.929086283,6.536016919,-3.224379995,5.929086283,6.536016919,-3.224379995,0.8571428571,0.298628764,0.3932212882,13.025,8.567475041,7.734285714,2.031458122,1.805199431,0.2371128147,0.2334022168
