regime,comparison_model,reference_model,difference_direction,n_wells,n_transitions,bootstrap_resamples,resampling_unit,seed,MAE_improvement_ft,MAE_improvement_ci95_low_ft,MAE_improvement_ci95_high_ft,RMSE_improvement_ft,RMSE_improvement_ci95_low_ft,RMSE_improvement_ci95_high_ft,MAE_skill_vs_reference,MAE_skill_ci95_low,MAE_skill_ci95_high,RMSE_skill_vs_reference,RMSE_skill_ci95_low,RMSE_skill_ci95_high
T1_TEMPORAL_OOS,B1,B0,positive_means_comparison_model_has_lower_error,144,1217,1000,well,20260905,0.3664715209,-0.04767056459,0.8004816138,0.9937028538,0.7682975217,1.254227027,0.04958219837,-0.007142738791,0.09547998884,0.07022335343,0.05180688617,0.1045301834
T1_TEMPORAL_OOS,B2,B0,positive_means_comparison_model_has_lower_error,144,1217,1000,well,20260906,0.01716605697,-0.5652365961,0.6170488096,0.933250665,0.5492426652,1.277788391,0.002322502005,-0.08667396904,0.07394063786,0.06595129624,0.04234619601,0.09218648403
T1_TEMPORAL_OOS,B3,B0,positive_means_comparison_model_has_lower_error,144,1217,1000,well,20260907,-0.1483371234,-0.700300135,0.4006950804,0.8339141905,0.4437620658,1.172167051,-0.02006944677,-0.1046227338,0.04908759606,0.05893135026,0.03583112219,0.08394555483
T2_SPATIOTEMPORAL_OOS,B1,B0,positive_means_comparison_model_has_lower_error,149,1241,1000,well,20260908,0.1298496726,-0.3158349589,0.5063040724,0.6739379014,0.4520005439,0.9263585403,0.01684082383,-0.046710902,0.06218758431,0.04306908752,0.02581834984,0.07190576905
T2_SPATIOTEMPORAL_OOS,B2,B0,positive_means_comparison_model_has_lower_error,149,1241,1000,well,20260909,-1.072439302,-2.335952074,-0.02265513008,-0.09648932439,-0.9924971866,0.5788653569,-0.139089772,-0.3419713781,-0.002767194756,-0.006166305751,-0.0751717893,0.03728703154
T2_SPATIOTEMPORAL_OOS,B3,B0,positive_means_comparison_model_has_lower_error,149,1241,1000,well,20260910,-1.136365358,-2.25237664,-0.133713542,-0.1503956166,-1.017437182,0.4706068762,-0.1473806473,-0.3293953827,-0.01558662185,-0.009611274213,-0.07612574979,0.02926537094
