regime,held_out_spatial_fold,model,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_h_ft,B0_MAE_h_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,RMSE_skill_vs_persistence,MAE_skill_vs_persistence
T2_SPATIOTEMPORAL_OOS,1,B0,146,20,6.899041096,10.2880462,-0.2871232877,6.899041096,10.2880462,-0.2871232877,,0.8299511181,-0.0007794879763,7.3225,10.2880462,6.899041096,10.2880462,6.899041096,0,0
T2_SPATIOTEMPORAL_OOS,1,B1,146,20,5.828239812,8.378286916,-1.464683675,5.828239812,8.378286916,-1.464683675,0.8028169014,0.8872235481,0.3362828469,7.3225,10.2880462,6.899041096,10.2880462,6.899041096,0.1856289565,0.1552101616
T2_SPATIOTEMPORAL_OOS,1,B2,146,20,5.638424171,8.136454178,-0.6538166736,5.638424171,8.136454178,-0.6538166736,0.8309859155,0.8936399984,0.3740452346,7.3225,10.2880462,6.899041096,10.2880462,6.899041096,0.2091351435,0.1827234985
T2_SPATIOTEMPORAL_OOS,1,B3,146,20,5.718201293,8.181216087,-0.8747812685,5.718201293,8.181216087,-0.8747812685,0.8309859155,0.892466521,0.3671390317,7.3225,10.2880462,6.899041096,10.2880462,6.899041096,0.2047842777,0.1711599897
T2_SPATIOTEMPORAL_OOS,2,B0,361,38,8.514515235,13.5110287,-1.505373961,8.514515235,13.5110287,-1.505373961,,0.7791674715,-0.01257005114,9.05,13.5110287,8.514515235,13.5110287,8.514515235,0,0
T2_SPATIOTEMPORAL_OOS,2,B1,361,38,7.49725356,12.29481167,-2.160638417,7.49725356,12.29481167,-2.160638417,0.7777777778,0.8171352596,0.1615213537,9.05,13.5110287,8.514515235,13.5110287,8.514515235,0.0900166117,0.1194738218
T2_SPATIOTEMPORAL_OOS,2,B2,361,38,7.194672445,11.84362074,0.4082254156,7.194672445,11.84362074,0.4082254156,0.8111111111,0.8303104117,0.2219325828,9.05,13.5110287,8.514515235,13.5110287,8.514515235,0.1234108811,0.1550109142
T2_SPATIOTEMPORAL_OOS,2,B3,361,38,7.184146651,11.92402596,-0.04311470072,7.184146651,11.92402596,-0.04311470072,0.8055555556,0.8279985777,0.2113322701,9.05,13.5110287,8.514515235,13.5110287,8.514515235,0.1174598006,0.1562471319
T2_SPATIOTEMPORAL_OOS,3,B0,276,34,4.921449275,6.788518013,-0.6494927536,4.921449275,6.788518013,-0.6494927536,,0.9634053156,-0.009238307145,6.955,6.788518013,4.921449275,6.788518013,4.921449275,0,0
T2_SPATIOTEMPORAL_OOS,3,B1,276,34,4.742560911,5.92753993,-1.688677291,4.742560911,5.92753993,-1.688677291,0.6931818182,0.9720991758,0.2305281197,6.955,6.788518013,4.921449275,6.788518013,4.921449275,0.1268285775,0.03634871643
T2_SPATIOTEMPORAL_OOS,3,B2,276,34,4.8816178,6.192914058,-2.478877914,4.8816178,6.192914058,-2.478877914,0.7234848485,0.9695450309,0.1600878121,6.955,6.788518013,4.921449275,6.788518013,4.921449275,0.08773696314,0.008093444351
T2_SPATIOTEMPORAL_OOS,3,B3,276,34,5.145354966,6.555325106,-2.82177702,5.145354966,6.555325106,-2.82177702,0.7310606061,0.9658762677,0.05890764146,6.955,6.788518013,4.921449275,6.788518013,4.921449275,0.03435107734,-0.04549588515
T2_SPATIOTEMPORAL_OOS,4,B0,239,40,14.65317992,28.94357809,-4.085983264,14.65317992,28.94357809,-4.085983264,,0.8592380922,-0.02033439502,12.44,28.94357809,14.65317992,28.94357809,14.65317992,0,0
T2_SPATIOTEMPORAL_OOS,4,B1,239,40,13.94243529,28.22306585,-5.392855368,13.94243529,28.22306585,-5.392855368,0.7004219409,0.8661590272,0.02983306919,12.44,28.94357809,14.65317992,28.94357809,14.65317992,0.02489368241,0.04850446294
T2_SPATIOTEMPORAL_OOS,4,B2,239,40,14.12032053,28.15314268,-5.63010382,14.12032053,28.15314268,-5.63010382,0.6877637131,0.8668213926,0.03463432714,12.44,28.94357809,14.65317992,28.94357809,14.65317992,0.0273095263,0.03636476129
T2_SPATIOTEMPORAL_OOS,4,B3,239,40,14.14776904,28.17305947,-5.588055856,14.14776904,28.17305947,-5.588055856,0.6835443038,0.866632893,0.03326795865,12.44,28.94357809,14.65317992,28.94357809,14.65317992,0.02662140173,0.03449154935
T2_SPATIOTEMPORAL_OOS,5,B0,219,17,2.863881279,6.612168421,0.1173059361,2.863881279,6.612168421,0.1173059361,,0.9900336651,-0.000314839255,1.76,6.612168421,2.863881279,6.612168421,2.863881279,0,0
T2_SPATIOTEMPORAL_OOS,5,B1,219,17,5.51989115,7.811976723,-1.446655773,5.51989115,7.811976723,-1.446655773,0.5734597156,0.9860886415,-0.3962744087,1.76,6.612168421,2.863881279,6.612168421,2.863881279,-0.1814545887,-0.9274161925
T2_SPATIOTEMPORAL_OOS,5,B2,219,17,12.58880079,14.6969014,-12.09351519,12.58880079,14.6969014,-12.09351519,0.5876777251,0.9507621339,-3.941974024,1.76,6.612168421,2.863881279,6.612168421,2.863881279,-1.22270524,-3.395713219
T2_SPATIOTEMPORAL_OOS,5,B3,219,17,12.55287812,14.66117978,-12.06708879,12.55287812,14.66117978,-12.06708879,0.5829383886,0.9510011936,-3.917979742,1.76,6.612168421,2.863881279,6.612168421,2.863881279,-1.217302834,-3.383169868
